dataset,session,source,target_x_m,target_z_m,frames_csv,detection_rate,warmup_excluded,stable_samples,raw_x_m,raw_z_m,raw_x_std_cm,raw_z_std_cm,area_median_px,csv_trailing_nul_bytes,source_x_m,source_z_m,source_x_error_cm,source_z_error_cm,source_position_error_cm,source_range_error_cm,affine_x_m,affine_z_m,affine_x_error_cm,affine_z_error_cm,affine_position_error_cm,affine_range_error_cm
calibration,cal_xm0.30_z0.80_2,recoding_20260807_5,-0.3,0.8,216,1.0,30,186,-0.36,0.828,1.3223708199673858,0.6817848753501469,14879.75,0,-0.2746522731990866,0.7560316866267471,2.534772680091341,-4.396831337325291,5.075155007349346,5.002621883236125,-0.2806771098590735,0.781784975175464,1.9322890140926474,-1.8215024824536075,2.6554871733013115,2.3757618944886483
calibration,cal_xm0.30_z1.0_2,recoding_20260807_4,-0.3,1.0,161,1.0,30,131,-0.404,1.008,1.6063158369849642,0.5189941547804081,11275.0,0,-0.3082208843678638,0.9711795159680646,-0.8220884367863834,-2.882048403193538,2.997003903275453,2.511467506357179,-0.31837789385798415,1.0089220077967689,-1.8377893857984162,0.8922007796768883,2.0429126407679226,1.3933479462195253
calibration,cal_xm0.30_z1.30_2,recoding_20260807_5,-0.3,1.3,237,1.0,30,207,-0.372,1.252,1.5567133447501407,0.4287504252081301,7691.0,0,-0.28380734897238946,1.262824351297406,1.6192651027610527,-3.7175648702594044,4.054911594302222,3.98434352958994,-0.2993146169240441,1.308037678152655,0.06853830759558921,0.8037678152654992,0.8066846970562546,0.7680010794408831
calibration,cal_xp0.30_z0.80_2,recoding_20260807_5,0.3,0.8,235,1.0,30,205,0.396,0.912,0.9976705766018227,0.8120121378872032,13770.0,0,0.3021175005189952,0.8564340069860287,0.211750051899523,5.643400698602862,5.647371913507267,5.375940900966203,0.29629223476413036,0.8133763123416817,-0.3707765235869631,1.3376312341681684,1.388067919471339,1.126128793232728
calibration,cal_xp0.30_z1.00_2,recoding_20260807_5,0.3,1.0,231,1.0,30,201,0.392,1.064,0.7655356947123471,1.08558627567851,11011.5,0,0.29906580859456094,1.0381143962075856,-0.09341914054390443,3.811439620758561,3.8125843096918035,3.6303490698369245,0.2898420079326631,1.0020040154934973,-1.0157992067336863,0.20040154934972687,1.0353785826365915,0.09484697435049316
calibration,cal_xp0.30_z1.30_2,recoding_20260807_5,0.3,1.3,231,1.0,30,201,0.428,1.296,3.0245548402833826,0.8293614411039981,7762.5,0,0.3265310359144696,1.3154160429141726,2.653103591446959,1.5416042914172534,3.068469074027771,2.117188470562348,0.31223537794430894,1.2858750110399357,1.2235377944308956,-1.412498896006431,1.8687423218892985,1.0925885850713746
holdout,holdout_xm0.15_z0.90_2,recoding_20260807_4,-0.15,0.9,119,1.0,23,96,-0.272,0.946,2.006651266552202,0.6692527964495573,11812.0,0,-0.2075150508615321,0.8970730414171663,-5.751505086153211,-0.2926958582833761,5.758947961346976,0.8347553840607036,-0.21592856996338078,0.919490106701796,-6.592856996338078,1.9490106701795962,6.874911342456561,3.2089301575097817
holdout,holdout_xm0.15_z1.15_2,recoding_20260807_4,-0.15,1.15,198,1.0,30,168,-0.28,1.106,1.7364032860721277,0.6089841360861018,9237.75,0,-0.21361843471040068,1.0883155563872264,-6.361843471040069,-6.168444361277348,8.861306799123335,5.065903345607459,-0.22561974319387493,1.1184086838532772,-7.5619743193874935,-3.1591316146722725,8.195338197164153,1.880215286680098
holdout,holdout_xp0.15_z0.90_2,recoding_20260807_5,0.15,0.9,239,1.0,30,209,0.24,0.936,0.8895425306212325,0.587039028591166,12634.0,0,0.1831015154660577,0.8851203842315377,3.3101515466057716,-1.4879615768462306,3.629205548831218,0.8553627244827,0.17631388606696188,0.8580467400243359,2.6313886066961887,-4.195325997566412,4.9522687957447475,3.644018215851774
holdout,holdout_xp0.15_z1.15_2,recoding_20260807_5,0.15,1.15,230,1.0,30,200,0.256,1.176,2.2060135992327883,0.5936699419711264,9352.25,236,0.1953082831637949,1.1719841566866274,4.53082831637949,2.1984156686627454,5.036013967884529,2.84051846790061,0.1832156975129044,1.153741699090846,3.3215697512904403,0.37416990908460956,3.342578156685647,0.84572199905526
