variant,session,detected_observations,stable_inlier_observations,stable_inlier_accepted,stable_inlier_acceptance_rate,outlier_observations,outlier_rejected,outlier_rejection_rate,partial_observations,partial_rejected,partial_rejection_rate,accepted_outliers,max_abs_vz_mps,p99_abs_vz_mps,occlusion_events,events_track_expired,events_reacquired,mean_reacquisition_delay_frames,max_reacquisition_delay_frames
baseline,shield_z0.8m,210,176,176,1.0,1,0,0.0,19,0,0.0,1,0.7746073603630066,0.7746073603630066,2,2,2,1.0,1
baseline,shield_z1.0m,166,138,138,1.0,1,0,0.0,17,0,0.0,1,3.546816110610962,3.1441288185119665,2,2,2,1.5,2
baseline,shield_z1.3m,120,58,58,1.0,23,0,0.0,17,0,0.0,23,10.563671112060547,10.225345420837396,2,2,2,2.5,3
fixed_area_2000,shield_z0.8m,210,176,176,1.0,1,1,1.0,19,5,0.2631578947368421,0,0.10889077931642532,0.10140866898000239,2,2,2,2.5,3
fixed_area_2000,shield_z1.0m,166,138,138,1.0,1,1,1.0,17,9,0.5294117647058824,0,0.20865213871002197,0.17722656607627832,2,2,2,4.0,4
fixed_area_2000,shield_z1.3m,120,58,32,0.5517241379310345,23,23,1.0,17,17,1.0,0,0.3006710410118103,0.22298743471503207,2,2,0,nan,nan
range_normalized_area,shield_z0.8m,210,176,176,1.0,1,1,1.0,19,14,0.7368421052631579,0,0.1438813954591751,0.10324490718543533,2,2,2,7.0,8
range_normalized_area,shield_z1.0m,166,138,138,1.0,1,1,1.0,17,7,0.4117647058823529,0,0.20865213871002197,0.17672544538974772,2,2,2,4.0,4
range_normalized_area,shield_z1.3m,120,58,58,1.0,23,20,0.8695652173913043,17,8,0.47058823529411764,3,10.563671112060547,10.39501953125,2,2,2,2.5,3
shape,shield_z0.8m,210,176,175,0.9943181818181818,1,1,1.0,19,14,0.7368421052631579,0,0.1438813954591751,0.10357709348201725,2,2,2,7.5,9
shape,shield_z1.0m,166,138,138,1.0,1,1,1.0,17,5,0.29411764705882354,0,0.20865213871002197,0.18042255580425268,2,2,2,3.5,4
shape,shield_z1.3m,120,58,48,0.8275862068965517,23,6,0.2608695652173913,17,8,0.47058823529411764,17,7.947672367095947,6.422024369239807,2,2,2,5.0,6
nis_95,shield_z0.8m,210,176,176,1.0,1,1,1.0,19,1,0.05263157894736842,0,0.19255319237709045,0.15128037422895432,2,2,2,1.0,1
nis_95,shield_z1.0m,166,138,127,0.9202898550724637,1,0,0.0,17,0,0.0,1,0.3351993262767792,0.30774072885513304,2,2,2,5.5,10
nis_95,shield_z1.3m,120,58,51,0.8793103448275862,23,15,0.6521739130434783,17,8,0.47058823529411764,8,0.6761578917503357,0.6539850503206249,2,2,2,23.5,27
range_nis99_confirm2,shield_z0.8m,210,176,175,0.9943181818181818,1,1,1.0,19,14,0.7368421052631579,0,0.08567863702774048,0.06969912901520732,2,2,2,8.0,9
range_nis99_confirm2,shield_z1.0m,166,138,137,0.9927536231884058,1,1,1.0,17,7,0.4117647058823529,0,0.12419065833091736,0.06483292251825334,2,2,2,5.0,5
range_nis99_confirm2,shield_z1.3m,120,58,57,0.9827586206896551,23,23,1.0,17,8,0.47058823529411764,0,0.21154701709747314,0.07012779116630552,2,2,2,3.0,3
hybrid_confirm3,shield_z0.8m,210,176,171,0.9715909090909091,1,1,1.0,19,14,0.7368421052631579,0,0.0992632806301117,0.08788867667317384,2,2,2,9.5,11
hybrid_confirm3,shield_z1.0m,166,138,128,0.927536231884058,1,1,1.0,17,7,0.4117647058823529,0,0.10418567061424255,0.06265329569578171,2,2,2,6.0,6
hybrid_confirm3,shield_z1.3m,120,58,33,0.5689655172413793,23,23,1.0,17,13,0.7647058823529411,0,0.25006118416786194,0.2417646616697311,2,2,2,25.5,45
