session,event,phase,start_frame,end_frame,label_source,notes
shield_z0.8m,0,visible,0,60,manual_raw_video_review,遮蔽板が青箱へ重なる前
shield_z0.8m,1,partial_occlusion,61,69,manual_raw_video_review,1回目の遮蔽板進入
shield_z0.8m,1,fully_occluded,70,132,manual_raw_video_review,青箱が遮蔽板で完全に隠れる
shield_z0.8m,1,reappearing,133,138,manual_raw_video_review,1回目の遮蔽板退出
shield_z0.8m,0,visible,139,206,manual_raw_video_review,遮蔽間の安定表示
shield_z0.8m,2,partial_occlusion,207,216,manual_raw_video_review,2回目の遮蔽板進入
shield_z0.8m,2,fully_occluded,217,281,manual_raw_video_review,青箱が遮蔽板で完全に隠れる
shield_z0.8m,2,reappearing,282,290,manual_raw_video_review,2回目の遮蔽板退出
shield_z0.8m,0,visible,291,337,manual_raw_video_review,遮蔽板退出後の安定表示
shield_z1.0m,0,visible,0,51,manual_raw_video_review,遮蔽板が青箱へ重なる前
shield_z1.0m,1,partial_occlusion,52,60,manual_raw_video_review,1回目の遮蔽板進入
shield_z1.0m,1,fully_occluded,61,119,manual_raw_video_review,青箱が遮蔽板で完全に隠れる
shield_z1.0m,1,reappearing,120,125,manual_raw_video_review,1回目の遮蔽板退出
shield_z1.0m,0,visible,126,184,manual_raw_video_review,遮蔽間の安定表示
shield_z1.0m,2,partial_occlusion,185,192,manual_raw_video_review,2回目の遮蔽板進入
shield_z1.0m,2,fully_occluded,193,238,manual_raw_video_review,青箱が遮蔽板で完全に隠れる
shield_z1.0m,2,reappearing,239,243,manual_raw_video_review,2回目の遮蔽板退出
shield_z1.0m,0,visible,244,270,manual_raw_video_review,遮蔽板退出後の安定表示
shield_z1.3m,0,visible,0,33,manual_raw_video_review,遮蔽板が青箱へ重なる前
shield_z1.3m,1,partial_occlusion,34,43,manual_raw_video_review,1回目の遮蔽板進入
shield_z1.3m,1,fully_occluded,44,105,manual_raw_video_review,青箱が遮蔽板で完全に隠れる
shield_z1.3m,1,reappearing,106,125,manual_raw_video_review,1回目の遮蔽板退出
shield_z1.3m,0,visible,126,153,manual_raw_video_review,遮蔽間で青箱は見えるが誤輪郭候補あり
shield_z1.3m,2,partial_occlusion,154,160,manual_raw_video_review,2回目の遮蔽板進入
shield_z1.3m,2,fully_occluded,161,209,manual_raw_video_review,青箱が遮蔽板で完全に隠れる
shield_z1.3m,2,reappearing,210,230,manual_raw_video_review,録画終了まで遮蔽板が退出中
