session,expected_motion,smoothing_window_sec,normalized_area_threshold,frames,movement_frames,measurement_acceptance_rate,z_slope_mps,median_smoothed_vz_mps,direction_correct_rate,deadband_direction_rate,ttc_active_rate,false_ttc_rate,ttc_activation_delay_sec,median_ttc_sec,minimum_ttc_sec,decision
approach_01,approach,0.2,2503.678448310634,498,146,0.9939759036144579,-0.13112248638492097,-0.1311759278178215,1.0,1.0,1.0,0.0,0.0,9.776145537405998,6.055301626808337,PASS
approach_01,approach,0.3,2503.678448310634,498,146,0.9939759036144579,-0.13112248638492097,-0.12628066912293434,1.0,1.0,1.0,0.0,0.0,10.932462990876587,6.207311576696638,PASS
approach_01,approach,0.5,2503.678448310634,498,146,0.9939759036144579,-0.13112248638492097,-0.12868104502558708,1.0,1.0,1.0,0.0,0.0,10.351889676398486,6.9854340527521614,PASS
approach_02,approach,0.2,2503.678448310634,373,141,0.9973190348525469,-0.1243756430530503,-0.11856033653020859,1.0,1.0,1.0,0.0,0.0,10.624501072891126,6.670968525186095,PASS
approach_02,approach,0.3,2503.678448310634,373,141,0.9973190348525469,-0.1243756430530503,-0.11873501166701317,1.0,1.0,1.0,0.0,0.0,10.922731938374412,6.7716055868488585,PASS
approach_02,approach,0.5,2503.678448310634,373,141,0.9973190348525469,-0.1243756430530503,-0.12270468100905418,1.0,1.0,1.0,0.0,0.0,10.754857439443619,7.0042189134396775,PASS
approach_03,approach,0.2,2503.678448310634,395,142,0.9974683544303797,-0.12147604112253732,-0.12208794429898262,1.0,1.0,1.0,0.0,0.0,10.265309043086157,6.274469471384898,PASS
approach_03,approach,0.3,2503.678448310634,395,142,0.9974683544303797,-0.12147604112253732,-0.12047261372208595,1.0,1.0,1.0,0.0,0.0,10.883042316917827,6.841051303718226,PASS
approach_03,approach,0.5,2503.678448310634,395,142,0.9974683544303797,-0.12147604112253732,-0.11833308264613152,1.0,1.0,1.0,0.0,0.0,10.90720429130177,7.316251836090289,PASS
retreat_01,retreat,0.2,2503.678448310634,329,141,0.9969604863221885,0.1252514700902039,0.12433195114135742,1.0,1.0,0.0,0.0,nan,nan,nan,PASS
retreat_01,retreat,0.3,2503.678448310634,329,141,0.9969604863221885,0.1252514700902039,0.12686919420957565,1.0,1.0,0.0,0.0,nan,nan,nan,PASS
retreat_01,retreat,0.5,2503.678448310634,329,141,0.9969604863221885,0.1252514700902039,0.12791252881288528,1.0,1.0,0.0,0.0,nan,nan,nan,PASS
retreat_02,retreat,0.2,2503.678448310634,344,139,0.997093023255814,0.12606165845249562,0.12014593929052353,1.0,1.0,0.0,0.0,nan,nan,nan,PASS
retreat_02,retreat,0.3,2503.678448310634,344,139,0.997093023255814,0.12606165845249562,0.12032020464539528,1.0,1.0,0.0,0.0,nan,nan,nan,PASS
retreat_02,retreat,0.5,2503.678448310634,344,139,0.997093023255814,0.12606165845249562,0.12609142810106277,1.0,1.0,0.0,0.0,nan,nan,nan,PASS
retreat_03,retreat,0.2,2503.678448310634,352,138,0.9971590909090909,0.11842315902177877,0.11431416124105453,1.0,1.0,0.0,0.0,nan,nan,nan,PASS
retreat_03,retreat,0.3,2503.678448310634,352,138,0.9971590909090909,0.11842315902177877,0.11589066684246063,1.0,1.0,0.0,0.0,nan,nan,nan,PASS
retreat_03,retreat,0.5,2503.678448310634,352,138,0.9971590909090909,0.11842315902177877,0.10376578010618687,1.0,1.0,0.0,0.0,nan,nan,nan,PASS
static_z1.0,static,0.2,2503.678448310634,286,285,0.993006993006993,0.00015930633491252069,0.0007671233033761382,0.9719298245614035,0.9719298245614035,0.017543859649122806,0.017543859649122806,nan,23.764503077697295,23.667433777811638,FAIL
static_z1.0,static,0.3,2503.678448310634,286,285,0.993006993006993,0.00015930633491252069,-0.00013564899563789368,0.9964912280701754,0.9964912280701754,0.0,0.0,nan,nan,nan,PASS
static_z1.0,static,0.5,2503.678448310634,286,285,0.993006993006993,0.00015930633491252069,-0.0003088677767664194,0.9964912280701754,0.9964912280701754,0.0,0.0,nan,nan,nan,PASS
