archive_filename,archive_path,size_bytes,sha256,tar_xz_status,archive_members,recording_sessions,metadata_sessions,detections_sessions,raw_video_sessions,complete_core_sessions,session_names,error
Traial_label_20260818_122925_056.tar.xz,/home/robo25/Downloads/recoding/Traial_label_20260818_122925_056.tar.xz,34671288,e485edd2edfb77395a691e104863c4ae21c905547e9a440b6151fb9afaba6f8d,PASS,6,1,1,1,1,1,Traial_label_20260818_122925_056,
calibraition.tar.xz,/home/robo25/Downloads/recoding/calibraition.tar.xz,97497796,8aa40838f211d38a9e0fc5e1bdefeddcf4791427dc0d941e6cc256640aed1465,PASS,36,6,6,6,6,6,cal_xm0.30_z0.80;cal_xm0.30_z1.0;cal_xm0.30_z1.3;cal_xp0.30_z0.80;cal_xp0.30_z1.0;cal_xp0.30_z1.3,
coding_20260807_6.tar.xz,/home/robo25/Downloads/recoding/coding_20260807_6.tar.xz,106975924,34e16993d6c4621085bfa4583e3b425c70d0d873f40979bfc69f59d71711e75c,PASS,24,4,4,4,4,4,holdout_xm0.22_z0.95;holdout_xm0.22_z1.20;holdout_xp0.22_z0.95;holdout_xp0.22_z1.20,
holdout.tar.xz,/home/robo25/Downloads/recoding/holdout.tar.xz,60994092,6dae7c67e5874cfeccf16de4750490d9b64e96023a75d6f8727e72de24e000ad,PASS,24,4,4,4,4,4,holdout_xm0.15_z0.90;holdout_xm0.15_z1.15;holdout_xp0.15_z0.90;holdout_xp0.15_z1.15,
recoding_08181630.tar.xz,/home/robo25/Downloads/recoding/recoding_08181630.tar.xz,97901784,e794af2914508f56d734c049858f909506f8184de293de1e6155f9d63217d8b1,PASS,42,7,7,7,7,7,x-0.22m_z0.95m_20260818_162502_015;x-0.22m_z1.2m_20260818_162820_565;x0.0m_z0.8m_20260818_162139_642;x0.0m_z1.0m_20260818_162224_840;x0.0m_z1.3m_20260818_162247_135;x0.22m_z0.95m_20260818_162539_367;x0.22m_z1.2m_20260818_162746_609,
recoding_08181700.tar.xz,/home/robo25/Downloads/recoding/recoding_08181700.tar.xz,360749900,752abae4003a5577c32ad461789e0e956cf6ba620d25921a7d2463e2ee25d162,PASS,36,6,6,6,6,6,static_center_z1p00_r01_20260818_164807_727;static_center_z1p00_r02_20260818_164908_140;static_center_z1p00_r03_20260818_164956_525;static_left_xm0p40_z1p00_r01_20260818_165339_551;static_none_r01_20260818_164442_953;static_right_xp0p40_z1p00_r01_20260818_165227_107,
recoding_08181725.tar.xz,/home/robo25/Downloads/recoding/recoding_08181725.tar.xz,191628232,9cf05825186ff04d5a969a557bcdce1e85cba5d4b0db275d0df550476201d844,PASS,36,6,6,6,6,6,approach_center_v0p10_r01_20260818_172025_635;approach_center_v0p10_r02_20260818_172100_667;approach_center_v0p10_r03_20260818_172131_591;retreat_center_v0p10_r01_20260818_172222_468;retreat_center_v0p10_r02_20260818_172256_256;retreat_center_v0p10_r03_20260818_172320_984,
recoding_08181740.tar.xz,/home/robo25/Downloads/recoding/recoding_08181740.tar.xz,108303148,c982a263101b42c9965ba6ea0f31498a5322f3fcc1c2bc08f060cb7418da6d92,PASS,18,3,3,3,3,3,approach_center_v0p20_r01_20260818_173859_761;approach_center_v0p20_r02_20260818_173929_852;approach_center_v0p20_r03_20260818_173959_164,
recoding_20260806.tar.xz,/home/robo25/Downloads/recoding/recoding_20260806.tar.xz,109650652,fe5588863f25e7a55f95c34531c404d1a188cade6881f29fae6143efaa200f07,PASS,54,9,9,9,9,9,x-0.5m_z0.7m;x-0.5m_z1.0m;x-0.5m_z1.3m;x0.0m_z0.7m;x0.5m_z0.7m;x0.5m_z1.0m;x0.5m_z1.3m;x0m_z1.0m;x0m_z1.3m,
recoding_20260806_2.tar.xz,/home/robo25/Downloads/recoding/recoding_20260806_2.tar.xz,47093032,c2c02bfc5ed057c49515e341237713924623f309a7282a72ca5f87005ec0d9b1,PASS,24,4,4,4,4,4,x-0.25m_z0.85m;x-0.25m_z1.15m;x0.25m_z0.85m;x0.25m_z1.15m,
recoding_20260807_2.tar.xz,/home/robo25/Downloads/recoding/recoding_20260807_2.tar.xz,279689992,ae618a026c99381403b78db101cd31a53757e301e492fd9e491b9547cdd68664,PASS,50,8,8,8,8,8,approach_01;approach_02;approach_03;occlusion;retreat_01;retreat_02;retreat_03;static_z1.0,
recoding_20260807_3.tar.xz,/home/robo25/Downloads/recoding/recoding_20260807_3.tar.xz,75196396,13d1ea8135cb90735520df99155efa99a64a986268e9a101259b6ed2f069a088,PASS,18,3,3,3,3,3,shield_z0.8m;shield_z1.0m;shield_z1.3m,
recoding_20260807_4.tar.xz,/home/robo25/Downloads/recoding/recoding_20260807_4.tar.xz,53531708,7e1a88bc7b7943dfd1589331c8403cdde60b16e4d8a3cecc65c051b9ccd5345d,PASS,18,3,3,3,3,3,cal_xm0.30_z1.0_2;holdout_xm0.15_z0.90_2;holdout_xm0.15_z1.15_2,
recoding_20260807_5.tar.xz,/home/robo25/Downloads/recoding/recoding_20260807_5.tar.xz,161394232,e4e5876293a2c2363b8374329dabc1d03ec9410b7dce1bb23aeeb599ad6ab2e6,PASS,42,7,7,7,7,7,cal_xm0.30_z0.80_2;cal_xm0.30_z1.30_2;cal_xp0.30_z0.80_2;cal_xp0.30_z1.00_2;cal_xp0.30_z1.30_2;holdout_xp0.15_z0.90_2;holdout_xp0.15_z1.15_2,
