priority,dataset_role,trial_label,object,x_m,z_m,motion,speed_mps,occlusion_events,duration_sec,repeats,status
P0,holdout_gate,gate_holdout_none_r01,none,,,static,,0,10,1,pending
P0,holdout_gate,gate_holdout_center_x0p00_z1p00_r01,blue_box,0.00,1.00,static,,0,10,1,pending
P0,holdout_gate,gate_holdout_left_xm0p40_z1p00_r01,blue_box,-0.40,1.00,static,,0,10,1,pending
P0,holdout_gate,gate_holdout_left_xm0p40_z1p00_r02,blue_box,-0.40,1.00,static,,0,10,1,pending
P0,holdout_gate,gate_holdout_left_xm0p40_z1p00_r03,blue_box,-0.40,1.00,static,,0,10,1,pending
P0,holdout_gate,gate_holdout_right_xp0p40_z1p00_r01,blue_box,0.40,1.00,static,,0,10,1,pending
P0,holdout_gate,gate_holdout_right_xp0p40_z1p00_r02,blue_box,0.40,1.00,static,,0,10,1,pending
P0,holdout_gate,gate_holdout_right_xp0p40_z1p00_r03,blue_box,0.40,1.00,static,,0,10,1,pending
P0,holdout_gate,gate_holdout_occlusion_z0p80_r01,blue_box,0.00,0.80,static,,2,20,1,pending
P0,holdout_gate,gate_holdout_occlusion_z1p00_r01,blue_box,0.00,1.00,static,,2,20,1,pending
P0,holdout_gate,gate_holdout_occlusion_z1p30_r01,blue_box,0.00,1.30,static,,2,20,1,pending
P1,development,grid_box_xm0p40_z0p80_r01,blue_box,-0.40,0.80,static,,0,10,1,pending
P1,development,grid_box_xm0p20_z0p80_r01,blue_box,-0.20,0.80,static,,0,10,1,pending
P1,development,grid_box_x0p00_z0p80_r01,blue_box,0.00,0.80,static,,0,10,1,pending
P1,development,grid_box_xp0p20_z0p80_r01,blue_box,0.20,0.80,static,,0,10,1,pending
P1,development,grid_box_xp0p40_z0p80_r01,blue_box,0.40,0.80,static,,0,10,1,pending
P1,development,grid_box_xm0p40_z1p00_r01,blue_box,-0.40,1.00,static,,0,10,1,pending
P1,development,grid_box_xm0p20_z1p00_r01,blue_box,-0.20,1.00,static,,0,10,1,pending
P1,development,grid_box_x0p00_z1p00_r01,blue_box,0.00,1.00,static,,0,10,1,pending
P1,development,grid_box_xp0p20_z1p00_r01,blue_box,0.20,1.00,static,,0,10,1,pending
P1,development,grid_box_xp0p40_z1p00_r01,blue_box,0.40,1.00,static,,0,10,1,pending
P1,development,grid_box_xm0p40_z1p30_r01,blue_box,-0.40,1.30,static,,0,10,1,pending
P1,development,grid_box_xm0p20_z1p30_r01,blue_box,-0.20,1.30,static,,0,10,1,pending
P1,development,grid_box_x0p00_z1p30_r01,blue_box,0.00,1.30,static,,0,10,1,pending
P1,development,grid_box_xp0p20_z1p30_r01,blue_box,0.20,1.30,static,,0,10,1,pending
P1,development,grid_box_xp0p40_z1p30_r01,blue_box,0.40,1.30,static,,0,10,1,pending
P2,development,shape_bluecone_center_z0p80_r01,blue_cone,0.00,0.80,static,,0,10,1,optional
P2,development,shape_bluecone_center_z1p00_r01,blue_cone,0.00,1.00,static,,0,10,1,optional
P2,development,shape_bluecone_center_z1p30_r01,blue_cone,0.00,1.30,static,,0,10,1,optional
