hsv_v_min,session,no_target,frames,detected_frames,detection_rate,median_area_px,median_fill_ratio,median_solidity,measurement_acceptance_rate,track_available_rate,stable_inlier_acceptance_rate,outlier_rejection_rate,max_abs_vz_mps,occlusion_events,events_track_expired,events_reacquired,decision
10,hakonasi_20260825_131458_522,1,853,853,1.0,1608.5,0.5497907220090688,0.7942178740244037,0.0,0.0,0.0,1.0,nan,0,0,0,FAIL
10,x-0.4mz1.0m_1_20260825_132457_315,0,590,590,1.0,2660.0,0.7546662895927602,0.9337338983027714,0.9983050847457627,0.9983050847457627,0.9983050847457627,nan,0.013051828369498253,0,0,0,PASS
10,x-0.4mz1.0m_2_20260825_132526_688,0,628,628,1.0,2660.5,0.7549490950226244,0.9341622362442281,0.9984076433121019,0.9984076433121019,0.9984076433121019,nan,0.012074645608663559,0,0,0,PASS
10,x-0.4mz1.0m_3_20260825_132558_373,0,585,585,1.0,2655.0,0.7557975113122172,0.9354159354159354,0.9982905982905983,0.9982905982905983,0.9982905982905983,nan,0.01547024492174387,0,0,0,PASS
10,x-0.4mz1.0m_4_20260825_141800_161,0,345,345,1.0,2666.5,0.7549019607843137,0.9307851239669421,0.9971014492753624,0.9971014492753624,0.9971014492753624,nan,0.011758485808968544,0,0,0,PASS
10,x0.0mz0.8m_4_20260825_141625_493,0,382,382,1.0,5265.5,0.7188869112814895,0.8790505138819644,0.9973821989528796,0.9973821989528796,0.9973821989528796,nan,0.011938418261706829,0,0,0,PASS
10,x0.0mz0.8m_4_kyuubasyo_20260825_141945_844,0,313,313,1.0,5406.0,0.6818642350557245,0.8575145876044787,0.9968051118210862,0.9968051118210862,0.9968051118210862,nan,0.0003793850773945451,0,0,0,PASS
10,x0.0mz0.8m_syahei_20260825_132109_556,0,767,767,1.0,5500.0,0.7537619699042407,0.902103626094786,0.7692307692307693,0.78748370273794,0.9981981981981982,1.0,0.10633435100317001,2,2,2,PASS
10,x0.0mz1.0m_20260825_131915_200,0,530,530,1.0,3914.0,0.6528191137566137,0.8434566782633537,0.9981132075471698,0.9981132075471698,0.9981132075471698,nan,0.014592582359910011,0,0,0,PASS
10,x0.0mz1.0m_syahei_20260825_132000_690,0,655,655,1.0,3826.0,0.6697916666666667,0.8513814616755794,0.8076335877862595,0.8519083969465648,0.9974747474747475,nan,0.09133836627006531,2,1,2,FAIL
