dataset_role,source,session,normalization_mode,threshold,reference_x_m,reference_z_m,reference_ground_distance_m,reference_raw_ground_distance_m,detected_observations,stable_inlier_observations,stable_inlier_accepted,stable_inlier_acceptance_rate,outlier_observations,outlier_rejected,outlier_rejection_rate,median_normalized_area,stable_acceptance_decision
development,Experimental_results/2026-08-11_observation_replay.csv,shield_z0.8m,forward_z,1800.0,0.018854889456109122,0.9383400922908817,0.9385295070784202,0.9383519736322786,210,176,176,1.0,1,1,1.0,4189.99433042919,PASS
development,Experimental_results/2026-08-11_observation_replay.csv,shield_z0.8m,forward_z,2000.0,0.018854889456109122,0.9383400922908817,0.9385295070784202,0.9383519736322786,210,176,176,1.0,1,1,1.0,4189.99433042919,PASS
development,Experimental_results/2026-08-11_observation_replay.csv,shield_z0.8m,forward_z,2503.678448310634,0.018854889456109122,0.9383400922908817,0.9385295070784202,0.9383519736322786,210,176,176,1.0,1,1,1.0,4189.99433042919,PASS
development,Experimental_results/2026-08-11_observation_replay.csv,shield_z0.8m,calibrated_ground_distance,1800.0,0.018854889456109122,0.9383400922908817,0.9385295070784202,0.9383519736322786,210,176,176,1.0,1,1,1.0,4191.686098682094,PASS
development,Experimental_results/2026-08-11_observation_replay.csv,shield_z0.8m,calibrated_ground_distance,2000.0,0.018854889456109122,0.9383400922908817,0.9385295070784202,0.9383519736322786,210,176,176,1.0,1,1,1.0,4191.686098682094,PASS
development,Experimental_results/2026-08-11_observation_replay.csv,shield_z0.8m,calibrated_ground_distance,2503.678448310634,0.018854889456109122,0.9383400922908817,0.9385295070784202,0.9383519736322786,210,176,176,1.0,1,1,1.0,4191.686098682094,PASS
development,Experimental_results/2026-08-11_observation_replay.csv,shield_z0.8m,raw_ground_distance,1800.0,0.018854889456109122,0.9383400922908817,0.9385295070784202,0.9383519736322786,210,176,176,1.0,1,1,1.0,4190.100439224236,PASS
development,Experimental_results/2026-08-11_observation_replay.csv,shield_z0.8m,raw_ground_distance,2000.0,0.018854889456109122,0.9383400922908817,0.9385295070784202,0.9383519736322786,210,176,176,1.0,1,1,1.0,4190.100439224236,PASS
development,Experimental_results/2026-08-11_observation_replay.csv,shield_z0.8m,raw_ground_distance,2503.678448310634,0.018854889456109122,0.9383400922908817,0.9385295070784202,0.9383519736322786,210,176,176,1.0,1,1,1.0,4190.100439224236,PASS
development,Experimental_results/2026-08-11_observation_replay.csv,shield_z1.0m,forward_z,1800.0,0.02125503356457124,1.2326144816228997,1.232797727430709,1.2327922481075553,166,138,138,1.0,1,1,1.0,5170.6886150380615,PASS
development,Experimental_results/2026-08-11_observation_replay.csv,shield_z1.0m,forward_z,2000.0,0.02125503356457124,1.2326144816228997,1.232797727430709,1.2327922481075553,166,138,138,1.0,1,1,1.0,5170.6886150380615,PASS
development,Experimental_results/2026-08-11_observation_replay.csv,shield_z1.0m,forward_z,2503.678448310634,0.02125503356457124,1.2326144816228997,1.232797727430709,1.2327922481075553,166,138,138,1.0,1,1,1.0,5170.6886150380615,PASS
development,Experimental_results/2026-08-11_observation_replay.csv,shield_z1.0m,calibrated_ground_distance,1800.0,0.02125503356457124,1.2326144816228997,1.232797727430709,1.2327922481075553,166,138,138,1.0,1,1,1.0,5172.226123247754,PASS
development,Experimental_results/2026-08-11_observation_replay.csv,shield_z1.0m,calibrated_ground_distance,2000.0,0.02125503356457124,1.2326144816228997,1.232797727430709,1.2327922481075553,166,138,138,1.0,1,1,1.0,5172.226123247754,PASS
development,Experimental_results/2026-08-11_observation_replay.csv,shield_z1.0m,calibrated_ground_distance,2503.678448310634,0.02125503356457124,1.2326144816228997,1.232797727430709,1.2327922481075553,166,138,138,1.0,1,1,1.0,5172.226123247754,PASS
development,Experimental_results/2026-08-11_observation_replay.csv,shield_z1.0m,raw_ground_distance,1800.0,0.02125503356457124,1.2326144816228997,1.232797727430709,1.2327922481075553,166,138,138,1.0,1,1,1.0,5172.180146142603,PASS
development,Experimental_results/2026-08-11_observation_replay.csv,shield_z1.0m,raw_ground_distance,2000.0,0.02125503356457124,1.2326144816228997,1.232797727430709,1.2327922481075553,166,138,138,1.0,1,1,1.0,5172.180146142603,PASS
development,Experimental_results/2026-08-11_observation_replay.csv,shield_z1.0m,raw_ground_distance,2503.678448310634,0.02125503356457124,1.2326144816228997,1.232797727430709,1.2327922481075553,166,138,138,1.0,1,1,1.0,5172.180146142603,PASS
development,Experimental_results/2026-08-11_observation_replay.csv,shield_z1.3m,forward_z,1800.0,-0.021371675019821484,1.7237371288775631,1.7238696116482295,1.7241261204048919,120,58,58,1.0,23,2,0.08695652173913043,4720.604719147153,PASS
development,Experimental_results/2026-08-11_observation_replay.csv,shield_z1.3m,forward_z,2000.0,-0.021371675019821484,1.7237371288775631,1.7238696116482295,1.7241261204048919,120,58,58,1.0,23,3,0.13043478260869565,4720.604719147153,PASS
development,Experimental_results/2026-08-11_observation_replay.csv,shield_z1.3m,forward_z,2503.678448310634,-0.021371675019821484,1.7237371288775631,1.7238696116482295,1.7241261204048919,120,58,58,1.0,23,20,0.8695652173913043,4720.604719147153,PASS
development,Experimental_results/2026-08-11_observation_replay.csv,shield_z1.3m,calibrated_ground_distance,1800.0,-0.021371675019821484,1.7237371288775631,1.7238696116482295,1.7241261204048919,120,58,58,1.0,23,2,0.08695652173913043,4721.330378315651,PASS
development,Experimental_results/2026-08-11_observation_replay.csv,shield_z1.3m,calibrated_ground_distance,2000.0,-0.021371675019821484,1.7237371288775631,1.7238696116482295,1.7241261204048919,120,58,58,1.0,23,3,0.13043478260869565,4721.330378315651,PASS
development,Experimental_results/2026-08-11_observation_replay.csv,shield_z1.3m,calibrated_ground_distance,2503.678448310634,-0.021371675019821484,1.7237371288775631,1.7238696116482295,1.7241261204048919,120,58,58,1.0,23,20,0.8695652173913043,4721.330378315651,PASS
development,Experimental_results/2026-08-11_observation_replay.csv,shield_z1.3m,raw_ground_distance,1800.0,-0.021371675019821484,1.7237371288775631,1.7238696116482295,1.7241261204048919,120,58,58,1.0,23,2,0.08695652173913043,4722.735534110426,PASS
development,Experimental_results/2026-08-11_observation_replay.csv,shield_z1.3m,raw_ground_distance,2000.0,-0.021371675019821484,1.7237371288775631,1.7238696116482295,1.7241261204048919,120,58,58,1.0,23,3,0.13043478260869565,4722.735534110426,PASS
development,Experimental_results/2026-08-11_observation_replay.csv,shield_z1.3m,raw_ground_distance,2503.678448310634,-0.021371675019821484,1.7237371288775631,1.7238696116482295,1.7241261204048919,120,58,58,1.0,23,20,0.8695652173913043,4722.735534110426,PASS
development,Experimental_results/2026-08-25_distance_comparison_old_observation_replay.csv,x0.0m_z0.8m_20260818_162139_642,forward_z,1800.0,-0.027481961721857115,0.7732161666435192,0.7737043999997545,0.7775441167267089,161,161,161,1.0,0,0,nan,3162.098678258214,PASS
development,Experimental_results/2026-08-25_distance_comparison_old_observation_replay.csv,x0.0m_z0.8m_20260818_162139_642,forward_z,2000.0,-0.027481961721857115,0.7732161666435192,0.7737043999997545,0.7775441167267089,161,161,161,1.0,0,0,nan,3162.098678258214,PASS
development,Experimental_results/2026-08-25_distance_comparison_old_observation_replay.csv,x0.0m_z0.8m_20260818_162139_642,forward_z,2503.678448310634,-0.027481961721857115,0.7732161666435192,0.7737043999997545,0.7775441167267089,161,161,161,1.0,0,0,nan,3162.098678258214,PASS
development,Experimental_results/2026-08-25_distance_comparison_old_observation_replay.csv,x0.0m_z0.8m_20260818_162139_642,calibrated_ground_distance,1800.0,-0.027481961721857115,0.7732161666435192,0.7737043999997545,0.7775441167267089,161,161,161,1.0,0,0,nan,3166.0932389842255,PASS
development,Experimental_results/2026-08-25_distance_comparison_old_observation_replay.csv,x0.0m_z0.8m_20260818_162139_642,calibrated_ground_distance,2000.0,-0.027481961721857115,0.7732161666435192,0.7737043999997545,0.7775441167267089,161,161,161,1.0,0,0,nan,3166.0932389842255,PASS
development,Experimental_results/2026-08-25_distance_comparison_old_observation_replay.csv,x0.0m_z0.8m_20260818_162139_642,calibrated_ground_distance,2503.678448310634,-0.027481961721857115,0.7732161666435192,0.7737043999997545,0.7775441167267089,161,161,161,1.0,0,0,nan,3166.0932389842255,PASS
development,Experimental_results/2026-08-25_distance_comparison_old_observation_replay.csv,x0.0m_z0.8m_20260818_162139_642,raw_ground_distance,1800.0,-0.027481961721857115,0.7732161666435192,0.7737043999997545,0.7775441167267089,161,161,161,1.0,0,0,nan,3197.5963999304654,PASS
development,Experimental_results/2026-08-25_distance_comparison_old_observation_replay.csv,x0.0m_z0.8m_20260818_162139_642,raw_ground_distance,2000.0,-0.027481961721857115,0.7732161666435192,0.7737043999997545,0.7775441167267089,161,161,161,1.0,0,0,nan,3197.5963999304654,PASS
development,Experimental_results/2026-08-25_distance_comparison_old_observation_replay.csv,x0.0m_z0.8m_20260818_162139_642,raw_ground_distance,2503.678448310634,-0.027481961721857115,0.7732161666435192,0.7737043999997545,0.7775441167267089,161,161,161,1.0,0,0,nan,3197.5963999304654,PASS
development,Experimental_results/2026-08-25_distance_comparison_old_observation_replay.csv,x0.0m_z1.0m_20260818_162224_840,forward_z,1800.0,-0.04465608152409125,0.9790494239071243,0.9800673140503964,0.9853503594836872,169,169,169,1.0,0,0,nan,3567.198327626363,PASS
development,Experimental_results/2026-08-25_distance_comparison_old_observation_replay.csv,x0.0m_z1.0m_20260818_162224_840,forward_z,2000.0,-0.04465608152409125,0.9790494239071243,0.9800673140503964,0.9853503594836872,169,169,169,1.0,0,0,nan,3567.198327626363,PASS
development,Experimental_results/2026-08-25_distance_comparison_old_observation_replay.csv,x0.0m_z1.0m_20260818_162224_840,forward_z,2503.678448310634,-0.04465608152409125,0.9790494239071243,0.9800673140503964,0.9853503594836872,169,169,169,1.0,0,0,nan,3567.198327626363,PASS
development,Experimental_results/2026-08-25_distance_comparison_old_observation_replay.csv,x0.0m_z1.0m_20260818_162224_840,calibrated_ground_distance,1800.0,-0.04465608152409125,0.9790494239071243,0.9800673140503964,0.9853503594836872,169,169,169,1.0,0,0,nan,3574.6196149703496,PASS
development,Experimental_results/2026-08-25_distance_comparison_old_observation_replay.csv,x0.0m_z1.0m_20260818_162224_840,calibrated_ground_distance,2000.0,-0.04465608152409125,0.9790494239071243,0.9800673140503964,0.9853503594836872,169,169,169,1.0,0,0,nan,3574.6196149703496,PASS
development,Experimental_results/2026-08-25_distance_comparison_old_observation_replay.csv,x0.0m_z1.0m_20260818_162224_840,calibrated_ground_distance,2503.678448310634,-0.04465608152409125,0.9790494239071243,0.9800673140503964,0.9853503594836872,169,169,169,1.0,0,0,nan,3574.6196149703496,PASS
development,Experimental_results/2026-08-25_distance_comparison_old_observation_replay.csv,x0.0m_z1.0m_20260818_162224_840,raw_ground_distance,1800.0,-0.04465608152409125,0.9790494239071243,0.9800673140503964,0.9853503594836872,169,169,169,1.0,0,0,nan,3613.2614040732315,PASS
development,Experimental_results/2026-08-25_distance_comparison_old_observation_replay.csv,x0.0m_z1.0m_20260818_162224_840,raw_ground_distance,2000.0,-0.04465608152409125,0.9790494239071243,0.9800673140503964,0.9853503594836872,169,169,169,1.0,0,0,nan,3613.2614040732315,PASS
development,Experimental_results/2026-08-25_distance_comparison_old_observation_replay.csv,x0.0m_z1.0m_20260818_162224_840,raw_ground_distance,2503.678448310634,-0.04465608152409125,0.9790494239071243,0.9800673140503964,0.9853503594836872,169,169,169,1.0,0,0,nan,3613.2614040732315,PASS
development,Experimental_results/2026-08-25_distance_comparison_old_observation_replay.csv,x0.0m_z1.3m_20260818_162247_135,forward_z,1800.0,-0.014384846802302731,1.315183812277012,1.3152624771858357,1.3165909487289287,173,173,173,1.0,0,0,nan,4120.16555189983,PASS
development,Experimental_results/2026-08-25_distance_comparison_old_observation_replay.csv,x0.0m_z1.3m_20260818_162247_135,forward_z,2000.0,-0.014384846802302731,1.315183812277012,1.3152624771858357,1.3165909487289287,173,173,173,1.0,0,0,nan,4120.16555189983,PASS
development,Experimental_results/2026-08-25_distance_comparison_old_observation_replay.csv,x0.0m_z1.3m_20260818_162247_135,forward_z,2503.678448310634,-0.014384846802302731,1.315183812277012,1.3152624771858357,1.3165909487289287,173,173,173,1.0,0,0,nan,4120.16555189983,PASS
development,Experimental_results/2026-08-25_distance_comparison_old_observation_replay.csv,x0.0m_z1.3m_20260818_162247_135,calibrated_ground_distance,1800.0,-0.014384846802302731,1.315183812277012,1.3152624771858357,1.3165909487289287,173,173,173,1.0,0,0,nan,4120.658444433176,PASS
development,Experimental_results/2026-08-25_distance_comparison_old_observation_replay.csv,x0.0m_z1.3m_20260818_162247_135,calibrated_ground_distance,2000.0,-0.014384846802302731,1.315183812277012,1.3152624771858357,1.3165909487289287,173,173,173,1.0,0,0,nan,4120.658444433176,PASS
development,Experimental_results/2026-08-25_distance_comparison_old_observation_replay.csv,x0.0m_z1.3m_20260818_162247_135,calibrated_ground_distance,2503.678448310634,-0.014384846802302731,1.315183812277012,1.3152624771858357,1.3165909487289287,173,173,173,1.0,0,0,nan,4120.658444433176,PASS
development,Experimental_results/2026-08-25_distance_comparison_old_observation_replay.csv,x0.0m_z1.3m_20260818_162247_135,raw_ground_distance,1800.0,-0.014384846802302731,1.315183812277012,1.3152624771858357,1.3165909487289287,173,173,173,1.0,0,0,nan,4128.986731986908,PASS
development,Experimental_results/2026-08-25_distance_comparison_old_observation_replay.csv,x0.0m_z1.3m_20260818_162247_135,raw_ground_distance,2000.0,-0.014384846802302731,1.315183812277012,1.3152624771858357,1.3165909487289287,173,173,173,1.0,0,0,nan,4128.986731986908,PASS
development,Experimental_results/2026-08-25_distance_comparison_old_observation_replay.csv,x0.0m_z1.3m_20260818_162247_135,raw_ground_distance,2503.678448310634,-0.014384846802302731,1.315183812277012,1.3152624771858357,1.3165909487289287,173,173,173,1.0,0,0,nan,4128.986731986908,PASS
