hsv_v_min,session,no_target,frames,detected_frames,detection_rate,median_area_px,median_fill_ratio,median_solidity,measurement_acceptance_rate,track_available_rate,stable_inlier_acceptance_rate,outlier_rejection_rate,max_abs_vz_mps,occlusion_events,events_track_expired,events_reacquired,decision
21,hakonasi_20260825_131458_522,1,853,853,1.0,1608.5,0.5552325581395349,0.7956087824351298,0.0,0.0,0.0,1.0,nan,0,0,0,FAIL
21,x0.0mz0.8m_syahei_20260825_132109_556,0,767,767,1.0,5060.5,0.7473552747575668,0.8839456729932091,0.7483702737940026,0.7705345501955672,0.9945945945945946,1.0,0.059251416474580765,2,2,2,PASS
21,x0.0mz1.0m_syahei_20260825_132000_690,0,655,655,1.0,3580.5,0.6873927958833619,0.849791542584872,0.667175572519084,0.6900763358778625,0.9974747474747475,1.0,0.028086118400096893,2,2,2,PASS
21,x0.0mz1.3m_syahei_20260825_132301_275,0,657,591,0.8995433789954338,2395.5,0.6988505747126437,0.8866300366300366,0.7140439932318104,0.6636225266362252,0.9973890339425587,1.0,0.08175107836723328,2,2,2,PASS
22,hakonasi_20260825_131458_522,1,853,853,1.0,1608.5,0.5586538461538462,0.7968855030248712,0.0,0.0,0.0,1.0,nan,0,0,0,FAIL
22,x0.0mz0.8m_syahei_20260825_132109_556,0,767,767,1.0,4987.0,0.7369233029679695,0.8765049879600963,0.7379400260756193,0.7561929595827901,0.9927927927927928,1.0,0.09697870910167694,2,2,2,PASS
22,x0.0mz1.0m_syahei_20260825_132000_690,0,655,655,1.0,3544.0,0.6763418347925391,0.843019842667606,0.6625954198473283,0.683969465648855,0.9974747474747475,1.0,0.028107281774282455,2,2,2,PASS
22,x0.0mz1.3m_syahei_20260825_132301_275,0,657,583,0.8873668188736682,2382.0,0.6955459770114942,0.8845311929952572,0.7238421955403087,0.6636225266362252,0.9973890339425587,1.0,0.08253311365842819,2,2,2,PASS
23,hakonasi_20260825_131458_522,1,853,853,1.0,1608.5,0.5592211460855528,0.7963976288189695,0.0,0.0,0.0,1.0,nan,0,0,0,FAIL
23,x0.0mz0.8m_syahei_20260825_132109_556,0,767,767,1.0,4888.0,0.7270790478989128,0.8675709441370695,0.7288135593220338,0.7470664928292047,0.9927927927927928,1.0,0.05598169192671776,2,2,2,PASS
23,x0.0mz1.0m_syahei_20260825_132000_690,0,655,655,1.0,3507.5,0.6637019230769231,0.836935866983373,0.6564885496183206,0.6778625954198473,0.9974747474747475,1.0,0.0466284416615963,2,2,2,PASS
23,x0.0mz1.3m_syahei_20260825_132301_275,0,657,576,0.8767123287671232,2368.75,0.6927021403091558,0.8835992276811078,0.7326388888888888,0.6636225266362252,0.9973890339425587,1.0,0.14003276824951172,2,2,2,PASS
24,hakonasi_20260825_131458_522,1,853,853,1.0,1606.5,0.5579861111111111,0.7981947130883301,0.0,0.0,0.0,nan,nan,0,0,0,FAIL
24,x0.0mz0.8m_syahei_20260825_132109_556,0,767,767,1.0,4800.0,0.7182981927710843,0.8611463812806095,0.711864406779661,0.7314211212516297,0.9801801801801802,1.0,0.16977983713150024,2,2,2,PASS
24,x0.0mz1.0m_syahei_20260825_132000_690,0,655,655,1.0,3469.5,0.6520370370370371,0.8329150233058444,0.6473282442748092,0.6748091603053435,0.9974747474747475,1.0,0.06729558855295181,2,2,2,PASS
24,x0.0mz1.3m_syahei_20260825_132301_275,0,657,571,0.8691019786910198,2354.0,0.6889367816091954,0.879808577213326,0.7355516637478109,0.6605783866057838,0.9973890339425587,1.0,0.0833631083369255,2,2,2,PASS
