hsv_v_min,session,no_target,frames,detected_frames,detection_rate,median_area_px,median_fill_ratio,median_solidity,measurement_acceptance_rate,track_available_rate,stable_inlier_acceptance_rate,outlier_rejection_rate,max_abs_vz_mps,occlusion_events,events_track_expired,events_reacquired,decision
21,shield_z0.8m,0,338,220,0.650887573964497,5209.5,0.7974892506142506,0.9108352222494849,0.9272727272727272,0.6449704142011834,0.9943181818181818,1.0,0.0895126461982727,2,2,2,PASS
21,shield_z1.0m,0,271,173,0.6383763837638377,3649.5,0.7572916666666667,0.8960817717206133,0.9421965317919075,0.6531365313653137,0.9927536231884058,1.0,0.22557596862316132,2,2,2,PASS
21,shield_z1.3m,0,231,131,0.5670995670995671,2305.5,0.7198275862068966,0.8745239908606245,0.916030534351145,0.6017316017316018,0.967741935483871,1.0,0.19049137830734253,2,2,2,FAIL
22,shield_z0.8m,0,338,217,0.6420118343195266,5162.5,0.7984848484848485,0.9102353585112206,0.9354838709677419,0.6420118343195266,0.9943181818181818,1.0,0.10844238102436066,2,2,2,PASS
22,shield_z1.0m,0,271,173,0.6383763837638377,3629.0,0.7597388698630136,0.8980692076228686,0.9421965317919075,0.6531365313653137,0.9927536231884058,1.0,0.3375170826911926,2,2,2,FAIL
22,shield_z1.3m,0,231,131,0.5670995670995671,2286.5,0.7208538587848933,0.876123696512046,0.9236641221374046,0.6017316017316018,0.967741935483871,1.0,0.21154701709747314,2,2,2,FAIL
23,shield_z0.8m,0,338,217,0.6420118343195266,5114.5,0.7962548015364916,0.9078514339445228,0.9354838709677419,0.6420118343195266,0.9943181818181818,1.0,0.11384967714548111,2,2,2,PASS
23,shield_z1.0m,0,271,173,0.6383763837638377,3611.0,0.7617483074472322,0.8993132205052735,0.930635838150289,0.6457564575645757,0.9927536231884058,1.0,0.28197598457336426,2,2,2,PASS
23,shield_z1.3m,0,231,129,0.5584415584415584,2271.0,0.7299019607843137,0.8772098385857033,0.9069767441860465,0.5974025974025974,0.9032258064516129,1.0,0.21129868924617767,2,2,2,FAIL
24,shield_z0.8m,0,338,217,0.6420118343195266,5066.0,0.7918458230958231,0.904987486592778,0.9262672811059908,0.636094674556213,0.9943181818181818,1.0,0.11712738126516342,2,2,2,PASS
24,shield_z1.0m,0,271,172,0.6346863468634686,3590.75,0.7641397849462366,0.8996358178186926,0.936046511627907,0.6457564575645757,0.9927536231884058,1.0,0.2819705605506897,2,2,2,PASS
24,shield_z1.3m,0,231,129,0.5584415584415584,2248.5,0.7351532567049809,0.8830527086383602,0.8837209302325582,0.5974025974025974,0.8709677419354839,1.0,0.21154701709747314,2,2,2,FAIL
