dataset_role,source,normalization_mode,threshold,session,detected_observations,stable_inlier_observations,stable_inlier_accepted,stable_inlier_acceptance_rate,outlier_observations,outlier_rejected,outlier_rejection_rate,partial_observations,partial_rejected,partial_rejection_rate,accepted_outliers,max_abs_vz_mps,p99_abs_vz_mps,occlusion_events,events_track_expired,events_reacquired,mean_reacquisition_delay_frames,max_reacquisition_delay_frames,decision
diagnostic,Experimental_results/2026-08-25_raw_ground_distance_observation_replay.csv,forward_z,2000.0,x-0.4mz1.0m_raw_20260825_180902_184,416,416,415,0.9975961538461539,0,0,nan,0,0,nan,0,0.04232597351074219,0.025755032263696236,0,0,0,nan,nan,PASS
diagnostic,Experimental_results/2026-08-25_raw_ground_distance_observation_replay.csv,forward_z,2503.678448310634,x-0.4mz1.0m_raw_20260825_180902_184,416,416,0,0.0,0,0,nan,0,0,nan,0,nan,nan,0,0,0,nan,nan,FAIL
diagnostic,Experimental_results/2026-08-25_raw_ground_distance_observation_replay.csv,calibrated_ground_distance,2000.0,x-0.4mz1.0m_raw_20260825_180902_184,416,416,415,0.9975961538461539,0,0,nan,0,0,nan,0,0.04232597351074219,0.025755032263696236,0,0,0,nan,nan,PASS
diagnostic,Experimental_results/2026-08-25_raw_ground_distance_observation_replay.csv,calibrated_ground_distance,2503.678448310634,x-0.4mz1.0m_raw_20260825_180902_184,416,416,415,0.9975961538461539,0,0,nan,0,0,nan,0,0.04232597351074219,0.025755032263696236,0,0,0,nan,nan,PASS
diagnostic,Experimental_results/2026-08-25_raw_ground_distance_observation_replay.csv,raw_ground_distance,2000.0,x-0.4mz1.0m_raw_20260825_180902_184,416,416,415,0.9975961538461539,0,0,nan,0,0,nan,0,0.04232597351074219,0.025755032263696236,0,0,0,nan,nan,PASS
diagnostic,Experimental_results/2026-08-25_raw_ground_distance_observation_replay.csv,raw_ground_distance,2503.678448310634,x-0.4mz1.0m_raw_20260825_180902_184,416,416,415,0.9975961538461539,0,0,nan,0,0,nan,0,0.04232597351074219,0.025755032263696236,0,0,0,nan,nan,PASS
diagnostic,Experimental_results/2026-08-25_raw_ground_distance_observation_replay.csv,forward_z,2000.0,x0.0mz1.0m_raw_20260825_180659_557,337,337,336,0.9970326409495549,0,0,nan,0,0,nan,0,0.02579355239868164,0.018068543262779697,0,0,0,nan,nan,PASS
diagnostic,Experimental_results/2026-08-25_raw_ground_distance_observation_replay.csv,forward_z,2503.678448310634,x0.0mz1.0m_raw_20260825_180659_557,337,337,336,0.9970326409495549,0,0,nan,0,0,nan,0,0.02579355239868164,0.018068543262779697,0,0,0,nan,nan,PASS
diagnostic,Experimental_results/2026-08-25_raw_ground_distance_observation_replay.csv,calibrated_ground_distance,2000.0,x0.0mz1.0m_raw_20260825_180659_557,337,337,336,0.9970326409495549,0,0,nan,0,0,nan,0,0.02579355239868164,0.018068543262779697,0,0,0,nan,nan,PASS
diagnostic,Experimental_results/2026-08-25_raw_ground_distance_observation_replay.csv,calibrated_ground_distance,2503.678448310634,x0.0mz1.0m_raw_20260825_180659_557,337,337,336,0.9970326409495549,0,0,nan,0,0,nan,0,0.02579355239868164,0.018068543262779697,0,0,0,nan,nan,PASS
diagnostic,Experimental_results/2026-08-25_raw_ground_distance_observation_replay.csv,raw_ground_distance,2000.0,x0.0mz1.0m_raw_20260825_180659_557,337,337,336,0.9970326409495549,0,0,nan,0,0,nan,0,0.02579355239868164,0.018068543262779697,0,0,0,nan,nan,PASS
diagnostic,Experimental_results/2026-08-25_raw_ground_distance_observation_replay.csv,raw_ground_distance,2503.678448310634,x0.0mz1.0m_raw_20260825_180659_557,337,337,336,0.9970326409495549,0,0,nan,0,0,nan,0,0.02579355239868164,0.018068543262779697,0,0,0,nan,nan,PASS
diagnostic,Experimental_results/2026-08-25_raw_ground_distance_observation_replay.csv,forward_z,2000.0,x0.0mz1.0m_syahei_raw_20260825_180740_854,458,412,411,0.9975728155339806,2,2,1.0,20,4,0.2,0,0.11752171069383621,0.06991025552153583,2,2,2,3.0,3,PASS
diagnostic,Experimental_results/2026-08-25_raw_ground_distance_observation_replay.csv,forward_z,2503.678448310634,x0.0mz1.0m_syahei_raw_20260825_180740_854,458,412,411,0.9975728155339806,2,2,1.0,20,4,0.2,0,0.042088303714990616,0.03053433448076248,2,2,2,4.0,4,PASS
diagnostic,Experimental_results/2026-08-25_raw_ground_distance_observation_replay.csv,calibrated_ground_distance,2000.0,x0.0mz1.0m_syahei_raw_20260825_180740_854,458,412,411,0.9975728155339806,2,2,1.0,20,4,0.2,0,0.11752171069383621,0.06991025552153583,2,2,2,3.0,3,PASS
diagnostic,Experimental_results/2026-08-25_raw_ground_distance_observation_replay.csv,calibrated_ground_distance,2503.678448310634,x0.0mz1.0m_syahei_raw_20260825_180740_854,458,412,411,0.9975728155339806,2,2,1.0,20,4,0.2,0,0.042088303714990616,0.03053433448076248,2,2,2,4.0,4,PASS
diagnostic,Experimental_results/2026-08-25_raw_ground_distance_observation_replay.csv,raw_ground_distance,2000.0,x0.0mz1.0m_syahei_raw_20260825_180740_854,458,412,411,0.9975728155339806,2,2,1.0,20,4,0.2,0,0.11752171069383621,0.06991025552153583,2,2,2,3.0,3,PASS
diagnostic,Experimental_results/2026-08-25_raw_ground_distance_observation_replay.csv,raw_ground_distance,2503.678448310634,x0.0mz1.0m_syahei_raw_20260825_180740_854,458,412,411,0.9975728155339806,2,2,1.0,20,4,0.2,0,0.042088303714990616,0.03053433448076248,2,2,2,4.0,4,PASS
diagnostic,Experimental_results/2026-08-25_raw_ground_distance_observation_replay.csv,forward_z,2000.0,x0.4mz1.0m_raw_20260825_180934_724,389,389,388,0.9974293059125964,0,0,nan,0,0,nan,0,0.05208629369735718,0.0352577556297183,0,0,0,nan,nan,PASS
diagnostic,Experimental_results/2026-08-25_raw_ground_distance_observation_replay.csv,forward_z,2503.678448310634,x0.4mz1.0m_raw_20260825_180934_724,389,389,388,0.9974293059125964,0,0,nan,0,0,nan,0,0.05208629369735718,0.0352577556297183,0,0,0,nan,nan,PASS
diagnostic,Experimental_results/2026-08-25_raw_ground_distance_observation_replay.csv,calibrated_ground_distance,2000.0,x0.4mz1.0m_raw_20260825_180934_724,389,389,388,0.9974293059125964,0,0,nan,0,0,nan,0,0.05208629369735718,0.0352577556297183,0,0,0,nan,nan,PASS
diagnostic,Experimental_results/2026-08-25_raw_ground_distance_observation_replay.csv,calibrated_ground_distance,2503.678448310634,x0.4mz1.0m_raw_20260825_180934_724,389,389,388,0.9974293059125964,0,0,nan,0,0,nan,0,0.05208629369735718,0.0352577556297183,0,0,0,nan,nan,PASS
diagnostic,Experimental_results/2026-08-25_raw_ground_distance_observation_replay.csv,raw_ground_distance,2000.0,x0.4mz1.0m_raw_20260825_180934_724,389,389,388,0.9974293059125964,0,0,nan,0,0,nan,0,0.05208629369735718,0.0352577556297183,0,0,0,nan,nan,PASS
diagnostic,Experimental_results/2026-08-25_raw_ground_distance_observation_replay.csv,raw_ground_distance,2503.678448310634,x0.4mz1.0m_raw_20260825_180934_724,389,389,388,0.9974293059125964,0,0,nan,0,0,nan,0,0.05208629369735718,0.0352577556297183,0,0,0,nan,nan,PASS
