dataset_role,source,normalization_mode,threshold,session,detected_observations,stable_inlier_observations,stable_inlier_accepted,stable_inlier_acceptance_rate,outlier_observations,outlier_rejected,outlier_rejection_rate,partial_observations,partial_rejected,partial_rejection_rate,accepted_outliers,max_abs_vz_mps,p99_abs_vz_mps,occlusion_events,events_track_expired,events_reacquired,mean_reacquisition_delay_frames,max_reacquisition_delay_frames,decision
diagnostic,Experimental_results/2026-08-26_aspect_filter_observation_replay.csv,forward_z,2000.0,x-0.3mz0.9m_20260826_140020_944,639,639,638,0.9984350547730829,0,0,nan,0,0,nan,0,0.07072459906339645,0.04398317705839872,0,0,0,nan,nan,PASS
diagnostic,Experimental_results/2026-08-26_aspect_filter_observation_replay.csv,calibrated_ground_distance,2000.0,x-0.3mz0.9m_20260826_140020_944,639,639,638,0.9984350547730829,0,0,nan,0,0,nan,0,0.07072459906339645,0.04398317705839872,0,0,0,nan,nan,PASS
diagnostic,Experimental_results/2026-08-26_aspect_filter_observation_replay.csv,raw_ground_distance,2000.0,x-0.3mz0.9m_20260826_140020_944,639,639,638,0.9984350547730829,0,0,nan,0,0,nan,0,0.07072459906339645,0.04398317705839872,0,0,0,nan,nan,PASS
diagnostic,Experimental_results/2026-08-26_aspect_filter_observation_replay.csv,forward_z,2000.0,x-0.3mz1.2m_20260826_140621_686,652,652,651,0.9984662576687117,0,0,nan,0,0,nan,0,0.039006322622299194,0.02724524587392807,0,0,0,nan,nan,PASS
diagnostic,Experimental_results/2026-08-26_aspect_filter_observation_replay.csv,calibrated_ground_distance,2000.0,x-0.3mz1.2m_20260826_140621_686,652,652,651,0.9984662576687117,0,0,nan,0,0,nan,0,0.039006322622299194,0.02724524587392807,0,0,0,nan,nan,PASS
diagnostic,Experimental_results/2026-08-26_aspect_filter_observation_replay.csv,raw_ground_distance,2000.0,x-0.3mz1.2m_20260826_140621_686,652,652,651,0.9984662576687117,0,0,nan,0,0,nan,0,0.039006322622299194,0.02724524587392807,0,0,0,nan,nan,PASS
diagnostic,Experimental_results/2026-08-26_aspect_filter_observation_replay.csv,forward_z,2000.0,x0.0mz1.2m_shahei_20260826_140829_186,783,698,697,0.998567335243553,6,6,1.0,41,10,0.24390243902439024,0,0.1304091513156891,0.05706743352115163,3,3,3,10.666666666666666,18,PASS
diagnostic,Experimental_results/2026-08-26_aspect_filter_observation_replay.csv,calibrated_ground_distance,2000.0,x0.0mz1.2m_shahei_20260826_140829_186,783,698,697,0.998567335243553,6,6,1.0,41,10,0.24390243902439024,0,0.1304091513156891,0.05706743352115163,3,3,3,10.666666666666666,18,PASS
diagnostic,Experimental_results/2026-08-26_aspect_filter_observation_replay.csv,raw_ground_distance,2000.0,x0.0mz1.2m_shahei_20260826_140829_186,783,698,697,0.998567335243553,6,6,1.0,41,10,0.24390243902439024,0,0.1304091513156891,0.05706743352115163,3,3,3,10.666666666666666,18,PASS
diagnostic,Experimental_results/2026-08-26_aspect_filter_observation_replay.csv,forward_z,2000.0,x0.3mz0.9m_20260826_140106_996,729,729,728,0.9986282578875172,0,0,nan,0,0,nan,0,0.020981978625059128,0.008641324872151017,0,0,0,nan,nan,PASS
diagnostic,Experimental_results/2026-08-26_aspect_filter_observation_replay.csv,calibrated_ground_distance,2000.0,x0.3mz0.9m_20260826_140106_996,729,729,728,0.9986282578875172,0,0,nan,0,0,nan,0,0.020981978625059128,0.008641324872151017,0,0,0,nan,nan,PASS
diagnostic,Experimental_results/2026-08-26_aspect_filter_observation_replay.csv,raw_ground_distance,2000.0,x0.3mz0.9m_20260826_140106_996,729,729,728,0.9986282578875172,0,0,nan,0,0,nan,0,0.020981978625059128,0.008641324872151017,0,0,0,nan,nan,PASS
diagnostic,Experimental_results/2026-08-26_aspect_filter_observation_replay.csv,forward_z,2000.0,x0.3mz1.2m_20260826_140458_795,659,659,658,0.9984825493171472,0,0,nan,0,0,nan,0,0.028753815218806267,0.012256298158317724,0,0,0,nan,nan,PASS
diagnostic,Experimental_results/2026-08-26_aspect_filter_observation_replay.csv,calibrated_ground_distance,2000.0,x0.3mz1.2m_20260826_140458_795,659,659,658,0.9984825493171472,0,0,nan,0,0,nan,0,0.028753815218806267,0.012256298158317724,0,0,0,nan,nan,PASS
diagnostic,Experimental_results/2026-08-26_aspect_filter_observation_replay.csv,raw_ground_distance,2000.0,x0.3mz1.2m_20260826_140458_795,659,659,658,0.9984825493171472,0,0,nan,0,0,nan,0,0.028753815218806267,0.012256298158317724,0,0,0,nan,nan,PASS
