dataset,role,session,source,samples,expected_x_m,expected_z_m,median_raw_x_m,median_raw_z_m,median_current_x_m,median_current_z_m,current_error_x_m,current_abs_error_x_m,raw_coordinate_source
august07_final,trusted,holdout_xm0.22_z0.95,/home/robo25/theta_ws/RICHO-theta/Experimental_results/2026-08-07_ground_contact_final_evaluation.csv,42,-0.22,0.95,-0.35542423686091695,0.9203741348711635,-0.19339157942386612,0.9203741348711635,0.026608420576133884,0.026608420576133884,recorded
august07_final,trusted,holdout_xm0.22_z1.20,/home/robo25/theta_ws/RICHO-theta/Experimental_results/2026-08-07_ground_contact_final_evaluation.csv,37,-0.22,1.2,-0.3536913162197225,1.1932513455634552,-0.19233850305960232,1.1932513455634552,0.027661496940397684,0.027661496940397684,recorded
august07_final,trusted,holdout_xp0.22_z0.95,/home/robo25/theta_ws/RICHO-theta/Experimental_results/2026-08-07_ground_contact_final_evaluation.csv,56,0.22,0.95,0.32775352431853083,0.9599021290222574,0.22176785476283212,0.9599021290222574,0.0017678547628321162,0.0017678547628321162,recorded
august07_final,trusted,holdout_xp0.22_z1.20,/home/robo25/theta_ws/RICHO-theta/Experimental_results/2026-08-07_ground_contact_final_evaluation.csv,52,0.22,1.2,0.32307718923396844,1.214958392683342,0.21892609857858128,1.214958392683342,-0.0010739014214187215,0.0010739014214187215,recorded
p0a_20260818,trusted,x-0.22m_z0.95m_20260818_162502_015,/home/robo25/Downloads/recoding/recoding_08181630.tar.xz::x-0.22m_z0.95m_20260818_162502_015,159,-0.22,0.95,-0.402,0.9046,-0.2217,0.9046,-0.001700000000000007,0.001700000000000007,recorded
p0a_20260818,trusted,x-0.22m_z1.2m_20260818_162820_565,/home/robo25/Downloads/recoding/recoding_08181630.tar.xz::x-0.22m_z1.2m_20260818_162820_565,169,-0.22,1.2,-0.4443,1.1816,-0.2474,1.1816,-0.027400000000000008,0.027400000000000008,recorded
p0a_20260818,trusted,x0.0m_z0.8m_20260818_162139_642,/home/robo25/Downloads/recoding/recoding_08181630.tar.xz::x0.0m_z0.8m_20260818_162139_642,161,0.0,0.8,-0.0669,0.7732,-0.0181,0.7732,-0.0181,0.0181,recorded
p0a_20260818,trusted,x0.0m_z1.0m_20260818_162224_840,/home/robo25/Downloads/recoding/recoding_08181630.tar.xz::x0.0m_z1.0m_20260818_162224_840,169,0.0,1.0,-0.0889,0.979,-0.0314,0.979,-0.0314,0.0314,recorded
p0a_20260818,trusted,x0.0m_z1.3m_20260818_162247_135,/home/robo25/Downloads/recoding/recoding_08181630.tar.xz::x0.0m_z1.3m_20260818_162247_135,173,0.0,1.3,-0.0569,1.3149,-0.012,1.3149,-0.012,0.012,recorded
p0a_20260818,trusted,x0.22m_z0.95m_20260818_162539_367,/home/robo25/Downloads/recoding/recoding_08181630.tar.xz::x0.22m_z0.95m_20260818_162539_367,160,0.22,0.95,0.3116,1.0208,0.212,1.0208,-0.008000000000000007,0.008000000000000007,recorded
p0a_20260818,trusted,x0.22m_z1.2m_20260818_162746_609,/home/robo25/Downloads/recoding/recoding_08181630.tar.xz::x0.22m_z1.2m_20260818_162746_609,172,0.22,1.2,0.3133,1.2551,0.213,1.2551,-0.007000000000000006,0.007000000000000006,recorded
p0b_20260818,nominal_only,static_center_z1p00_r01_20260818_164807_727,/home/robo25/Downloads/recoding/recoding_08181700.tar.xz::static_center_z1p00_r01_20260818_164807_727,834,0.0,1.0,-0.0703,0.9788,-0.0201,0.9788,-0.0201,0.0201,recorded
p0b_20260818,nominal_only,static_center_z1p00_r02_20260818_164908_140,/home/robo25/Downloads/recoding/recoding_08181700.tar.xz::static_center_z1p00_r02_20260818_164908_140,815,0.0,1.0,-0.0703,0.9788,-0.0201,0.9788,-0.0201,0.0201,recorded
p0b_20260818,nominal_only,static_center_z1p00_r03_20260818_164956_525,/home/robo25/Downloads/recoding/recoding_08181700.tar.xz::static_center_z1p00_r03_20260818_164956_525,878,0.0,1.0,-0.0703,0.9788,-0.0201,0.9788,-0.0201,0.0201,recorded
p0b_20260818,nominal_only,static_left_xm0p40_z1p00_r01_20260818_165339_551,/home/robo25/Downloads/recoding/recoding_08181700.tar.xz::static_left_xm0p40_z1p00_r01_20260818_165339_551,529,-0.4,1.0,-0.5986,0.9575,-0.3411,0.9575,0.05890000000000001,0.05890000000000001,recorded
p0b_20260818,nominal_only,static_right_xp0p40_z1p00_r01_20260818_165227_107,/home/robo25/Downloads/recoding/recoding_08181700.tar.xz::static_right_xp0p40_z1p00_r01_20260818_165227_107,559,0.4,1.0,0.4944,1.0529,0.323,1.0529,-0.07700000000000001,0.07700000000000001,recorded
lateral_20260826,nominal_only,x-0.3m_z0.9m_2_20260826_165456_775,/home/robo25/Downloads/recoding/202608261700.tar.xz::x-0.3m_z0.9m_2_20260826_165456_775,429,-0.3,0.9,-0.4796,0.8739,-0.2689,0.8739,0.031100000000000017,0.031100000000000017,recorded
lateral_20260826,nominal_only,x0.3m_z0.9m_2_20260826_165527_077,/home/robo25/Downloads/recoding/202608261700.tar.xz::x0.3m_z0.9m_2_20260826_165527_077,424,0.3,0.9,0.3463,0.9082,0.233,0.9082,-0.06699999999999998,0.06699999999999998,recorded
