session,experiment_label,expected_motion,nominal_speed_mps,frames,motion_frames,accuracy_interval_frames,detection_rate,track_rate,motion_track_rate,odom_available_rate,odom_speed_p90_mps,nominal_speed_error_mps,nominal_speed_error_limit_mps,abs_odom_angular_p95_radps,median_abs_odom_speed_mps,speed_mae_limit_mps,direction_correct_rate,direction_response_delay_sec,steady_direction_correct_rate,relative_speed_mae_mps,ttc_expected_frames,ttc_active_rate,ttc_activation_delay_sec,false_ttc_rate,raw_warning_frames,filtered_warning_frames,warning_hold_frames,unknown_frames,first_raw_warning_ttc_sec,first_raw_warning_z_m,warning_feasibility_margin_sec,maximum_warning_entry_delay_sec,path_while_forward_after_warning_frames,critical_frames,final_state,decision,reasons
approach_center_v0p10_r01_20260901_142324_230,approach_center_v0p10_r01_20260901_142324_230,approach,0.1,615,282,265,1.0,0.9853658536585366,0.9680851063829787,1.0,0.089557,0.010443000000000008,0.025,0.032381,0.076763,0.03,0.9660377358490566,nan,nan,0.01384417783631463,218,1.0,0.5202080000000002,0.0,0,0,0,43,,,nan,nan,0,0,CLEAR,FAIL,ttc_activation_delay_sec=0.5202080000000002 > 0.5
approach_center_v0p10_r02_20260901_142401_291,approach_center_v0p10_r02_20260901_142401_291,approach,0.1,536,282,279,1.0,1.0,1.0,1.0,0.089557,0.010443000000000008,0.025,0.032381,0.078895,0.03,0.9354838709677419,nan,nan,0.015557381484861294,222,1.0,0.9399690000000005,0.0,0,0,0,5,,,nan,nan,0,0,CLEAR,FAIL,direction_correct_rate=0.9354838709677419 < 0.95; ttc_activation_delay_sec=0.9399690000000005 > 0.5
approach_center_v0p10_r03_20260901_142434_429,approach_center_v0p10_r03_20260901_142434_429,approach,0.1,517,276,276,1.0,0.8317214700193424,1.0,1.0,0.089557,0.010443000000000008,0.025,0.032381,0.078895,0.03,0.9710144927536232,nan,nan,0.01762971198666088,208,1.0,0.8690049999999996,0.0,0,0,0,3,,,nan,nan,0,0,CLEAR,FAIL,track_rate=0.8317214700193424 < 0.95; ttc_activation_delay_sec=0.8690049999999996 > 0.5
approach_center_v0p20_r01_20260901_143052_426,approach_center_v0p20_r01_20260901_143052_426,approach,0.2,425,124,115,1.0,0.6141176470588235,0.9838709677419355,1.0,0.16632,0.033680000000000015,0.04000000000000001,0.048572,0.153526,0.030705200000000002,0.9826086956521739,nan,nan,0.02680605521790061,105,1.0,0.5989390000000006,0.0,1,0,0,13,3.978078069198068,0.6194,nan,nan,0,0,CLEAR,FAIL,track_rate=0.6141176470588235 < 0.95; ttc_activation_delay_sec=0.5989390000000006 > 0.5; filtered_warning_frames=0.0 < 1; warning_hold_frames=0.0 < 1; first_raw_warning_z_m=0.6194 < 0.65; maximum_warning_entry_delay_sec=nan > 0.15
approach_center_v0p20_r02_20260901_143130_004,approach_center_v0p20_r02_20260901_143130_004,approach,0.2,416,122,118,1.0,0.5985576923076923,1.0,1.0,0.164187,0.03581300000000001,0.04000000000000001,0.032381,0.153526,0.030705200000000002,0.9915254237288136,nan,nan,0.02451499811525199,109,1.0,0.43571300000000024,0.0,0,0,0,6,,,nan,nan,0,0,CLEAR,FAIL,track_rate=0.5985576923076923 < 0.95; filtered_warning_frames=0.0 < 1; warning_hold_frames=0.0 < 1; first_raw_warning_ttc_sec=nan < 3.5; first_raw_warning_ttc_sec=nan > 4.0; first_raw_warning_z_m=nan < 0.65; maximum_warning_entry_delay_sec=nan > 0.15
approach_center_v0p20_r03_20260901_143206_639,approach_center_v0p20_r03_20260901_143206_639,approach,0.2,402,132,119,1.0,0.5796019900497512,0.946969696969697,1.0,0.168452,0.03154800000000002,0.04000000000000001,0.048572,0.155658,0.0311316,1.0,nan,nan,0.023575665160252134,111,1.0,0.3013619999999997,0.0,0,0,0,15,,,nan,nan,0,0,CLEAR,FAIL,track_rate=0.5796019900497512 < 0.95; filtered_warning_frames=0.0 < 1; warning_hold_frames=0.0 < 1; first_raw_warning_ttc_sec=nan < 3.5; first_raw_warning_ttc_sec=nan > 4.0; first_raw_warning_z_m=nan < 0.65; maximum_warning_entry_delay_sec=nan > 0.15
approach_center_v0p20_r04_20260901_143249_502,approach_center_v0p20_r04_20260901_143249_502,approach,0.2,358,124,118,1.0,0.6787709497206704,1.0,1.0,0.16632,0.033680000000000015,0.04000000000000001,0.048572,0.153526,0.030705200000000002,0.9830508474576272,nan,nan,0.02842443580188504,109,1.0,0.2821720000000001,0.0,0,3,0,6,,,nan,nan,0,0,CLEAR,FAIL,track_rate=0.6787709497206704 < 0.95; warning_hold_frames=0.0 < 1; first_raw_warning_ttc_sec=nan < 3.5; first_raw_warning_ttc_sec=nan > 4.0; first_raw_warning_z_m=nan < 0.65; maximum_warning_entry_delay_sec=nan > 0.15
retreat_center_v0p10_r01_20260901_142527_026,retreat_center_v0p10_r01_20260901_142527_026,retreat,0.1,574,274,274,1.0,1.0,1.0,1.0,0.087424,0.012576000000000004,0.025,0.032381,0.076763,0.03,0.8941605839416058,nan,nan,0.018449740563561114,0,nan,nan,0.0,0,0,0,0,,,nan,nan,0,0,CLEAR,FAIL,direction_correct_rate=0.8941605839416058 < 0.95
retreat_center_v0p10_r02_20260901_142605_934,retreat_center_v0p10_r02_20260901_142605_934,retreat,0.1,687,302,299,1.0,1.0,1.0,1.0,0.087424,0.012576000000000004,0.025,0.032381,0.076763,0.03,0.9464882943143813,nan,nan,0.017445798492911665,0,nan,nan,0.0,0,0,0,0,,,nan,nan,0,0,CLEAR,FAIL,direction_correct_rate=0.9464882943143813 < 0.95
retreat_center_v0p10_r03_20260901_142643_149,retreat_center_v0p10_r03_20260901_142643_149,retreat,0.1,641,278,265,1.0,1.0,1.0,1.0,0.087424,0.012576000000000004,0.025,0.032381,0.078895,0.03,0.9433962264150944,nan,nan,0.014071310082109136,0,nan,nan,0.0,0,0,0,0,,,nan,nan,0,0,CLEAR,FAIL,direction_correct_rate=0.9433962264150944 < 0.95
