session,experiment_label,expected_motion,nominal_speed_mps,frames,motion_frames,accuracy_interval_frames,detection_rate,track_rate,motion_track_rate,odom_available_rate,odom_speed_p90_mps,nominal_speed_error_mps,nominal_speed_error_limit_mps,abs_odom_angular_p95_radps,median_abs_odom_speed_mps,speed_mae_limit_mps,direction_correct_rate,direction_response_delay_sec,steady_direction_correct_rate,relative_speed_mae_mps,ttc_expected_frames,ttc_active_rate,ttc_activation_delay_sec,raw_vz_activation_delay_sec,smoothed_vz_activation_delay_sec,smoothing_added_activation_delay_sec,raw_vz_stable_activation_delay_sec,smoothed_vz_stable_activation_delay_sec,false_ttc_rate,raw_warning_frames,confirmable_warning_frames,longest_raw_warning_run_frames,longest_confirmable_warning_run_frames,raw_warning_track_unavailable_frames,raw_warning_track_predicted_frames,raw_warning_measurement_rejected_frames,raw_warning_calibration_invalid_frames,raw_warning_not_forward_frames,minimum_ttc_threshold_for_confirmation_sec,filtered_warning_frames,warning_hold_frames,unknown_frames,first_raw_warning_ttc_sec,first_raw_warning_z_m,warning_feasibility_margin_sec,maximum_warning_entry_delay_sec,path_while_forward_after_warning_frames,critical_frames,final_state,decision,reasons
approach_center_v0p10_r01_20260901_142324_230,approach_center_v0p10_r01_20260901_142324_230,approach,0.1,615,282,265,1.0,0.9853658536585366,0.9680851063829787,1.0,0.089557,0.010443000000000008,0.025,0.032381,0.076763,0.03,0.9660377358490566,0.0,0.9660377358490566,0.01384417783631463,218,1.0,0.5202080000000002,0.44818599999999975,0.5202080000000002,0.07202200000000047,0.44818599999999975,0.5202080000000002,0.0,0,0,0,0,0,0,0,0,0,7.348351705204536,0,0,43,,,0.4375,nan,0,0,CLEAR,FAIL,ttc_activation_delay_sec=0.5202080000000002 > 0.5
approach_center_v0p10_r02_20260901_142401_291,approach_center_v0p10_r02_20260901_142401_291,approach,0.1,536,282,279,1.0,1.0,1.0,1.0,0.089557,0.010443000000000008,0.025,0.032381,0.078895,0.03,0.9354838709677419,0.0,0.9354838709677419,0.015557381484861294,222,1.0,0.9399690000000005,0.20353400000000033,0.9399690000000005,0.7364350000000002,0.9399690000000005,0.9399690000000005,0.0,0,0,0,0,0,0,0,0,0,7.626048961273106,0,0,5,,,0.4375,nan,0,0,CLEAR,FAIL,steady_direction_correct_rate=0.9354838709677419 < 0.95; ttc_activation_delay_sec=0.9399690000000005 > 0.5
approach_center_v0p10_r03_20260901_142434_429,approach_center_v0p10_r03_20260901_142434_429,approach,0.1,517,276,276,1.0,0.8317214700193424,1.0,1.0,0.089557,0.010443000000000008,0.025,0.032381,0.078895,0.03,0.9710144927536232,0.0,0.9710144927536232,0.01762971198666088,208,1.0,0.8690049999999996,0.7243199999999996,0.8690049999999996,0.14468499999999995,0.7243199999999996,0.8690049999999996,0.0,0,0,0,0,0,0,0,0,0,7.99097123214745,0,0,3,,,0.4375,nan,0,0,CLEAR,FAIL,ttc_activation_delay_sec=0.8690049999999996 > 0.5
approach_center_v0p20_r01_20260901_143052_426,approach_center_v0p20_r01_20260901_143052_426,approach,0.2,425,124,114,1.0,0.6141176470588235,0.9838709677419355,1.0,0.16632,0.033680000000000015,0.04000000000000001,0.048572,0.153526,0.030705200000000002,0.9824561403508771,0.2704550000000001,1.0,0.02688549315913113,104,1.0,0.5989390000000006,0.39834800000000037,0.5989390000000006,0.20059100000000019,0.5989390000000006,0.5989390000000006,0.0,9,2,9,2,0,7,7,7,0,4.507845729020047,0,0,13,4.367188639653765,0.6625,0.4375,nan,0,0,CLEAR,FAIL,ttc_activation_delay_sec=0.5989390000000006 > 0.5; filtered_warning_frames=0.0 < 1; warning_hold_frames=0.0 < 1; maximum_warning_entry_delay_sec=nan > 0.15
approach_center_v0p20_r02_20260901_143130_004,approach_center_v0p20_r02_20260901_143130_004,approach,0.2,416,122,118,1.0,0.5985576923076923,1.0,1.0,0.164187,0.03581300000000001,0.04000000000000001,0.032381,0.153526,0.030705200000000002,0.9915254237288136,0.03207199999999988,1.0,0.02451499811525199,109,1.0,0.43571300000000024,0.19730800000000004,0.43571300000000024,0.2384050000000002,0.43571300000000024,0.43571300000000024,0.0,1,0,1,0,0,1,1,1,0,4.541525200261913,0,0,6,4.478063027895895,0.6339,0.4375,nan,0,0,CLEAR,FAIL,filtered_warning_frames=0.0 < 1; warning_hold_frames=0.0 < 1; first_raw_warning_z_m=0.6339 < 0.65; maximum_warning_entry_delay_sec=nan > 0.15
approach_center_v0p20_r03_20260901_143206_639,approach_center_v0p20_r03_20260901_143206_639,approach,0.2,402,132,115,1.0,0.5796019900497512,0.946969696969697,1.0,0.168452,0.03154800000000002,0.04000000000000001,0.048572,0.155658,0.0311316,1.0,0.0,1.0,0.023809799746290362,107,1.0,0.3013619999999997,0.19566899999999965,0.3013619999999997,0.10569300000000004,0.4701719999999998,0.42899200000000004,0.0,11,5,11,5,0,6,6,6,0,4.422011698594747,18,15,0,4.489190019713825,0.6746,0.4375,0.06705999999999968,0,0,CLEAR,FAIL,motion_track_rate=0.946969696969697 < 0.95
approach_center_v0p20_r04_20260901_143249_502,approach_center_v0p20_r04_20260901_143249_502,approach,0.2,358,124,113,1.0,0.6787709497206704,1.0,1.0,0.16632,0.033680000000000015,0.04000000000000001,0.048572,0.153526,0.030705200000000002,0.9823008849557522,0.06091699999999989,1.0,0.02881850797979722,104,1.0,0.2821720000000001,0.06091699999999989,0.2821720000000001,0.2212550000000002,0.06091699999999989,0.2821720000000001,0.0,11,5,11,5,0,6,6,6,0,4.429587078574656,12,6,0,4.478373697449223,0.6733,0.4375,0.06519399999999997,0,0,CLEAR,PASS,
retreat_center_v0p10_r01_20260901_142527_026,retreat_center_v0p10_r01_20260901_142527_026,retreat,0.1,574,274,274,1.0,1.0,1.0,1.0,0.087424,0.012576000000000004,0.025,0.032381,0.076763,0.03,0.8941605839416058,0.8057939999999997,0.9496124031007752,0.018449740563561114,0,nan,nan,nan,nan,nan,nan,nan,0.0,0,0,0,0,0,0,0,0,0,nan,0,0,0,,,0.4375,nan,0,0,CLEAR,FAIL,steady_direction_correct_rate=0.9496124031007752 < 0.95
retreat_center_v0p10_r02_20260901_142605_934,retreat_center_v0p10_r02_20260901_142605_934,retreat,0.1,687,302,299,1.0,1.0,1.0,1.0,0.087424,0.012576000000000004,0.025,0.032381,0.076763,0.03,0.9464882943143813,0.33045300000000033,0.9590443686006825,0.017445798492911665,0,nan,nan,nan,nan,nan,nan,nan,0.0,0,0,0,0,0,0,0,0,0,nan,0,0,0,,,0.4375,nan,0,0,CLEAR,PASS,
retreat_center_v0p10_r03_20260901_142643_149,retreat_center_v0p10_r03_20260901_142643_149,retreat,0.1,641,278,265,1.0,1.0,1.0,1.0,0.087424,0.012576000000000004,0.025,0.032381,0.078895,0.03,0.9433962264150944,0.1658229999999996,0.9615384615384616,0.014071310082109136,0,nan,nan,nan,nan,nan,nan,nan,0.0,0,0,0,0,0,0,0,0,0,nan,0,0,0,,,0.4375,nan,0,0,CLEAR,PASS,
