experiment_label,session_dir,frames,duration_sec,effective_fps,detection_rate,measurement_acceptance_rate,track_rate,odom_available_rate,moving_frames,direction_correct_rate,relative_speed_mae_mps,ttc_active_rate,ttc_active_rate_while_approaching,minimum_ttc_sec,ttc_vs_odom_mae_sec,path_corridor_rate,warning_or_critical_rate,warning_hold_rate,unknown_rate,critical_rate,warning_or_critical_frames,critical_frames
approach_center_v0p10_r01,/home/robo25/Downloads/recoding/202609011435.tar.xz::approach_center_v0p10_r01_20260901_142324_230,615,20.461157999999998,30.008076766720635,1.0,0.9723577235772358,0.9853658536585366,1.0,294,0.968421052631579,0.014057651665850364,0.367479674796748,0.9076305220883534,6.871434066573759,1.0862541419600529,0.37458745874587457,0.0,0.0,0.06991869918699187,0.0,0,0
approach_center_v0p10_r02,/home/robo25/Downloads/recoding/202609011435.tar.xz::approach_center_v0p10_r02_20260901_142401_291,536,17.835242,29.99678950249175,1.0,0.9514925373134329,1.0,1.0,292,0.9383561643835616,0.015408259196425656,0.4197761194029851,0.8928571428571429,7.568104130642026,1.199676942181938,0.45149253731343286,0.0,0.0,0.009328358208955223,0.0,0,0
approach_center_v0p10_r03,/home/robo25/Downloads/recoding/202609011435.tar.xz::approach_center_v0p10_r03_20260901_142434_429,517,17.203252,29.99432897919533,1.0,0.7872340425531915,0.8317214700193424,1.0,290,0.9655172413793104,0.018085371205912217,0.40618955512572535,0.8433734939759037,7.933452927055102,1.4830542481134177,0.5581395348837209,0.0,0.0,0.005802707930367505,0.0,0,0
approach_center_v0p20_r01,/home/robo25/Downloads/recoding/202609011435.tar.xz::approach_center_v0p20_r01_20260901_143052_426,425,14.125295,30.017072209819336,1.0,0.5976470588235294,0.6141176470588235,1.0,134,0.9846153846153847,0.025842733924890355,0.2635294117647059,0.9655172413793104,3.978078069198068,1.4157885780511703,0.45977011494252873,0.0,0.0,0.03058823529411765,0.0,0,0
approach_center_v0p20_r02,/home/robo25/Downloads/recoding/202609011435.tar.xz::approach_center_v0p20_r02_20260901_143130_004,416,13.824739,30.018649900008963,1.0,0.5721153846153846,0.5985576923076923,1.0,128,0.9765625,0.026978881264208686,0.28125,0.9349593495934959,4.478063027895895,1.2544278508533138,0.4819277108433735,0.0,0.0,0.014423076923076924,0.0,0,0
approach_center_v0p20_r03,/home/robo25/Downloads/recoding/202609011435.tar.xz::approach_center_v0p20_r03_20260901_143206_639,402,13.373567000000001,29.984520958395017,1.0,0.5646766169154229,0.5796019900497512,1.0,134,1.0,0.023391074546822415,0.291044776119403,0.9669421487603306,4.212436327979158,1.472708554343183,0.51931330472103,0.0,0.0,0.03731343283582089,0.0,0,0
approach_center_v0p20_r04,/home/robo25/Downloads/recoding/202609011435.tar.xz::approach_center_v0p20_r04_20260901_143249_502,358,11.903486,29.991214338387934,1.0,0.6396648044692738,0.6787709497206704,1.0,126,0.9682539682539683,0.03067970161934045,0.3324022346368715,0.9669421487603306,4.341342609447999,1.8038318219369993,0.49382716049382713,0.008379888268156424,0.0,0.01675977653631285,0.0,3,0
retreat_center_v0p10_r01,/home/robo25/Downloads/recoding/202609011435.tar.xz::retreat_center_v0p10_r01_20260901_142527_026,574,19.104828,29.992418670296324,1.0,0.9425087108013938,1.0,1.0,282,0.8687943262411347,0.01988456204798246,0.0,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0,0
retreat_center_v0p10_r02,/home/robo25/Downloads/recoding/202609011435.tar.xz::retreat_center_v0p10_r02_20260901_142605_934,687,22.861366,30.006955839821643,1.0,0.9694323144104804,1.0,1.0,340,0.9235294117647059,0.018927821529276828,0.0,0.0,nan,nan,0.0,0.0,0.0,0.0,0.0,0,0
retreat_center_v0p10_r03,/home/robo25/Downloads/recoding/202609011435.tar.xz::retreat_center_v0p10_r03_20260901_142643_149,641,21.394474000000002,29.91426664661164,1.0,0.9719188767550702,1.0,1.0,284,0.8943661971830986,0.017723346976969895,0.0,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0,0
