dataset_role,source,normalization_mode,threshold,session,detected_observations,stable_inlier_observations,stable_inlier_accepted,stable_inlier_acceptance_rate,outlier_observations,outlier_rejected,outlier_rejection_rate,partial_observations,partial_rejected,partial_rejection_rate,accepted_outliers,max_abs_vz_mps,p99_abs_vz_mps,occlusion_events,events_track_expired,events_reacquired,mean_reacquisition_delay_frames,max_reacquisition_delay_frames,decision
diagnostic,/home/robo25/theta_ws/RICHO-theta/Experimental_results/2026-09-01_dynamic_ttc_analysis/observation_replay.csv,forward_z,2000.0,approach_center_v0p10_r01_20260901_142324_230,615,113,113,1.0,502,4,0.00796812749003984,0,0,nan,498,0.38724908232688904,0.12797182887792594,0,0,0,nan,nan,FAIL
diagnostic,/home/robo25/theta_ws/RICHO-theta/Experimental_results/2026-09-01_dynamic_ttc_analysis/observation_replay.csv,calibrated_ground_distance,2000.0,approach_center_v0p10_r01_20260901_142324_230,615,113,113,1.0,502,4,0.00796812749003984,0,0,nan,498,0.38724908232688904,0.12797182887792594,0,0,0,nan,nan,FAIL
diagnostic,/home/robo25/theta_ws/RICHO-theta/Experimental_results/2026-09-01_dynamic_ttc_analysis/observation_replay.csv,raw_ground_distance,2000.0,approach_center_v0p10_r01_20260901_142324_230,615,113,113,1.0,502,4,0.00796812749003984,0,0,nan,498,0.38724908232688904,0.12797182887792594,0,0,0,nan,nan,FAIL
diagnostic,/home/robo25/theta_ws/RICHO-theta/Experimental_results/2026-09-01_dynamic_ttc_analysis/observation_replay.csv,forward_z,2000.0,approach_center_v0p10_r02_20260901_142401_291,536,123,123,1.0,413,71,0.17191283292978207,0,0,nan,342,0.2143574357032776,0.12529903024435032,0,0,0,nan,nan,FAIL
diagnostic,/home/robo25/theta_ws/RICHO-theta/Experimental_results/2026-09-01_dynamic_ttc_analysis/observation_replay.csv,calibrated_ground_distance,2000.0,approach_center_v0p10_r02_20260901_142401_291,536,123,123,1.0,413,71,0.17191283292978207,0,0,nan,342,0.2143574357032776,0.12529903024435032,0,0,0,nan,nan,FAIL
diagnostic,/home/robo25/theta_ws/RICHO-theta/Experimental_results/2026-09-01_dynamic_ttc_analysis/observation_replay.csv,raw_ground_distance,2000.0,approach_center_v0p10_r02_20260901_142401_291,536,123,123,1.0,413,71,0.17191283292978207,0,0,nan,342,0.2143574357032776,0.12529903024435032,0,0,0,nan,nan,FAIL
diagnostic,/home/robo25/theta_ws/RICHO-theta/Experimental_results/2026-09-01_dynamic_ttc_analysis/observation_replay.csv,forward_z,2000.0,approach_center_v0p10_r03_20260901_142434_429,509,117,117,1.0,392,119,0.30357142857142855,0,0,nan,273,0.6725049614906311,0.11891764685511592,0,0,0,nan,nan,FAIL
diagnostic,/home/robo25/theta_ws/RICHO-theta/Experimental_results/2026-09-01_dynamic_ttc_analysis/observation_replay.csv,calibrated_ground_distance,2000.0,approach_center_v0p10_r03_20260901_142434_429,509,117,117,1.0,392,119,0.30357142857142855,0,0,nan,273,0.6725049614906311,0.11891764685511592,0,0,0,nan,nan,FAIL
diagnostic,/home/robo25/theta_ws/RICHO-theta/Experimental_results/2026-09-01_dynamic_ttc_analysis/observation_replay.csv,raw_ground_distance,2000.0,approach_center_v0p10_r03_20260901_142434_429,509,117,117,1.0,392,118,0.3010204081632653,0,0,nan,274,0.6771191358566284,0.11891764685511592,0,0,0,nan,nan,FAIL
diagnostic,/home/robo25/theta_ws/RICHO-theta/Experimental_results/2026-09-01_dynamic_ttc_analysis/observation_replay.csv,forward_z,2000.0,approach_center_v0p20_r01_20260901_143052_426,425,57,57,1.0,368,6,0.016304347826086956,0,0,nan,362,0.17699088156223297,0.16577410802245135,0,0,0,nan,nan,FAIL
diagnostic,/home/robo25/theta_ws/RICHO-theta/Experimental_results/2026-09-01_dynamic_ttc_analysis/observation_replay.csv,calibrated_ground_distance,2000.0,approach_center_v0p20_r01_20260901_143052_426,425,57,57,1.0,368,6,0.016304347826086956,0,0,nan,362,0.17699088156223297,0.16577410802245135,0,0,0,nan,nan,FAIL
diagnostic,/home/robo25/theta_ws/RICHO-theta/Experimental_results/2026-09-01_dynamic_ttc_analysis/observation_replay.csv,raw_ground_distance,2000.0,approach_center_v0p20_r01_20260901_143052_426,425,57,57,1.0,368,6,0.016304347826086956,0,0,nan,362,0.17699088156223297,0.16577410802245135,0,0,0,nan,nan,FAIL
diagnostic,/home/robo25/theta_ws/RICHO-theta/Experimental_results/2026-09-01_dynamic_ttc_analysis/observation_replay.csv,forward_z,2000.0,approach_center_v0p20_r02_20260901_143130_004,416,122,122,1.0,294,1,0.003401360544217687,0,0,nan,293,0.183635413646698,0.17300468981266023,0,0,0,nan,nan,FAIL
diagnostic,/home/robo25/theta_ws/RICHO-theta/Experimental_results/2026-09-01_dynamic_ttc_analysis/observation_replay.csv,calibrated_ground_distance,2000.0,approach_center_v0p20_r02_20260901_143130_004,416,122,122,1.0,294,1,0.003401360544217687,0,0,nan,293,0.183635413646698,0.17300468981266023,0,0,0,nan,nan,FAIL
diagnostic,/home/robo25/theta_ws/RICHO-theta/Experimental_results/2026-09-01_dynamic_ttc_analysis/observation_replay.csv,raw_ground_distance,2000.0,approach_center_v0p20_r02_20260901_143130_004,416,122,122,1.0,294,1,0.003401360544217687,0,0,nan,293,0.183635413646698,0.17300468981266023,0,0,0,nan,nan,FAIL
diagnostic,/home/robo25/theta_ws/RICHO-theta/Experimental_results/2026-09-01_dynamic_ttc_analysis/observation_replay.csv,forward_z,2000.0,approach_center_v0p20_r03_20260901_143206_639,402,62,62,1.0,340,1,0.0029411764705882353,0,0,nan,339,0.1800888031721115,0.1735049933195114,0,0,0,nan,nan,FAIL
diagnostic,/home/robo25/theta_ws/RICHO-theta/Experimental_results/2026-09-01_dynamic_ttc_analysis/observation_replay.csv,calibrated_ground_distance,2000.0,approach_center_v0p20_r03_20260901_143206_639,402,62,62,1.0,340,1,0.0029411764705882353,0,0,nan,339,0.1800888031721115,0.1735049933195114,0,0,0,nan,nan,FAIL
diagnostic,/home/robo25/theta_ws/RICHO-theta/Experimental_results/2026-09-01_dynamic_ttc_analysis/observation_replay.csv,raw_ground_distance,2000.0,approach_center_v0p20_r03_20260901_143206_639,402,62,62,1.0,340,1,0.0029411764705882353,0,0,nan,339,0.1800888031721115,0.1735049933195114,0,0,0,nan,nan,FAIL
diagnostic,/home/robo25/theta_ws/RICHO-theta/Experimental_results/2026-09-01_dynamic_ttc_analysis/observation_replay.csv,forward_z,2000.0,approach_center_v0p20_r04_20260901_143249_502,358,63,63,1.0,295,2,0.006779661016949152,0,0,nan,293,0.18825843930244446,0.17920738995075225,0,0,0,nan,nan,FAIL
diagnostic,/home/robo25/theta_ws/RICHO-theta/Experimental_results/2026-09-01_dynamic_ttc_analysis/observation_replay.csv,calibrated_ground_distance,2000.0,approach_center_v0p20_r04_20260901_143249_502,358,63,63,1.0,295,2,0.006779661016949152,0,0,nan,293,0.18825843930244446,0.17920738995075225,0,0,0,nan,nan,FAIL
diagnostic,/home/robo25/theta_ws/RICHO-theta/Experimental_results/2026-09-01_dynamic_ttc_analysis/observation_replay.csv,raw_ground_distance,2000.0,approach_center_v0p20_r04_20260901_143249_502,358,63,63,1.0,295,2,0.006779661016949152,0,0,nan,293,0.18825843930244446,0.17920738995075225,0,0,0,nan,nan,FAIL
diagnostic,/home/robo25/theta_ws/RICHO-theta/Experimental_results/2026-09-01_dynamic_ttc_analysis/observation_replay.csv,forward_z,2000.0,retreat_center_v0p10_r01_20260901_142527_026,574,119,119,1.0,455,217,0.47692307692307695,0,0,nan,238,0.14564482867717743,0.13079523742198934,0,0,0,nan,nan,FAIL
diagnostic,/home/robo25/theta_ws/RICHO-theta/Experimental_results/2026-09-01_dynamic_ttc_analysis/observation_replay.csv,calibrated_ground_distance,2000.0,retreat_center_v0p10_r01_20260901_142527_026,574,119,119,1.0,455,216,0.4747252747252747,0,0,nan,239,0.14564436674118042,0.1307948738336562,0,0,0,nan,nan,FAIL
diagnostic,/home/robo25/theta_ws/RICHO-theta/Experimental_results/2026-09-01_dynamic_ttc_analysis/observation_replay.csv,raw_ground_distance,2000.0,retreat_center_v0p10_r01_20260901_142527_026,574,119,119,1.0,455,214,0.4703296703296703,0,0,nan,241,0.14564482867717743,0.13025892615318285,0,0,0,nan,nan,FAIL
diagnostic,/home/robo25/theta_ws/RICHO-theta/Experimental_results/2026-09-01_dynamic_ttc_analysis/observation_replay.csv,forward_z,2000.0,retreat_center_v0p10_r02_20260901_142605_934,687,101,101,1.0,586,1,0.0017064846416382253,0,0,nan,585,0.12408287823200226,0.11678438261151314,0,0,0,nan,nan,FAIL
