experiment_label,source,frames,detected_frames,measurement_accepted_frames,normalized_area_rejection_frames,measurement_acceptance_rate,median_x_m,median_z_m,median_area_px,median_normalized_area,normalized_area_threshold,median_normalized_area_to_threshold
approach_center_v0p10_r01,/home/robo25/Downloads/recoding/202609011435.tar.xz::approach_center_v0p10_r01_20260901_142324_230,615,615,598,0,0.9723577235772358,0.0145,0.8497,4794.0,3423.988197585126,2000.0,1.7119940987925628
approach_center_v0p10_r02,/home/robo25/Downloads/recoding/202609011435.tar.xz::approach_center_v0p10_r02_20260901_142401_291,536,536,510,23,0.9514925373134329,0.01935,0.99095,3827.5,3699.432962814614,2000.0,1.8497164814073068
approach_center_v0p10_r03,/home/robo25/Downloads/recoding/202609011435.tar.xz::approach_center_v0p10_r03_20260901_142434_429,517,517,407,109,0.7872340425531915,0.0144,0.9539,3418.5,3186.0039462789364,2000.0,1.5930019731394682
approach_center_v0p20_r01,/home/robo25/Downloads/recoding/202609011435.tar.xz::approach_center_v0p20_r01_20260901_143052_426,425,425,254,0,0.5976470588235294,0.0175,0.8624,4353.0,3670.6625447103706,2000.0,1.8353312723551853
approach_center_v0p20_r02,/home/robo25/Downloads/recoding/202609011435.tar.xz::approach_center_v0p20_r02_20260901_143130_004,416,416,238,0,0.5721153846153846,0.018500000000000003,0.7801,4649.5,3301.051991287405,2000.0,1.6505259956437026
approach_center_v0p20_r03,/home/robo25/Downloads/recoding/202609011435.tar.xz::approach_center_v0p20_r03_20260901_143206_639,402,402,227,0,0.5646766169154229,0.02935,0.78515,4794.5,3396.5793729268935,2000.0,1.6982896864634467
approach_center_v0p20_r04,/home/robo25/Downloads/recoding/202609011435.tar.xz::approach_center_v0p20_r04_20260901_143249_502,358,358,229,0,0.6396648044692738,0.0118,0.8909,3736.75,3406.863447647336,2000.0,1.703431723823668
retreat_center_v0p10_r01,/home/robo25/Downloads/recoding/202609011435.tar.xz::retreat_center_v0p10_r01_20260901_142527_026,574,574,541,33,0.9425087108013938,0.01,0.84085,4220.75,3007.4104477863334,2000.0,1.5037052238931667
retreat_center_v0p10_r02,/home/robo25/Downloads/recoding/202609011435.tar.xz::retreat_center_v0p10_r02_20260901_142605_934,687,687,666,0,0.9694323144104804,0.012,1.0433,3120.0,3406.585276537984,2000.0,1.7032926382689921
retreat_center_v0p10_r03,/home/robo25/Downloads/recoding/202609011435.tar.xz::retreat_center_v0p10_r03_20260901_142643_149,641,641,623,0,0.9719188767550702,0.0211,0.9902,3470.5,3402.8050630044677,2000.0,1.7014025315022339
