experiment_label,session_dir,frames,requested_fps,effective_fps,fps_within_one_percent,dt_median_ms,dt_p90_ms,dt_p95_ms,dt_p99_ms,dt_max_ms,dt_over_40ms_rate,dt_over_50ms_rate,first_half_fps,last_half_fps,raw_kib_per_frame,bev_kib_per_frame,detection_kib_per_frame,odom_poll_median_ms,capture_read_median_ms,bev_preprocess_median_ms,blue_pipeline_median_ms,ai_perception_median_ms,overlay_render_median_ms,display_median_ms,video_write_median_ms,processing_total_median_ms,processing_over_budget_rate,processing_active_median_ms,processing_active_p95_ms,processing_active_over_budget_rate
approach_center_v0p10_r01,/home/robo25/Downloads/recoding/202609011435.tar.xz::approach_center_v0p10_r01_20260901_142324_230,615,30.0,30.008076766720635,1,32.838499999999996,37.51560000000023,39.72440000000078,48.049859999999825,64.5730000000002,0.04723127035830619,0.003257328990228013,30.01802352533037,29.99813659783414,65.66452934451219,33.418118013211384,28.183361915650405,0.405,2.838,9.688,2.734,0.006,1.433,1.819,9.117,29.787,0.16747967479674797,25.913000000000004,32.62939999999998,0.04715447154471545
approach_center_v0p10_r02,/home/robo25/Downloads/recoding/202609011435.tar.xz::approach_center_v0p10_r02_20260901_142401_291,536,30.0,29.99678950249175,1,32.69600000000139,37.33499999999985,39.06060000000075,43.11652000000008,54.01599999999984,0.03925233644859813,0.001869158878504673,30.008537260263253,29.98509472269046,65.3972896746735,34.05117843400186,31.409318155317163,0.397,4.561999999999999,8.533000000000001,2.751,0.006,1.6165,1.815,9.0855,30.291,0.2126865671641791,24.552,31.12475,0.026119402985074626
approach_center_v0p10_r03,/home/robo25/Downloads/recoding/202609011435.tar.xz::approach_center_v0p10_r03_20260901_142434_429,517,30.0,29.99432897919533,1,32.72150000000007,38.050499999999765,39.654999999999994,43.40994999999989,49.883000000000344,0.044573643410852716,0.0,29.989650083552558,29.99900933504057,65.36520415256287,33.694572050290134,26.569674051015475,0.287,3.563,9.441,2.652,0.006,1.607,1.858,9.123,30.161,0.2011605415860735,25.683999999999997,30.369,0.02321083172147002
approach_center_v0p20_r01,/home/robo25/Downloads/recoding/202609011435.tar.xz::approach_center_v0p20_r01_20260901_143052_426,425,30.0,30.017072209819336,1,32.99749999999957,37.77350000000008,39.60834999999935,43.63806999999986,51.915000000000155,0.03773584905660377,0.0023584905660377358,29.973022865599123,30.061251217338878,64.70239430147059,32.27786305147059,26.446470588235293,0.494,2.894,10.418,2.681,0.006,0.81,1.852,8.773,30.271,0.17411764705882352,25.519,31.051399999999994,0.02588235294117647
approach_center_v0p20_r02,/home/robo25/Downloads/recoding/202609011435.tar.xz::approach_center_v0p20_r02_20260901_143130_004,416,30.0,30.018649900008963,1,33.09699999999999,37.356799999999794,39.32169999999991,43.099500000000326,45.12899999999998,0.043373493975903614,0.0,30.055188295028703,29.982375264309773,65.24071796123798,32.29400634765625,28.298583984375,0.444,2.8970000000000002,10.6145,2.6565000000000003,0.006,0.984,1.866,9.0175,30.184,0.18028846153846154,26.253999999999998,31.36975,0.02403846153846154
approach_center_v0p20_r03,/home/robo25/Downloads/recoding/202609011435.tar.xz::approach_center_v0p20_r03_20260901_143206_639,402,30.0,29.984520958395017,1,32.96900000000047,36.65099999999999,38.89200000000015,48.55600000000004,67.50200000000018,0.034912718204488775,0.00997506234413965,30.00706966561322,29.962118044484356,65.39085820895522,32.44915073072139,27.463595110385572,0.4235,2.803,10.604,2.476,0.006,0.8685,1.7985,9.256,30.111,0.1517412935323383,26.369999999999997,31.26495,0.03233830845771144
approach_center_v0p20_r04,/home/robo25/Downloads/recoding/202609011435.tar.xz::approach_center_v0p20_r04_20260901_143249_502,358,30.0,29.991214338387934,1,32.94900000000034,37.33999999999966,39.63680000000042,47.59596000000014,84.55600000000007,0.04481792717086835,0.0056022408963585435,29.93049399439594,30.051840263892096,65.55730075942738,32.81240725384078,26.19259558310056,0.405,3.0220000000000002,9.748999999999999,2.7385,0.006,0.993,1.8715000000000002,9.2445,30.134500000000003,0.19553072625698323,25.612,31.5446,0.036312849162011177
retreat_center_v0p10_r01,/home/robo25/Downloads/recoding/202609011435.tar.xz::retreat_center_v0p10_r01_20260901_142527_026,574,30.0,29.992418670296324,1,32.82399999999974,37.89459999999894,39.25080000000011,41.56440000000003,68.00899999999999,0.038394415357766144,0.0017452006980802793,29.983633758510347,30.001178095042263,66.32371175413763,32.86696292465157,25.87687486389373,0.5105,4.98,8.5635,2.7504999999999997,0.006,1.5735000000000001,1.8325,9.0245,30.002000000000002,0.2229965156794425,24.3145,29.575550000000003,0.010452961672473868
retreat_center_v0p10_r02,/home/robo25/Downloads/recoding/202609011435.tar.xz::retreat_center_v0p10_r02_20260901_142605_934,687,30.0,30.006955839821643,1,32.87149999999883,37.902499999999506,39.62325000000036,44.20405000000089,59.0699999999984,0.048104956268221574,0.0058309037900874635,30.014883181724628,29.99903268425222,66.06627547307133,32.59810544032023,26.638560998908297,0.529,3.003,9.404,2.776,0.006,1.553,1.821,9.037,29.903,0.18631732168850074,25.555,31.406299999999995,0.02911208151382824
retreat_center_v0p10_r03,/home/robo25/Downloads/recoding/202609011435.tar.xz::retreat_center_v0p10_r03_20260901_142643_149,641,30.0,29.91426664661164,1,33.20450000000008,37.81459999999999,38.94064999999999,42.55407000000031,65.11399999999945,0.0359375,0.0046875,29.999369075769124,29.82964568999373,66.88342799336974,32.688075882410295,26.51201430869735,0.397,2.96,10.866,2.691,0.006,1.077,1.822,8.922,30.977,0.22464898595943839,26.343000000000004,30.593,0.015600624024960999
