process_accel_std_mps2,ttc_deadband_mps,experiment_label,source,motion,nominal_speed_mps,frames,track_frames,motion_frames,stable_response_delay_sec,steady_speed_mae_mps,ttc_active_rate,false_ttc_rate
0.75,0.03,approach_center_v0p10_r01,/home/robo25/Downloads/recoding/202609011435.tar.xz::approach_center_v0p10_r01_20260901_142324_230,approach,0.1,615,606,282,0.44818599999999975,0.012736373274786036,0.875886524822695,nan
0.75,0.03,approach_center_v0p10_r02,/home/robo25/Downloads/recoding/202609011435.tar.xz::approach_center_v0p10_r02_20260901_142401_291,approach,0.1,536,536,282,0.3335460000000001,0.014189925126487049,0.8971631205673759,nan
0.75,0.03,approach_center_v0p10_r03,/home/robo25/Downloads/recoding/202609011435.tar.xz::approach_center_v0p10_r03_20260901_142434_429,approach,0.1,517,430,276,0.5272509999999997,0.015425677104397427,0.894927536231884,nan
0.75,0.03,approach_center_v0p20_r01,/home/robo25/Downloads/recoding/202609011435.tar.xz::approach_center_v0p20_r01_20260901_143052_426,approach,0.2,425,261,124,0.5048890000000004,0.024731716686930864,0.9274193548387096,nan
0.75,0.03,approach_center_v0p20_r02,/home/robo25/Downloads/recoding/202609011435.tar.xz::approach_center_v0p20_r02_20260901_143130_004,approach,0.2,416,249,122,0.3024429999999998,0.023337376637373217,0.9590163934426229,nan
0.75,0.03,approach_center_v0p20_r03,/home/robo25/Downloads/recoding/202609011435.tar.xz::approach_center_v0p20_r03_20260901_143206_639,approach,0.2,402,233,132,0.3013619999999997,0.023356867573593634,0.8939393939393939,nan
0.75,0.03,approach_center_v0p20_r04,/home/robo25/Downloads/recoding/202609011435.tar.xz::approach_center_v0p20_r04_20260901_143249_502,approach,0.2,358,243,124,0.22108000000000017,0.02789889367911245,0.9435483870967742,nan
0.75,0.03,retreat_center_v0p10_r01,/home/robo25/Downloads/recoding/202609011435.tar.xz::retreat_center_v0p10_r01_20260901_142527_026,retreat,0.1,574,574,274,2.133266999999999,0.007675264651660526,0.0,0.0
0.75,0.03,retreat_center_v0p10_r02,/home/robo25/Downloads/recoding/202609011435.tar.xz::retreat_center_v0p10_r02_20260901_142605_934,retreat,0.1,687,687,302,2.0660749999999997,0.00758539743558464,0.0,0.0
0.75,0.03,retreat_center_v0p10_r03,/home/robo25/Downloads/recoding/202609011435.tar.xz::retreat_center_v0p10_r03_20260901_142643_149,retreat,0.1,641,641,278,1.700755,0.0063575397520706,0.0,0.0
0.75,0.03,approach_center_v0p10_r01,/home/robo25/Downloads/recoding/recoding_08181725.tar.xz::approach_center_v0p10_r01_20260818_172025_635,approach,0.1,393,393,140,0.0,0.006913905087097203,1.0,nan
0.75,0.03,approach_center_v0p10_r02,/home/robo25/Downloads/recoding/recoding_08181725.tar.xz::approach_center_v0p10_r02_20260818_172100_667,approach,0.1,362,346,140,0.0,0.009950969761838837,0.8642857142857143,nan
0.75,0.03,approach_center_v0p10_r03,/home/robo25/Downloads/recoding/recoding_08181725.tar.xz::approach_center_v0p10_r03_20260818_172131_591,approach,0.1,338,338,142,0.4784960000000007,0.00542873181991805,0.9788732394366197,nan
0.75,0.03,retreat_center_v0p10_r01,/home/robo25/Downloads/recoding/recoding_08181725.tar.xz::retreat_center_v0p10_r01_20260818_172222_468,retreat,0.1,338,338,144,0.3609049999999998,0.007796642731543381,0.0,0.0
