process_accel_std_mps2,ttc_deadband_mps,sessions,approach_sessions,retreat_sessions,static_sessions,max_approach_v0p10_response_delay_sec,max_approach_v0p20_response_delay_sec,max_approach_speed_mae_mps,max_retreat_false_ttc_rate,max_static_false_ttc_rate
0.75,0.03,23,13,6,4,0.5272509999999997,0.5048890000000004,0.04961177827045683,0.0,0.0
0.75,0.05,23,13,6,4,0.9721270000000004,0.6417320000000002,0.04873257881637828,0.0,0.0
0.75,0.07,23,13,6,4,3.8155590000000004,0.8421980000000007,0.047668008399708174,0.0,0.0
1.5,0.03,23,13,6,4,0.5272509999999997,0.47369200000000067,0.05267579725961312,0.0,0.0
1.5,0.05,23,13,6,4,0.9399690000000005,0.5989390000000006,0.05236071517732459,0.0,0.0
1.5,0.07,23,13,6,4,2.7591520000000003,0.8421980000000007,0.05200620191451377,0.0,0.0
3.0,0.03,23,13,6,4,0.5272509999999997,0.5661330000000007,0.05467611727114554,0.0,0.0
3.0,0.05,23,13,6,4,0.9399690000000005,0.5989390000000006,0.05429632350319281,0.0,0.0
3.0,0.07,23,13,6,4,2.690633,0.8100700000000005,0.05413897714175219,0.0,0.0
6.0,0.03,23,13,6,4,0.7243199999999996,0.5989390000000006,0.05749766850316707,0.0,0.0
6.0,0.05,23,13,6,4,0.9579150000000007,0.5989390000000006,0.057182786788457396,0.0,0.0
6.0,0.07,23,13,6,4,1.9995659999999997,0.5989390000000006,0.05701451374802967,0.0,0.0
