session,experiment_label,expected_motion,nominal_speed_mps,velocity_source,decision,decision_without_hold_requirement,relative_speed_mae_mps,ttc_active_rate,ttc_activation_delay_sec,false_ttc_rate,raw_warning_frames,filtered_warning_frames,warning_hold_frames,first_raw_warning_ttc_sec,first_raw_warning_z_m,reasons,reasons_without_hold_requirement
approach_center_v0p10_r01_20260903_140231_828,approach_center_v0p10_r01_20260903_140231_828,approach,0.1,visual,PASS,PASS,0.014312364093701688,1.0,0.4545440000000003,0.0,0,0,0,,,,
approach_center_v0p10_r01_20260903_140231_828,approach_center_v0p10_r01_20260903_140231_828,approach,0.1,odom_static,PASS,PASS,0.0,1.0,0.0,0.0,0,0,0,,,,
approach_center_v0p10_r01_20260903_140231_828,approach_center_v0p10_r01_20260903_140231_828,approach,0.1,conservative,PASS,PASS,0.0001235473521745532,1.0,0.0,0.0,0,0,0,,,,
approach_center_v0p10_r02_20260903_140318_833,approach_center_v0p10_r02_20260903_140318_833,approach,0.1,visual,PASS,PASS,0.014387874991916193,1.0,0.46875400000000056,0.0,0,0,0,,,,
approach_center_v0p10_r02_20260903_140318_833,approach_center_v0p10_r02_20260903_140318_833,approach,0.1,odom_static,PASS,PASS,0.0,1.0,0.0,0.0,0,0,0,,,,
approach_center_v0p10_r02_20260903_140318_833,approach_center_v0p10_r02_20260903_140318_833,approach,0.1,conservative,PASS,PASS,4.776999516919254e-08,1.0,0.0,0.0,0,0,0,,,,
approach_center_v0p10_r03_20260903_140401_526,approach_center_v0p10_r03_20260903_140401_526,approach,0.1,visual,PASS,PASS,0.014749967388967496,1.0,0.4689349999999992,0.0,0,0,0,,,,
approach_center_v0p10_r03_20260903_140401_526,approach_center_v0p10_r03_20260903_140401_526,approach,0.1,odom_static,PASS,PASS,0.0,1.0,0.0,0.0,0,0,0,,,,
approach_center_v0p10_r03_20260903_140401_526,approach_center_v0p10_r03_20260903_140401_526,approach,0.1,conservative,PASS,PASS,1.7434134924853382e-06,1.0,0.0,0.0,0,0,0,,,,
approach_center_v0p20_r01_20260903_140715_416,approach_center_v0p20_r01_20260903_140715_416,approach,0.2,visual,FAIL,FAIL,0.038499430711986145,1.0,0.3371970000000002,0.0,0,0,0,,,relative_speed_mae_mps=0.038499430711986145 > 0.030491900000000002; filtered_warning_frames=0.0 < 1; first_raw_warning_ttc_sec=nan < 4.0; first_raw_warning_ttc_sec=nan > 4.6; first_raw_warning_z_m=nan < 0.65; maximum_warning_entry_delay_sec=nan > 0.15,relative_speed_mae_mps=0.038499430711986145 > 0.030491900000000002; filtered_warning_frames=0.0 < 1; first_raw_warning_ttc_sec=nan < 4.0; first_raw_warning_ttc_sec=nan > 4.6; first_raw_warning_z_m=nan < 0.65; maximum_warning_entry_delay_sec=nan > 0.15
