session,experiment_label,expected_motion,nominal_speed_mps,velocity_source,decision,decision_without_hold_requirement,relative_speed_mae_mps,ttc_active_rate,ttc_activation_delay_sec,false_ttc_rate,raw_warning_frames,filtered_warning_frames,warning_hold_frames,first_raw_warning_ttc_sec,first_raw_warning_z_m,reasons,reasons_without_hold_requirement
approach_center_v0p10_r01_20260818_172025_635,approach_center_v0p10_r01_20260818_172025_635,approach,0.1,visual,FAIL,FAIL,0.009453132755882835,0.8355263157894737,0.6810930000000006,0.0,0,0,0,,,ttc_activation_delay_sec=0.6810930000000006 > 0.5,ttc_activation_delay_sec=0.6810930000000006 > 0.5
approach_center_v0p10_r01_20260818_172025_635,approach_center_v0p10_r01_20260818_172025_635,approach,0.1,odom_static,PASS,PASS,0.0,1.0,0.0,0.0,0,0,0,,,,
approach_center_v0p10_r01_20260818_172025_635,approach_center_v0p10_r01_20260818_172025_635,approach,0.1,conservative,PASS,PASS,0.003256334353244458,1.0,0.0,0.0,0,0,0,,,,
approach_center_v0p10_r02_20260818_172100_667,approach_center_v0p10_r02_20260818_172100_667,approach,0.1,visual,FAIL,FAIL,0.011979757102388428,0.9029126213592233,0.16168799999999983,0.0,0,0,0,,,motion_track_rate=0.8947368421052632 < 0.95,motion_track_rate=0.8947368421052632 < 0.95
approach_center_v0p10_r02_20260818_172100_667,approach_center_v0p10_r02_20260818_172100_667,approach,0.1,odom_static,FAIL,FAIL,0.0,1.0,0.0,0.0,0,0,0,,,motion_track_rate=0.8947368421052632 < 0.95,motion_track_rate=0.8947368421052632 < 0.95
approach_center_v0p10_r02_20260818_172100_667,approach_center_v0p10_r02_20260818_172100_667,approach,0.1,conservative,FAIL,FAIL,0.006812935927950768,1.0,0.0,0.0,0,0,0,,,motion_track_rate=0.8947368421052632 < 0.95,motion_track_rate=0.8947368421052632 < 0.95
approach_center_v0p10_r03_20260818_172131_591,approach_center_v0p10_r03_20260818_172131_591,approach,0.1,visual,PASS,PASS,0.007946408615750553,0.952054794520548,0.16308100000000003,0.0,0,0,0,,,,
approach_center_v0p10_r03_20260818_172131_591,approach_center_v0p10_r03_20260818_172131_591,approach,0.1,odom_static,PASS,PASS,0.0,1.0,0.0,0.0,0,0,0,,,,
approach_center_v0p10_r03_20260818_172131_591,approach_center_v0p10_r03_20260818_172131_591,approach,0.1,conservative,PASS,PASS,0.005682009087624959,1.0,0.0,0.0,0,0,0,,,,
retreat_center_v0p10_r01_20260818_172222_468,retreat_center_v0p10_r01_20260818_172222_468,retreat,0.1,visual,PASS,PASS,0.010231030310694144,nan,nan,0.0,0,0,0,,,,
retreat_center_v0p10_r01_20260818_172222_468,retreat_center_v0p10_r01_20260818_172222_468,retreat,0.1,odom_static,PASS,PASS,0.0,nan,nan,0.0,0,0,0,,,,
retreat_center_v0p10_r01_20260818_172222_468,retreat_center_v0p10_r01_20260818_172222_468,retreat,0.1,conservative,PASS,PASS,0.004544705611516821,nan,nan,0.0,0,0,0,,,,
retreat_center_v0p10_r02_20260818_172256_256,retreat_center_v0p10_r02_20260818_172256_256,retreat,0.1,visual,PASS,PASS,0.0110794075343375,nan,nan,0.0,0,0,0,,,,
retreat_center_v0p10_r02_20260818_172256_256,retreat_center_v0p10_r02_20260818_172256_256,retreat,0.1,odom_static,PASS,PASS,0.0,nan,nan,0.0,0,0,0,,,,
retreat_center_v0p10_r02_20260818_172256_256,retreat_center_v0p10_r02_20260818_172256_256,retreat,0.1,conservative,PASS,PASS,0.005125265782244095,nan,nan,0.0,0,0,0,,,,
retreat_center_v0p10_r03_20260818_172320_984,retreat_center_v0p10_r03_20260818_172320_984,retreat,0.1,visual,PASS,PASS,0.012120649677208932,nan,nan,0.0,0,0,0,,,,
retreat_center_v0p10_r03_20260818_172320_984,retreat_center_v0p10_r03_20260818_172320_984,retreat,0.1,odom_static,PASS,PASS,0.0,nan,nan,0.0,0,0,0,,,,
retreat_center_v0p10_r03_20260818_172320_984,retreat_center_v0p10_r03_20260818_172320_984,retreat,0.1,conservative,PASS,PASS,0.005516531666630928,nan,nan,0.0,0,0,0,,,,
approach_center_v0p20_r01_20260818_173859_761,approach_center_v0p20_r01_20260818_173859_761,approach,0.2,visual,PASS,PASS,0.02273590242584321,0.9882352941176471,0.4717640000000003,0.0,20,35,21,4.5039109819159115,0.7436,,
approach_center_v0p20_r01_20260818_173859_761,approach_center_v0p20_r01_20260818_173859_761,approach,0.2,odom_static,FAIL,FAIL,0.0,1.0,0.0,0.0,37,35,7,4.5965608465608465,0.7645,maximum_warning_entry_delay_sec=0.27105599999999974 > 0.15,maximum_warning_entry_delay_sec=0.27105599999999974 > 0.15
approach_center_v0p20_r01_20260818_173859_761,approach_center_v0p20_r01_20260818_173859_761,approach,0.2,conservative,FAIL,FAIL,0.005952349957640456,1.0,0.0,0.0,37,35,7,4.5965608465608465,0.7645,maximum_warning_entry_delay_sec=0.27105599999999974 > 0.15,maximum_warning_entry_delay_sec=0.27105599999999974 > 0.15
approach_center_v0p20_r02_20260818_173929_852,approach_center_v0p20_r02_20260818_173929_852,approach,0.2,visual,PASS,PASS,0.020331915092453714,0.9885057471264368,0.15832900000000016,0.0,22,37,20,4.581201806006162,0.7844,,
approach_center_v0p20_r02_20260818_173929_852,approach_center_v0p20_r02_20260818_173929_852,approach,0.2,odom_static,FAIL,FAIL,0.0,1.0,0.0,0.0,51,49,12,4.50731774273802,0.7881,maximum_warning_entry_delay_sec=0.3217029999999994 > 0.15,maximum_warning_entry_delay_sec=0.3217029999999994 > 0.15
approach_center_v0p20_r02_20260818_173929_852,approach_center_v0p20_r02_20260818_173929_852,approach,0.2,conservative,FAIL,FAIL,0.0050490569506655945,1.0,0.0,0.0,54,54,12,4.50731774273802,0.7881,maximum_warning_entry_delay_sec=0.3217029999999994 > 0.15,maximum_warning_entry_delay_sec=0.3217029999999994 > 0.15
approach_center_v0p20_r03_20260818_173959_164,approach_center_v0p20_r03_20260818_173959_164,approach,0.2,visual,PASS,PASS,0.019706544715948036,0.9888888888888889,0.1588580000000004,0.0,23,34,20,4.588216145541578,0.7628,,
approach_center_v0p20_r03_20260818_173959_164,approach_center_v0p20_r03_20260818_173959_164,approach,0.2,odom_static,FAIL,FAIL,0.0,1.0,0.0,0.0,45,43,16,4.541559554413024,0.7844,maximum_warning_entry_delay_sec=0.5597509999999986 > 0.15; path_while_forward_after_warning_frames=2.0 > 0,maximum_warning_entry_delay_sec=0.5597509999999986 > 0.15; path_while_forward_after_warning_frames=2.0 > 0
