experiment_label,source,frames,detected_frames,measurement_accepted_frames,normalized_area_rejection_frames,measurement_acceptance_rate,median_x_m,median_z_m,median_area_px,median_normalized_area,normalized_area_threshold,median_normalized_area_to_threshold
approach_center_v0p10_r01,/home/robo25/Downloads/recoding/202609031410.tar.xz::approach_center_v0p10_r01_20260903_140231_828,875,875,875,0,1.0,0.0099,0.8732,3796.5,2916.8541053574468,2000.0,1.4584270526787233
approach_center_v0p10_r02,/home/robo25/Downloads/recoding/202609031410.tar.xz::approach_center_v0p10_r02_20260903_140318_833,621,621,621,0,1.0,0.0145,0.8012,4383.0,2817.340581022561,2000.0,1.4086702905112805
approach_center_v0p10_r03,/home/robo25/Downloads/recoding/202609031410.tar.xz::approach_center_v0p10_r03_20260903_140401_526,492,492,492,0,1.0,0.0227,0.9155,3555.5,2990.0032134163202,2000.0,1.4950016067081602
approach_center_v0p20_r01,/home/robo25/Downloads/recoding/202609031410.tar.xz::approach_center_v0p20_r01_20260903_140715_416,377,377,377,0,1.0,0.0132,0.8098,4210.0,2767.6240974544535,2000.0,1.3838120487272267
approach_center_v0p20_r02,/home/robo25/Downloads/recoding/202609031410.tar.xz::approach_center_v0p20_r02_20260903_140754_182,390,390,390,0,1.0,0.0203,0.83145,4109.75,2835.0419535599995,2000.0,1.4175209767799997
approach_center_v0p20_r03,/home/robo25/Downloads/recoding/202609031410.tar.xz::approach_center_v0p20_r03_20260903_140831_916,365,365,365,0,1.0,0.02,0.8687,3802.5,2905.0212107527987,2000.0,1.4525106053763994
retreat_center_v0p10_r01,/home/robo25/Downloads/recoding/202609031410.tar.xz::retreat_center_v0p10_r01_20260903_140445_028,447,447,447,0,1.0,0.0202,0.8915,3752.0,2971.029699286136,2000.0,1.485514849643068
retreat_center_v0p10_r02,/home/robo25/Downloads/recoding/202609031410.tar.xz::retreat_center_v0p10_r02_20260903_140557_257,404,404,404,0,1.0,0.0187,0.9056500000000001,3648.75,2991.26125859308,2000.0,1.49563062929654
retreat_center_v0p10_r03,/home/robo25/Downloads/recoding/202609031410.tar.xz::retreat_center_v0p10_r03_20260903_140638_925,395,395,395,0,1.0,0.0099,0.918,3535.5,2993.253121444272,2000.0,1.496626560722136
static_center_ttc_r01,/home/robo25/Downloads/recoding/202609031410.tar.xz::static_center_ttc_r01_20260903_140015_935,697,697,697,0,1.0,-0.0007,1.134,2474.0,3186.1279673084023,2000.0,1.593063983654201
static_center_ttc_r02,/home/robo25/Downloads/recoding/202609031410.tar.xz::static_center_ttc_r02_20260903_140049_936,674,674,674,0,1.0,-0.0007,1.134,2465.0,3175.2322795340665,2000.0,1.5876161397670332
static_center_ttc_r03,/home/robo25/Downloads/recoding/202609031410.tar.xz::static_center_ttc_r03_20260903_140125_270,621,621,621,0,1.0,-0.0007,1.134,2458.0,3166.101525958886,2000.0,1.583050762979443
