experiment_label,session_dir,frames,duration_sec,effective_fps,detection_rate,measurement_acceptance_rate,track_rate,odom_available_rate,moving_frames,direction_correct_rate,relative_speed_mae_mps,ttc_active_rate,ttc_active_rate_while_approaching,minimum_ttc_sec,ttc_vs_odom_mae_sec,path_corridor_rate,warning_or_critical_rate,warning_hold_rate,unknown_rate,critical_rate,warning_or_critical_frames,critical_frames
approach_center_v0p10_r01,/home/robo25/Downloads/recoding/202609031410.tar.xz::approach_center_v0p10_r01_20260903_140231_828,875,29.138556,29.994622931898203,1.0,1.0,1.0,1.0,218,1.0,0.014312364093701688,0.25142857142857145,1.0,8.862568994991515,3.5935551596383117,0.21714285714285714,0.0,0.0,0.0,0.0,0,0
approach_center_v0p10_r02,/home/robo25/Downloads/recoding/202609031410.tar.xz::approach_center_v0p10_r02_20260903_140318_833,621,20.664121,30.00369577781702,1.0,1.0,1.0,1.0,222,0.990990990990991,0.01540395246112099,0.3413848631239936,1.0,8.833641887664621,3.1561255474976426,0.31561996779388085,0.0,0.0,0.0,0.0,0,0
approach_center_v0p10_r03,/home/robo25/Downloads/recoding/202609031410.tar.xz::approach_center_v0p10_r03_20260903_140401_526,492,16.382710000000003,29.970621466167678,1.0,1.0,1.0,1.0,218,0.9908256880733946,0.015705333145296724,0.43089430894308944,1.0,9.443573391152281,3.2615742323075794,0.3902439024390244,0.0,0.0,0.0,0.0,0,0
approach_center_v0p20_r01,/home/robo25/Downloads/recoding/202609031410.tar.xz::approach_center_v0p20_r01_20260903_140715_416,377,12.536146,29.99326906371384,1.0,1.0,1.0,1.0,108,1.0,0.038499430711986145,0.2891246684350133,1.0,4.961205468796249,2.6104423992318506,0.27055702917771884,0.0,0.0,0.0,0.0,0,0
approach_center_v0p20_r02,/home/robo25/Downloads/recoding/202609031410.tar.xz::approach_center_v0p20_r02_20260903_140754_182,390,12.95942,30.016775442110834,1.0,1.0,1.0,1.0,110,1.0,0.038404515979580764,0.2794871794871795,1.0,5.108064068148801,2.684470092136568,0.26153846153846155,0.0,0.0,0.0,0.0,0,0
approach_center_v0p20_r03,/home/robo25/Downloads/recoding/202609031410.tar.xz::approach_center_v0p20_r03_20260903_140831_916,365,12.13555,29.994520231880713,1.0,1.0,1.0,1.0,112,0.9821428571428571,0.03740183397258283,0.3150684931506849,1.0,4.796630841621161,2.626757652558509,0.273972602739726,0.0,0.0,0.0,0.0,0,0
retreat_center_v0p10_r01,/home/robo25/Downloads/recoding/202609031410.tar.xz::retreat_center_v0p10_r01_20260903_140445_028,447,14.866364,30.000610774766443,1.0,1.0,1.0,1.0,204,1.0,0.01178631280185259,0.0,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0,0
retreat_center_v0p10_r02,/home/robo25/Downloads/recoding/202609031410.tar.xz::retreat_center_v0p10_r02_20260903_140557_257,404,13.436318,29.99333597195303,1.0,1.0,1.0,1.0,206,0.9902912621359223,0.013978427043078445,0.0,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0,0
retreat_center_v0p10_r03,/home/robo25/Downloads/recoding/202609031410.tar.xz::retreat_center_v0p10_r03_20260903_140638_925,395,13.129459,30.008852611520396,1.0,1.0,1.0,1.0,204,1.0,0.012536979037559183,0.0,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0,0
static_center_ttc_r01,/home/robo25/Downloads/recoding/202609031410.tar.xz::static_center_ttc_r01_20260903_140015_935,697,23.192524,30.009670357568673,1.0,1.0,1.0,1.0,0,nan,nan,0.0,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0,0
static_center_ttc_r02,/home/robo25/Downloads/recoding/202609031410.tar.xz::static_center_ttc_r02_20260903_140049_936,674,22.431949,30.001851377247693,1.0,1.0,1.0,1.0,0,nan,nan,0.0,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0,0
static_center_ttc_r03,/home/robo25/Downloads/recoding/202609031410.tar.xz::static_center_ttc_r03_20260903_140125_270,621,20.663297,30.004892249286257,1.0,1.0,1.0,1.0,0,nan,nan,0.0,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0,0
