experiment_label,session_dir,frames,requested_fps,effective_fps,fps_within_one_percent,dt_median_ms,dt_p90_ms,dt_p95_ms,dt_p99_ms,dt_max_ms,dt_over_40ms_rate,dt_over_50ms_rate,first_half_fps,last_half_fps,raw_kib_per_frame,bev_kib_per_frame,detection_kib_per_frame,odom_poll_median_ms,capture_read_median_ms,bev_preprocess_median_ms,blue_pipeline_median_ms,ai_perception_median_ms,overlay_render_median_ms,display_median_ms,video_write_median_ms,processing_total_median_ms,processing_over_budget_rate,processing_active_median_ms,processing_active_p95_ms,processing_active_over_budget_rate
approach_center_v0p10_r01,/home/robo25/Downloads/recoding/202609031410.tar.xz::approach_center_v0p10_r01_20260903_140231_828,875,30.0,29.994622931898203,1,32.66149999999968,37.03520000000129,38.53169999999988,40.95869000000067,47.1560000000002,0.018306636155606407,0.0,30.01007569406369,29.97918607538839,66.059046875,32.767160714285716,30.592223214285713,0.375,5.56,9.952,2.631,0.006,0.713,1.826,8.938,30.347,0.21485714285714286,25.067999999999998,28.2403,0.010285714285714285
approach_center_v0p10_r02,/home/robo25/Downloads/recoding/202609031410.tar.xz::approach_center_v0p10_r02_20260903_140318_833,621,30.0,30.00369577781702,1,32.33449999999927,36.65309999999948,37.61209999999981,41.13065999999885,46.34699999999903,0.02258064516129032,0.0,30.000813893047876,30.00657821630832,66.40597322866344,33.150768040458935,29.208116319444443,0.503,6.228,8.045,2.728,0.006,0.809,1.835,8.995,30.133,0.20933977455716588,23.782,28.929000000000002,0.01288244766505636
approach_center_v0p10_r03,/home/robo25/Downloads/recoding/202609031410.tar.xz::approach_center_v0p10_r03_20260903_140401_526,492,30.0,29.970621466167678,1,32.42999999999996,36.61999999999921,37.331,40.54020000000014,75.96399999999991,0.012219959266802444,0.002036659877800407,29.99948817199772,29.941927266920345,66.49512909679878,33.64273294588415,29.41018800813008,0.503,6.339,8.097000000000001,2.718,0.007,0.974,1.848,8.9545,30.1705,0.21341463414634146,23.826,28.092899999999993,0.01016260162601626
approach_center_v0p20_r01,/home/robo25/Downloads/recoding/202609031410.tar.xz::approach_center_v0p20_r01_20260903_140715_416,377,30.0,29.99326906371384,1,32.38200000000035,36.69449999999941,37.44975000000083,38.81425000000105,41.35299999999997,0.0026595744680851063,0.0,29.98474446378744,30.001798512070376,66.1698648872679,33.143821493700266,30.12613975464191,0.494,6.296,8.568,2.63,0.006,0.728,1.77,9.108,30.056,0.22546419098143236,23.846,26.992199999999997,0.013262599469496022
approach_center_v0p20_r02,/home/robo25/Downloads/recoding/202609031410.tar.xz::approach_center_v0p20_r02_20260903_140754_182,390,30.0,30.016775442110834,1,32.64800000000001,36.82079999999992,38.386000000000024,41.24564000000015,47.266000000000474,0.017994858611825194,0.0,30.038660065180796,29.995034668107248,66.37305188301282,33.062194511217946,29.2056640625,0.507,5.7035,9.350000000000001,2.7714999999999996,0.006,0.756,1.8325,8.977,30.343,0.17435897435897435,24.67,27.98265,0.015384615384615385
approach_center_v0p20_r03,/home/robo25/Downloads/recoding/202609031410.tar.xz::approach_center_v0p20_r03_20260903_140831_916,365,30.0,29.994520231880713,1,32.80250000000029,36.908300000000516,38.352650000000025,42.679070000000465,46.319999999999695,0.024725274725274724,0.0,29.996255412511136,29.992785251987186,66.41594071061644,33.464233732876714,29.87712970890411,0.54,5.337,9.329,2.691,0.006,0.851,1.817,9.276,30.429,0.20821917808219179,24.884,29.4504,0.00821917808219178
retreat_center_v0p10_r01,/home/robo25/Downloads/recoding/202609031410.tar.xz::retreat_center_v0p10_r01_20260903_140445_028,447,30.0,30.000610774766443,1,32.42950000000033,37.22750000000019,38.76749999999962,44.66259999999977,48.38400000000043,0.03587443946188341,0.0,30.008123723897818,29.99310158663507,67.58510731263982,33.676655131431765,28.628700887863534,0.407,5.636,8.282,2.759,0.007,1.243,1.818,8.944,30.187,0.22371364653243847,23.933999999999997,33.449099999999994,0.05145413870246085
retreat_center_v0p10_r02,/home/robo25/Downloads/recoding/202609031410.tar.xz::retreat_center_v0p10_r02_20260903_140557_257,404,30.0,29.99333597195303,1,32.46299999999991,37.27740000000006,38.4138,41.023599999999874,49.65200000000003,0.022332506203473945,0.0,30.00187175856643,29.984847261344367,65.98212213799505,33.63300104424505,28.909725982363863,0.516,5.1985,8.5775,2.615,0.006,1.5495,1.8065,9.405000000000001,29.731,0.22277227722772278,24.3425,31.715449999999986,0.03217821782178218
retreat_center_v0p10_r03,/home/robo25/Downloads/recoding/202609031410.tar.xz::retreat_center_v0p10_r03_20260903_140638_925,395,30.0,30.008852611520396,1,32.52499999999991,36.88720000000027,38.27039999999913,40.976220000000104,47.699999999998965,0.015228426395939087,0.0,30.005614248432472,30.01209167368599,66.2335096914557,33.93911689082279,28.615367879746834,0.512,5.776,8.558,2.774,0.007,1.565,1.819,9.052,30.238,0.20253164556962025,24.118000000000002,29.498599999999985,0.027848101265822784
static_center_ttc_r01,/home/robo25/Downloads/recoding/202609031410.tar.xz::static_center_ttc_r01_20260903_140015_935,697,30.0,30.009670357568673,1,32.51899999999996,36.614499999998884,38.104750000000465,43.58894999999979,57.396,0.027298850574712645,0.0014367816091954023,30.005530329641793,30.01381152809802,67.15511231169297,33.7871149793759,33.11586206510043,0.502,7.1,7.533,2.706,0.006,0.674,1.819,9.091,30.141,0.21377331420373027,22.705,29.64339999999998,0.020086083213773313
static_center_ttc_r02,/home/robo25/Downloads/recoding/202609031410.tar.xz::static_center_ttc_r02_20260903_140049_936,674,30.0,30.001851377247693,1,32.56800000000126,37.42279999999996,38.63459999999961,41.96735999999944,45.882999999999896,0.020802377414561663,0.0,29.97617162000599,30.027498773505876,66.71222702614985,33.73056727559347,38.59093622496291,0.399,6.3365,7.8865,2.608,0.006,0.6645000000000001,1.8485,9.517,29.8545,0.23887240356083086,23.2825,29.3157,0.017804154302670624
static_center_ttc_r03,/home/robo25/Downloads/recoding/202609031410.tar.xz::static_center_ttc_r03_20260903_140125_270,621,30.0,30.004892249286257,1,32.59250000000058,37.05380000000016,38.172150000000336,42.44748999999999,47.86400000000057,0.01935483870967742,0.0,29.988758085235208,30.02104378327131,66.27791616344605,33.71895128824477,40.266279186795494,0.496,6.923,7.523,2.679,0.006,0.667,1.793,9.384,30.266,0.21900161030595813,22.985999999999997,28.592,0.01610305958132045
