session,experiment_label,risk_source,velocity_source,ttc_profile,frames,active_frames,active_rate,warning_frames,warning_hold_frames,critical_frames,unknown_frames,peak_normalized_magnitude,mean_normalized_magnitude,activation_events
approach_center_v0p10_r01_20260903_140231_828,approach_center_v0p10_r01_20260903_140231_828,profile_replay,conservative,/home/robo25/theta_ws/RICHO-theta/src/dynamic_ttc_evaluation_profile_v5_candidate.json,875,0,0.0,0,0,0,0,0.0,0.0,0
approach_center_v0p10_r02_20260903_140318_833,approach_center_v0p10_r02_20260903_140318_833,profile_replay,conservative,/home/robo25/theta_ws/RICHO-theta/src/dynamic_ttc_evaluation_profile_v5_candidate.json,621,0,0.0,0,0,0,0,0.0,0.0,0
approach_center_v0p10_r03_20260903_140401_526,approach_center_v0p10_r03_20260903_140401_526,profile_replay,conservative,/home/robo25/theta_ws/RICHO-theta/src/dynamic_ttc_evaluation_profile_v5_candidate.json,492,0,0.0,0,0,0,0,0.0,0.0,0
approach_center_v0p20_r01_20260903_140715_416,approach_center_v0p20_r01_20260903_140715_416,profile_replay,conservative,/home/robo25/theta_ws/RICHO-theta/src/dynamic_ttc_evaluation_profile_v5_candidate.json,377,12,0.03183023872679045,12,0,0,0,0.25,0.007957559681697613,1
approach_center_v0p20_r02_20260903_140754_182,approach_center_v0p20_r02_20260903_140754_182,profile_replay,conservative,/home/robo25/theta_ws/RICHO-theta/src/dynamic_ttc_evaluation_profile_v5_candidate.json,390,10,0.02564102564102564,10,0,0,0,0.25,0.00641025641025641,1
approach_center_v0p20_r03_20260903_140831_916,approach_center_v0p20_r03_20260903_140831_916,profile_replay,conservative,/home/robo25/theta_ws/RICHO-theta/src/dynamic_ttc_evaluation_profile_v5_candidate.json,365,12,0.03287671232876712,12,0,0,0,0.25,0.00821917808219178,1
retreat_center_v0p10_r01_20260903_140445_028,retreat_center_v0p10_r01_20260903_140445_028,profile_replay,conservative,/home/robo25/theta_ws/RICHO-theta/src/dynamic_ttc_evaluation_profile_v5_candidate.json,447,0,0.0,0,0,0,0,0.0,0.0,0
retreat_center_v0p10_r02_20260903_140557_257,retreat_center_v0p10_r02_20260903_140557_257,profile_replay,conservative,/home/robo25/theta_ws/RICHO-theta/src/dynamic_ttc_evaluation_profile_v5_candidate.json,404,0,0.0,0,0,0,0,0.0,0.0,0
retreat_center_v0p10_r03_20260903_140638_925,retreat_center_v0p10_r03_20260903_140638_925,profile_replay,conservative,/home/robo25/theta_ws/RICHO-theta/src/dynamic_ttc_evaluation_profile_v5_candidate.json,395,0,0.0,0,0,0,0,0.0,0.0,0
static_center_ttc_r01_20260903_140015_935,static_center_ttc_r01_20260903_140015_935,profile_replay,conservative,/home/robo25/theta_ws/RICHO-theta/src/dynamic_ttc_evaluation_profile_v5_candidate.json,697,0,0.0,0,0,0,0,0.0,0.0,0
static_center_ttc_r02_20260903_140049_936,static_center_ttc_r02_20260903_140049_936,profile_replay,conservative,/home/robo25/theta_ws/RICHO-theta/src/dynamic_ttc_evaluation_profile_v5_candidate.json,674,0,0.0,0,0,0,0,0.0,0.0,0
static_center_ttc_r03_20260903_140125_270,static_center_ttc_r03_20260903_140125_270,profile_replay,conservative,/home/robo25/theta_ws/RICHO-theta/src/dynamic_ttc_evaluation_profile_v5_candidate.json,621,0,0.0,0,0,0,0,0.0,0.0,0
