normalized_area_threshold,live_sessions,live_min_area_acceptance_rate,occlusion_sessions,stable_inlier_min_acceptance_rate,outlier_min_rejection_rate,max_abs_vz_mps,occlusion_events,events_track_expired,events_reacquired,decision
1200,34,0.9948630136986302,2,0.9980657640232108,1.0,0.2292676717042923,2,2,2,PASS
1300,34,0.9948630136986302,2,0.9980657640232108,1.0,0.2292676717042923,2,2,2,PASS
1400,34,0.9914383561643836,2,0.9980657640232108,1.0,0.2292676717042923,2,2,2,PASS
1450,34,0.9845890410958904,2,0.9980657640232108,1.0,0.2292676717042923,2,2,2,PASS
1500,34,0.9708904109589042,2,0.9980657640232108,1.0,0.04773848131299019,2,2,2,FAIL
1600,34,0.8715753424657534,2,0.9980657640232108,1.0,0.04773848131299019,2,2,2,FAIL
1700,34,0.7157534246575342,2,0.9980657640232108,1.0,0.04773848131299019,2,2,2,FAIL
1800,34,0.583904109589041,2,0.9980657640232108,1.0,0.04773848131299019,2,2,2,FAIL
1900,34,0.4609250398724083,2,0.9980657640232108,1.0,0.04773848131299019,2,2,2,FAIL
2000,34,0.45454545454545453,2,0.9980657640232108,1.0,0.04773848131299019,2,2,2,FAIL
