send_monotonic_sec,elapsed_sec,sequence,source,risk_level,pattern,active,requested_magnitude,reason
131069.168366134,1.000966656007222,0,bird_eye,2,1,1,0.05,manual_collision_ffb_probe:continuous
131069.202195943,1.03479646499909,1,bird_eye,2,1,1,0.05,manual_collision_ffb_probe:continuous
131069.235903408,1.0685039300005883,2,bird_eye,2,1,1,0.05,manual_collision_ffb_probe:continuous
131069.269698313,1.1022988350014202,3,bird_eye,2,1,1,0.05,manual_collision_ffb_probe:continuous
131069.303414956,1.1360154779977165,4,bird_eye,2,1,1,0.05,manual_collision_ffb_probe:continuous
131069.340330761,1.1729312829993432,5,bird_eye,2,1,1,0.05,manual_collision_ffb_probe:continuous
131069.374174786,1.2067753080045804,6,bird_eye,2,1,1,0.05,manual_collision_ffb_probe:continuous
131069.408017124,1.2406176460062852,7,bird_eye,2,1,1,0.05,manual_collision_ffb_probe:continuous
131069.441693723,1.2742942449986003,8,bird_eye,2,1,1,0.05,manual_collision_ffb_probe:continuous
131069.475324311,1.3079248330031987,9,bird_eye,2,1,1,0.05,manual_collision_ffb_probe:continuous
131069.508966086,1.3415666079963557,10,bird_eye,2,1,1,0.05,manual_collision_ffb_probe:continuous
131069.542614704,1.375215225998545,11,bird_eye,2,1,1,0.05,manual_collision_ffb_probe:continuous
131069.576260578,1.4088611000042874,12,bird_eye,2,1,1,0.05,manual_collision_ffb_probe:continuous
131069.609899033,1.442499555007089,13,bird_eye,2,1,1,0.05,manual_collision_ffb_probe:continuous
131069.64358861,1.4761891319940332,14,bird_eye,2,1,1,0.05,manual_collision_ffb_probe:continuous
131069.677276047,1.5098765690054279,15,bird_eye,0,0,0,0.0,probe_clear
131069.697645385,1.530245906993514,16,bird_eye,0,0,0,0.0,probe_clear
131069.718143039,1.5507435610052198,17,bird_eye,0,0,0,0.0,probe_clear
