send_monotonic_sec,elapsed_sec,sequence,source,risk_level,pattern,active,requested_magnitude,reason
131071.667834769,1.0019320400024299,0,bird_eye,2,1,1,0.05,manual_collision_ffb_probe:double
131071.701678998,1.0357762689964147,1,bird_eye,2,1,1,0.05,manual_collision_ffb_probe:double
131071.735420172,1.0695174430002226,2,bird_eye,2,1,1,0.05,manual_collision_ffb_probe:double
131071.769225083,1.103322353999829,3,bird_eye,2,1,1,0.05,manual_collision_ffb_probe:double
131071.803041306,1.1371385770034976,4,bird_eye,0,0,0,0.0,probe_clear
131071.836901511,1.170998781992239,5,bird_eye,0,0,0,0.0,probe_clear
131071.870647537,1.2047448079974856,6,bird_eye,0,0,0,0.0,probe_clear
131071.90430036,1.238397630993859,7,bird_eye,0,0,0,0.0,probe_clear
131071.937932038,1.2720293089951156,8,bird_eye,2,1,1,0.05,manual_collision_ffb_probe:double
131071.971576457,1.30567372799851,9,bird_eye,2,1,1,0.05,manual_collision_ffb_probe:double
131072.005228979,1.3393262499885168,10,bird_eye,2,1,1,0.05,manual_collision_ffb_probe:double
131072.039092702,1.373189973004628,11,bird_eye,2,1,1,0.05,manual_collision_ffb_probe:double
131072.072759856,1.4068571270036045,12,bird_eye,0,0,0,0.0,probe_clear
131072.106394465,1.4404917359934188,13,bird_eye,0,0,0,0.0,probe_clear
131072.140049922,1.4741471929883119,14,bird_eye,0,0,0,0.0,probe_clear
131072.173685513,1.5077827839995734,15,bird_eye,0,0,0,0.0,probe_clear
131072.194139915,1.5282371859939303,16,bird_eye,0,0,0,0.0,probe_clear
131072.214468389,1.548565659992164,17,bird_eye,0,0,0,0.0,probe_clear
