send_monotonic_sec,elapsed_sec,sequence,source,risk_level,pattern,active,requested_magnitude,reason
131074.175827155,1.0009004330204334,0,bird_eye,2,1,1,0.05,manual_collision_ffb_probe:triple
131074.209483957,1.0345572350197472,1,bird_eye,2,1,1,0.05,manual_collision_ffb_probe:triple
131074.243133516,1.0682067940069828,2,bird_eye,2,1,1,0.05,manual_collision_ffb_probe:triple
131074.276780886,1.1018541640078183,3,bird_eye,0,0,0,0.0,probe_clear
131074.310543506,1.1356167840131093,4,bird_eye,0,0,0,0.0,probe_clear
131074.344188029,1.1692613070190419,5,bird_eye,2,1,1,0.05,manual_collision_ffb_probe:triple
131074.377846758,1.202920036012074,6,bird_eye,2,1,1,0.05,manual_collision_ffb_probe:triple
131074.411493905,1.2365671830193605,7,bird_eye,2,1,1,0.05,manual_collision_ffb_probe:triple
131074.445298762,1.2703720400168095,8,bird_eye,0,0,0,0.0,probe_clear
131074.479137505,1.3042107830115128,9,bird_eye,0,0,0,0.0,probe_clear
131074.512963536,1.3380368140060455,10,bird_eye,2,1,1,0.05,manual_collision_ffb_probe:triple
131074.546842122,1.3719154000282288,11,bird_eye,2,1,1,0.05,manual_collision_ffb_probe:triple
131074.58075178,1.4058250580274034,12,bird_eye,2,1,1,0.05,manual_collision_ffb_probe:triple
131074.615559453,1.4406327310134657,13,bird_eye,0,0,0,0.0,probe_clear
131074.649332246,1.4744055240007583,14,bird_eye,0,0,0,0.0,probe_clear
131074.6830514,1.5081246780173387,15,bird_eye,0,0,0,0.0,probe_clear
131074.70351087,1.5285841480072122,16,bird_eye,0,0,0,0.0,probe_clear
131074.723961693,1.5490349710162263,17,bird_eye,0,0,0,0.0,probe_clear
