receive_monotonic_sec,elapsed_sec,stamp_sec,has_sequence,sequence,source,output_mode,action,command_active,output_active,requested_magnitude,applied_magnitude,pattern,reason,fault
131074.176648565,1.0017218430002686,1788972075.287128,1,0,bird_eye,dry_run,apply,1,1,0.05000000074505806,0.05000000074505806,1,manual_collision_ffb_probe:triple,0
131074.210165697,1.0352389750187285,1788972075.3206806,1,1,bird_eye,dry_run,apply,1,1,0.05000000074505806,0.05000000074505806,1,manual_collision_ffb_probe:triple,0
131074.243956383,1.0690296610118821,1788972075.3544478,1,2,bird_eye,dry_run,apply,1,1,0.05000000074505806,0.05000000074505806,1,manual_collision_ffb_probe:triple,0
131074.277596486,1.1026697640190832,1788972075.3880565,1,3,bird_eye,dry_run,stop,0,0,0.0,0.0,0,inactive:clear,0
131074.311674738,1.1367480160261039,1788972075.4220223,1,4,bird_eye,dry_run,none,0,0,0.0,0.0,0,inactive:clear,0
131074.345191427,1.1702647050260566,1788972075.4556663,1,5,bird_eye,dry_run,apply,1,1,0.05000000074505806,0.05000000074505806,1,manual_collision_ffb_probe:triple,0
131074.378490518,1.2035637960070744,1788972075.4890325,1,6,bird_eye,dry_run,apply,1,1,0.05000000074505806,0.05000000074505806,1,manual_collision_ffb_probe:triple,0
131074.4121857,1.237258978013415,1788972075.5227203,1,7,bird_eye,dry_run,apply,1,1,0.05000000074505806,0.05000000074505806,1,manual_collision_ffb_probe:triple,0
131074.4460899,1.2711631780257449,1788972075.5564926,1,8,bird_eye,dry_run,stop,0,0,0.0,0.0,0,inactive:clear,0
131074.479914878,1.3049881560145877,1788972075.5903547,1,9,bird_eye,dry_run,none,0,0,0.0,0.0,0,inactive:clear,0
131074.51372301,1.3387962880078703,1788972075.6241853,1,10,bird_eye,dry_run,apply,1,1,0.05000000074505806,0.05000000074505806,1,manual_collision_ffb_probe:triple,0
131074.549238692,1.3743119700229727,1788972075.6586838,1,11,bird_eye,dry_run,apply,1,1,0.05000000074505806,0.05000000074505806,1,manual_collision_ffb_probe:triple,0
131074.583687027,1.4087603050284088,1788972075.692204,1,12,bird_eye,dry_run,apply,1,1,0.05000000074505806,0.05000000074505806,1,manual_collision_ffb_probe:triple,0
131074.616632311,1.441705589008052,1788972075.7270682,1,13,bird_eye,dry_run,stop,0,0,0.0,0.0,0,inactive:clear,0
131074.650605864,1.4756791420222726,1788972075.7610013,1,14,bird_eye,dry_run,none,0,0,0.0,0.0,0,inactive:clear,0
131074.684180413,1.5092536910087802,1788972075.7945356,1,15,bird_eye,dry_run,none,0,0,0.0,0.0,0,inactive:clear,0
131074.704472689,1.529545967001468,1788972075.8149939,1,16,bird_eye,dry_run,none,0,0,0.0,0.0,0,inactive:clear,0
131074.72491884,1.5499921180016827,1788972075.835432,1,17,bird_eye,dry_run,none,0,0,0.0,0.0,0,inactive:clear,0
