receive_monotonic_sec,elapsed_sec,stamp_sec,has_sequence,sequence,source,output_mode,action,command_active,output_active,requested_magnitude,applied_magnitude,pattern,reason,fault
131137.848400788,1.042227650003042,1788972138.9588687,1,0,bird_eye,dry_run,none,0,0,0.0,0.0,0,inactive:clear,0
131137.882208579,1.0760354409867432,1788972138.9926286,1,1,bird_eye,dry_run,none,0,0,0.0,0.0,0,inactive:clear,0
131137.91634608,1.110172941989731,1788972139.0266001,1,2,bird_eye,dry_run,none,0,0,0.0,0.0,0,inactive:clear,0
131137.949833136,1.1436599979933817,1788972139.0602918,1,3,bird_eye,dry_run,none,0,0,0.0,0.0,0,inactive:clear,0
131137.989494643,1.183321504999185,1788972139.097908,1,4,bird_eye,dry_run,none,0,0,0.0,0.0,0,inactive:clear,0
131138.021035122,1.2148619839863386,1788972139.13133,1,5,bird_eye,dry_run,none,0,0,0.0,0.0,0,inactive:clear,0
131138.054478589,1.2483054510084912,1788972139.1647663,1,6,bird_eye,dry_run,none,0,0,0.0,0.0,0,inactive:clear,0
131138.087694866,1.2815217280003708,1788972139.1982055,1,7,bird_eye,dry_run,none,0,0,0.0,0.0,0,inactive:clear,0
131138.121361458,1.3151883200043812,1788972139.2319021,1,8,bird_eye,dry_run,none,0,0,0.0,0.0,0,inactive:clear,0
131138.15490634,1.3487332020013127,1788972139.2654476,1,9,bird_eye,dry_run,none,0,0,0.0,0.0,0,inactive:clear,0
131138.188705768,1.3825326299993321,1788972139.2992544,1,10,bird_eye,dry_run,none,0,0,0.0,0.0,0,inactive:clear,0
131138.222560704,1.4163875659869518,1788972139.3329651,1,11,bird_eye,dry_run,none,0,0,0.0,0.0,0,inactive:clear,0
131138.256302463,1.4501293250068557,1788972139.3667047,1,12,bird_eye,dry_run,none,0,0,0.0,0.0,0,inactive:clear,0
131138.289905299,1.4837321609957144,1788972139.4003122,1,13,bird_eye,dry_run,none,0,0,0.0,0.0,0,inactive:clear,0
131138.323597703,1.517424565012334,1788972139.4340222,1,14,bird_eye,dry_run,none,0,0,0.0,0.0,0,inactive:clear,0
131138.357319994,1.5511468559852801,1788972139.4677243,1,15,bird_eye,dry_run,none,0,0,0.0,0.0,0,inactive:clear,0
131138.3907381,1.5845649619877804,1788972139.5012753,1,16,bird_eye,dry_run,none,0,0,0.0,0.0,0,inactive:clear,0
