collision_ffb_sequence,collision_ffb_publish_enabled,collision_ffb_publish_success,collision_ffb_risk_level,collision_ffb_active,collision_ffb_requested_magnitude,collision_ffb_pattern,collision_ffb_reason,collision_ffb_publish_error,source_frame,source_time_sec,send_monotonic_sec,elapsed_sec
0,1,1,CLEAR,0,0.0,off,no_alert,,1,0.018943,131137.847428138,1.041254999989178
1,1,1,CLEAR,0,0.0,off,no_alert,,2,0.051379,131137.881257261,1.0750841230037622
2,1,1,CLEAR,0,0.0,off,no_alert,,3,0.083827,131137.915107794,1.1089346559892874
3,1,1,CLEAR,0,0.0,off,no_alert,,4,0.119453,131137.948858813,1.1426856750040315
4,1,1,CLEAR,0,0.0,off,no_alert,,5,0.155402,131137.984725108,1.1785519699915312
5,1,1,CLEAR,0,0.0,off,no_alert,,6,0.187886,131138.019263853,1.2130907149985433
6,1,1,CLEAR,0,0.0,off,no_alert,,7,0.223534,131138.053085963,1.2469128250086214
7,1,1,CLEAR,0,0.0,off,no_alert,,8,0.254933,131138.086794458,1.2806213200092316
8,1,1,CLEAR,0,0.0,off,no_alert,,9,0.288457,131138.120531615,1.3143584769859444
9,1,1,CLEAR,0,0.0,off,no_alert,,10,0.319512,131138.154188906,1.3480157679878175
10,1,1,CLEAR,0,0.0,off,no_alert,,11,0.35331,131138.187872254,1.3816991159983445
11,1,1,CLEAR,0,0.0,off,no_alert,,12,0.385655,131138.221552533,1.4153793950099498
12,1,1,CLEAR,0,0.0,off,no_alert,,13,0.420623,131138.255283132,1.449109993991442
13,1,1,CLEAR,0,0.0,off,no_alert,,14,0.459304,131138.288943941,1.482770803006133
14,1,1,CLEAR,0,0.0,off,no_alert,,15,0.492333,131138.322636058,1.5164629200007766
15,1,1,CLEAR,0,0.0,off,no_alert,,16,0.536706,131138.356305329,1.5501321910123806
16,1,1,CLEAR,0,0.0,off,no_alert,,17,0.565523,131138.389957764,1.5837846260110382
17,1,1,CLEAR,0,0.0,off,no_alert,,18,0.593224,131138.423615571,1.6174424329947215
18,1,1,CLEAR,0,0.0,off,no_alert,,19,0.622353,131138.459098813,1.6529256750072818
19,1,1,CLEAR,0,0.0,off,no_alert,,20,0.659776,131138.495615168,1.6894420300086495
20,1,1,CLEAR,0,0.0,off,no_alert,,21,0.692964,131138.529352966,1.7231798279972281
21,1,1,CLEAR,0,0.0,off,no_alert,,22,0.732211,131138.563043297,1.756870159006212
22,1,1,CLEAR,0,0.0,off,no_alert,,23,0.763684,131138.596754264,1.7905811259988695
23,1,1,CLEAR,0,0.0,off,no_alert,,24,0.792934,131138.630431601,1.8242584629915655
24,1,1,CLEAR,0,0.0,off,no_alert,,25,0.836665,131138.664147953,1.8579748150077648
25,1,1,CLEAR,0,0.0,off,no_alert,,26,0.876533,131138.69786709,1.8916939519986045
26,1,1,CLEAR,0,0.0,off,no_alert,,27,0.911239,131138.731541241,1.9253681029949803
27,1,1,CLEAR,0,0.0,off,no_alert,,28,0.948132,131138.765214726,1.9590415880084038
28,1,1,CLEAR,0,0.0,off,no_alert,,29,0.97481,131138.798912819,1.9927396810089704
29,1,1,CLEAR,0,0.0,off,no_alert,,30,1.013325,131138.832645703,2.0264725649903994
30,1,1,CLEAR,0,0.0,off,no_alert,,31,1.041307,131138.86646105,2.060287911997875
31,1,1,CLEAR,0,0.0,off,no_alert,,32,1.069245,131138.900279925,2.094106787000783
32,1,1,CLEAR,0,0.0,off,no_alert,,33,1.09701,131138.934107984,2.1279348460084293
33,1,1,CLEAR,0,0.0,off,no_alert,,34,1.134566,131138.967860232,2.161687093990622
34,1,1,CLEAR,0,0.0,off,no_alert,,35,1.164249,131139.001681661,2.1955085230001714
35,1,1,CLEAR,0,0.0,off,no_alert,,36,1.192507,131139.035462128,2.2292889899981674
36,1,1,CLEAR,0,0.0,off,no_alert,,37,1.23229,131139.069286812,2.263113674009219
37,1,1,CLEAR,0,0.0,off,no_alert,,38,1.25914,131139.102999346,2.296826208010316
38,1,1,CLEAR,0,0.0,off,no_alert,,39,1.289472,131139.136702528,2.330529389990261
39,1,1,CLEAR,0,0.0,off,no_alert,,40,1.32517,131139.170456304,2.364283166010864
40,1,1,CLEAR,0,0.0,off,no_alert,,41,1.353926,131139.204138927,2.3979657889867667
41,1,1,CLEAR,0,0.0,off,no_alert,,42,1.396189,131139.237812573,2.4316394350025803
42,1,1,CLEAR,0,0.0,off,no_alert,,43,1.428102,131139.271498998,2.4653258599864785
43,1,1,CLEAR,0,0.0,off,no_alert,,44,1.458371,131139.305176517,2.49900337899453
44,1,1,CLEAR,0,0.0,off,no_alert,,45,1.490158,131139.338843255,2.532670117012458
45,1,1,CLEAR,0,0.0,off,no_alert,,46,1.522092,131139.372513525,2.5663403870130423
46,1,1,CLEAR,0,0.0,off,no_alert,,47,1.554424,131139.406169508,2.599996370001463
47,1,1,CLEAR,0,0.0,off,no_alert,,48,1.587164,131139.439881921,2.6337087829888333
48,1,1,CLEAR,0,0.0,off,no_alert,,49,1.622423,131139.473562235,2.6673890970123466
49,1,1,CLEAR,0,0.0,off,no_alert,,50,1.654249,131139.507220649,2.701047510985518
50,1,1,CLEAR,0,0.0,off,no_alert,,51,1.685992,131139.540883771,2.7347106329980306
51,1,1,CLEAR,0,0.0,off,no_alert,,52,1.722348,131139.574591142,2.7684180040087085
52,1,1,CLEAR,0,0.0,off,no_alert,,53,1.754565,131139.608248625,2.802075487008551
53,1,1,CLEAR,0,0.0,off,no_alert,,54,1.785969,131139.641900506,2.835727367986692
54,1,1,CLEAR,0,0.0,off,no_alert,,55,1.824516,131139.675561368,2.8693882299994584
55,1,1,CLEAR,0,0.0,off,no_alert,,56,1.856628,131139.70922827,2.903055131988367
56,1,1,CLEAR,0,0.0,off,no_alert,,57,1.887413,131139.742877698,2.9367045600083657
