receive_monotonic_sec,elapsed_sec,stamp_sec,has_sequence,sequence,source,output_mode,action,command_active,output_active,requested_magnitude,applied_magnitude,pattern,reason,fault
5735.212942416,5.039017994999995,1789553245.371945,1,0,bird_eye,dry_run,none,0,0,0.0,0.0,0,inactive:clear,0
5735.244237944,5.0703135229996406,1789553245.4031703,1,1,bird_eye,dry_run,none,0,0,0.0,0.0,0,inactive:clear,0
5735.279346524,5.10542210299991,1789553245.4385746,1,2,bird_eye,dry_run,none,0,0,0.0,0.0,0,inactive:clear,0
5735.317057851,5.14313342999958,1789553245.4730222,1,3,bird_eye,dry_run,none,0,0,0.0,0.0,0,inactive:clear,0
5735.348089579,5.174165157999596,1789553245.5071933,1,4,bird_eye,dry_run,none,0,0,0.0,0.0,0,inactive:clear,0
5735.382543269,5.208618847999787,1789553245.5419846,1,5,bird_eye,dry_run,none,0,0,0.0,0.0,0,inactive:clear,0
5735.417154468,5.243230046999997,1789553245.5754597,1,6,bird_eye,dry_run,none,0,0,0.0,0.0,0,inactive:clear,0
5735.450965004,5.277040582999689,1789553245.6098459,1,7,bird_eye,dry_run,none,0,0,0.0,0.0,0,inactive:clear,0
5735.485618083,5.311693661999925,1789553245.6448612,1,8,bird_eye,dry_run,none,0,0,0.0,0.0,0,inactive:clear,0
5735.521835755,5.347911333999946,1789553245.6781847,1,9,bird_eye,dry_run,none,0,0,0.0,0.0,0,inactive:clear,0
5735.553768,5.379843578999498,1789553245.7126877,1,10,bird_eye,dry_run,none,0,0,0.0,0.0,0,inactive:clear,0
5735.588272833,5.414348411999526,1789553245.7473617,1,11,bird_eye,dry_run,none,0,0,0.0,0.0,0,inactive:clear,0
5735.624863314,5.450938893000057,1789553245.7830493,1,12,bird_eye,dry_run,none,0,0,0.0,0.0,0,inactive:clear,0
5735.657301428,5.483377006999945,1789553245.8162305,1,13,bird_eye,dry_run,none,0,0,0.0,0.0,0,inactive:clear,0
5735.691512433,5.517588011999578,1789553245.8507526,1,14,bird_eye,dry_run,none,0,0,0.0,0.0,0,inactive:clear,0
5735.731692486,5.557768064999436,1789553245.890566,1,15,bird_eye,dry_run,none,0,0,0.0,0.0,0,inactive:clear,0
5735.759588702,5.585664280999481,1789553245.9189148,1,16,bird_eye,dry_run,none,0,0,0.0,0.0,0,inactive:clear,0
5735.795791838,5.621867416999521,1789553245.9535503,1,17,bird_eye,dry_run,none,0,0,0.0,0.0,0,inactive:clear,0
5735.829713781,5.6557893599992894,1789553245.9883847,1,18,bird_eye,dry_run,none,0,0,0.0,0.0,0,inactive:clear,0
5735.865600463,5.691676041999926,1789553246.0236485,1,19,bird_eye,dry_run,none,0,0,0.0,0.0,0,inactive:clear,0
5735.899921452,5.725997030999679,1789553246.0590713,1,20,bird_eye,dry_run,none,0,0,0.0,0.0,0,inactive:clear,0
5735.933603333,5.759678911999799,1789553246.0929239,1,21,bird_eye,dry_run,none,0,0,0.0,0.0,0,inactive:clear,0
5735.966870753,5.792946331999701,1789553246.1263006,1,22,bird_eye,dry_run,none,0,0,0.0,0.0,0,inactive:clear,0
5736.00318375,5.829259328999797,1789553246.1624439,1,23,bird_eye,dry_run,none,0,0,0.0,0.0,0,inactive:clear,0
5736.037486527,5.8635621059993355,1789553246.1965275,1,24,bird_eye,dry_run,none,0,0,0.0,0.0,0,inactive:clear,0
5736.07064718,5.896722759000113,1789553246.2299242,1,25,bird_eye,dry_run,none,0,0,0.0,0.0,0,inactive:clear,0
5736.139268668,5.965344246999848,1789553246.2984567,1,27,bird_eye,dry_run,none,0,0,0.0,0.0,0,inactive:clear,0
5736.170917762,5.996993340999325,1789553246.3304658,1,28,bird_eye,dry_run,none,0,0,0.0,0.0,0,inactive:clear,0
5736.205764095,6.031839673999457,1789553246.3649247,1,29,bird_eye,dry_run,none,0,0,0.0,0.0,0,inactive:clear,0
5736.241224495,6.0673000739998315,1789553246.4008052,1,30,bird_eye,dry_run,none,0,0,0.0,0.0,0,inactive:clear,0
5736.274214485,6.100290063999637,1789553246.4333928,1,31,bird_eye,dry_run,none,0,0,0.0,0.0,0,inactive:clear,0
5736.309732136,6.135807714999828,1789553246.468787,1,32,bird_eye,dry_run,none,0,0,0.0,0.0,0,inactive:clear,0
5736.344167899,6.170243477999975,1789553246.5036216,1,33,bird_eye,dry_run,none,0,0,0.0,0.0,0,inactive:clear,0
5736.376295015,6.202370594000058,1789553246.5357268,1,34,bird_eye,dry_run,none,0,0,0.0,0.0,0,inactive:clear,0
5736.412206792,6.238282370999514,1789553246.5714273,1,35,bird_eye,dry_run,none,0,0,0.0,0.0,0,inactive:clear,0
5736.449098313,6.275173891999657,1789553246.6077073,1,36,bird_eye,dry_run,none,0,0,0.0,0.0,0,inactive:clear,0
5736.480405405,6.306480983999791,1789553246.6390674,1,37,bird_eye,dry_run,none,0,0,0.0,0.0,0,inactive:clear,0
5736.514149441,6.340225019999707,1789553246.6733446,1,38,bird_eye,dry_run,none,0,0,0.0,0.0,0,inactive:clear,0
5736.548530196,6.374605774999509,1789553246.707933,1,39,bird_eye,dry_run,none,0,0,0.0,0.0,0,inactive:clear,0
5736.582875555,6.408951133999835,1789553246.7421637,1,40,bird_eye,dry_run,none,0,0,0.0,0.0,0,inactive:clear,0
5736.61748396,6.44355953899958,1789553246.7770374,1,41,bird_eye,dry_run,none,0,0,0.0,0.0,0,inactive:clear,0
5736.650837933,6.476913511999555,1789553246.8102143,1,42,bird_eye,dry_run,none,0,0,0.0,0.0,0,inactive:clear,0
5736.684538759,6.510614337999868,1789553246.8441908,1,43,bird_eye,dry_run,none,0,0,0.0,0.0,0,inactive:clear,0
5736.719532747,6.545608325999638,1789553246.8793669,1,44,bird_eye,dry_run,none,0,0,0.0,0.0,0,inactive:clear,0
5736.756181619,6.582257197999752,1789553246.914244,1,45,bird_eye,dry_run,none,0,0,0.0,0.0,0,inactive:clear,0
5736.786361014,6.612436592999984,1789553246.946244,1,46,bird_eye,dry_run,none,0,0,0.0,0.0,0,inactive:clear,0
5736.821427934,6.6475035129997195,1789553246.9810302,1,47,bird_eye,dry_run,none,0,0,0.0,0.0,0,inactive:clear,0
5736.855344574,6.681420152999635,1789553247.0151145,1,48,bird_eye,dry_run,none,0,0,0.0,0.0,0,inactive:clear,0
5736.889426573,6.715502151999317,1789553247.0489366,1,49,bird_eye,dry_run,none,0,0,0.0,0.0,0,inactive:clear,0
5736.923607933,6.749683512000047,1789553247.083438,1,50,bird_eye,dry_run,none,0,0,0.0,0.0,0,inactive:clear,0
5736.958223165,6.784298743999898,1789553247.1176176,1,51,bird_eye,dry_run,none,0,0,0.0,0.0,0,inactive:clear,0
5736.993703788,6.819779366999683,1789553247.1516976,1,52,bird_eye,dry_run,none,0,0,0.0,0.0,0,inactive:clear,0
5737.026478782,6.85255436099942,1789553247.1860344,1,53,bird_eye,dry_run,none,0,0,0.0,0.0,0,inactive:clear,0
5737.061905858,6.8879814369993255,1789553247.2206414,1,54,bird_eye,dry_run,none,0,0,0.0,0.0,0,inactive:clear,0
5737.096196712,6.922272290999899,1789553247.255446,1,55,bird_eye,dry_run,none,0,0,0.0,0.0,0,inactive:clear,0
5737.130754921,6.9568304999993416,1789553247.289979,1,56,bird_eye,dry_run,none,0,0,0.0,0.0,0,inactive:clear,0
5737.164900428,6.990976006999517,1789553247.3242712,1,57,bird_eye,dry_run,none,0,0,0.0,0.0,0,inactive:clear,0
5737.200045098,7.026120677000108,1789553247.3592606,1,58,bird_eye,dry_run,none,0,0,0.0,0.0,0,inactive:clear,0
5737.23547237,7.06154794899976,1789553247.3938382,1,59,bird_eye,dry_run,none,0,0,0.0,0.0,0,inactive:clear,0
5737.26990534,7.095980918999885,1789553247.42922,1,60,bird_eye,dry_run,none,0,0,0.0,0.0,0,inactive:clear,0
5737.303319852,7.129395430999466,1789553247.462918,1,61,bird_eye,dry_run,none,0,0,0.0,0.0,0,inactive:clear,0
5737.339682747,7.165758325999377,1789553247.4979484,1,62,bird_eye,dry_run,none,0,0,0.0,0.0,0,inactive:clear,0
5737.372770032,7.198845610999342,1789553247.5321167,1,63,bird_eye,dry_run,none,0,0,0.0,0.0,0,inactive:clear,0
5737.408121165,7.234196743999746,1789553247.5672615,1,64,bird_eye,dry_run,none,0,0,0.0,0.0,0,inactive:clear,0
5737.444067091,7.270142669999586,1789553247.6026273,1,65,bird_eye,dry_run,none,0,0,0.0,0.0,0,inactive:clear,0
5737.477462689,7.303538268000011,1789553247.6365957,1,66,bird_eye,dry_run,none,0,0,0.0,0.0,0,inactive:clear,0
5737.512964269,7.339039847999629,1789553247.6715145,1,67,bird_eye,dry_run,none,0,0,0.0,0.0,0,inactive:clear,0
5737.547154656,7.373230234999937,1789553247.7061977,1,68,bird_eye,dry_run,none,0,0,0.0,0.0,0,inactive:clear,0
5737.582672223,7.408747802000107,1789553247.7416325,1,69,bird_eye,dry_run,none,0,0,0.0,0.0,0,inactive:clear,0
