collision_ffb_sequence,collision_ffb_publish_enabled,collision_ffb_publish_success,collision_ffb_risk_level,collision_ffb_active,collision_ffb_requested_magnitude,collision_ffb_pattern,collision_ffb_reason,collision_ffb_publish_error,source_frame,source_time_sec,send_monotonic_sec,elapsed_sec
0,1,1,CLEAR,0,0.0,off,no_alert,,1,0.028136,5735.205169036,5.031244615000105
1,1,1,CLEAR,0,0.0,off,no_alert,,2,0.056144,5735.239849943,5.065925521999816
2,1,1,CLEAR,0,0.0,off,no_alert,,3,0.089436,5735.274475467,5.100551045999964
3,1,1,CLEAR,0,0.0,off,no_alert,,4,0.123797,5735.309124597,5.135200175999671
4,1,1,CLEAR,0,0.0,off,no_alert,,5,0.156399,5735.343673466,5.169749044999662
5,1,1,CLEAR,0,0.0,off,no_alert,,6,0.186636,5735.378118235,5.204193814000064
6,1,1,CLEAR,0,0.0,off,no_alert,,7,0.222702,5735.412398384,5.238473962999706
7,1,1,CLEAR,0,0.0,off,no_alert,,8,0.255195,5735.446566974,5.272642552999969
8,1,1,CLEAR,0,0.0,off,no_alert,,9,0.288225,5735.480712434,5.306788013000187
9,1,1,CLEAR,0,0.0,off,no_alert,,10,0.323196,5735.514907107,5.340982685999734
10,1,1,CLEAR,0,0.0,off,no_alert,,11,0.356285,5735.549353564,5.375429142999565
11,1,1,CLEAR,0,0.0,off,no_alert,,12,0.388173,5735.583802561,5.409878139999819
12,1,1,CLEAR,0,0.0,off,no_alert,,13,0.425402,5735.618405735,5.444481313999859
13,1,1,CLEAR,0,0.0,off,no_alert,,14,0.457078,5735.652836052,5.4789116309993915
14,1,1,CLEAR,0,0.0,off,no_alert,,15,0.490272,5735.687266768,5.513342346999707
15,1,1,CLEAR,0,0.0,off,no_alert,,16,0.5243,5735.721526486,5.54760206499941
16,1,1,CLEAR,0,0.0,off,no_alert,,17,0.55541,5735.755818388,5.581893966999814
17,1,1,CLEAR,0,0.0,off,no_alert,,18,0.586876,5735.789931712,5.6160072909997325
18,1,1,CLEAR,0,0.0,off,no_alert,,19,0.623339,5735.824472045,5.650547623999955
19,1,1,CLEAR,0,0.0,off,no_alert,,20,0.655081,5735.859326895,5.685402473999602
20,1,1,CLEAR,0,0.0,off,no_alert,,21,0.687281,5735.894065475,5.720141054000123
21,1,1,CLEAR,0,0.0,off,no_alert,,22,0.72336,5735.928677051,5.75475262999953
22,1,1,CLEAR,0,0.0,off,no_alert,,23,0.755261,5735.962950104,5.789025682999636
23,1,1,CLEAR,0,0.0,off,no_alert,,24,0.788695,5735.997238541,5.82331411999985
24,1,1,CLEAR,0,0.0,off,no_alert,,25,0.825256,5736.031414189,5.85748976800005
25,1,1,CLEAR,0,0.0,off,no_alert,,26,0.855779,5736.065444768,5.891520346999641
26,1,1,CLEAR,0,0.0,off,no_alert,,27,0.888603,5736.099654645,5.9257302239993805
27,1,1,CLEAR,0,0.0,off,no_alert,,28,0.924786,5736.133511035,5.959586613999818
28,1,1,CLEAR,0,0.0,off,no_alert,,29,0.966764,5736.167444761,5.993520340000032
29,1,1,CLEAR,0,0.0,off,no_alert,,30,1.001114,5736.201757756,6.027833334999741
30,1,1,CLEAR,0,0.0,off,no_alert,,31,1.0361,5736.235950817,6.062026395999965
31,1,1,CLEAR,0,0.0,off,no_alert,,32,1.075092,5736.270019226,6.096094804999666
32,1,1,CLEAR,0,0.0,off,no_alert,,33,1.116304,5736.304225109,6.1303006879998065
33,1,1,CLEAR,0,0.0,off,no_alert,,34,1.145302,5736.338451743,6.16452732200014
34,1,1,CLEAR,0,0.0,off,no_alert,,35,1.1739,5736.372383963,6.19845954199991
35,1,1,CLEAR,0,0.0,off,no_alert,,36,1.200977,5736.406696555,6.232772133999788
36,1,1,CLEAR,0,0.0,off,no_alert,,37,1.23011,5736.440975999,6.267051578000064
37,1,1,CLEAR,0,0.0,off,no_alert,,38,1.257072,5736.475549705,6.301625283999783
38,1,1,CLEAR,0,0.0,off,no_alert,,39,1.28875,5736.510136906,6.336212485000033
