receive_monotonic_sec,elapsed_sec,stamp_sec,has_sequence,sequence,source,output_mode,action,command_active,output_active,requested_magnitude,applied_magnitude,pattern,reason,fault
7988.594905077,5.124957416999678,1789543632.019158,1,2,bird_eye,hardware,none,0,0,0.0,0.0,0,inactive:clear,0
7988.60003426,5.130086600000141,1789543632.0252762,1,3,bird_eye,hardware,none,0,0,0.0,0.0,0,inactive:clear,0
7988.6352968,5.165349140000217,1789543632.0579233,1,4,bird_eye,hardware,none,0,0,0.0,0.0,0,inactive:clear,0
7988.66722384,5.19727617999979,1789543632.0928304,1,5,bird_eye,hardware,none,0,0,0.0,0.0,0,inactive:clear,0
7988.701226401,5.2312787410000965,1789543632.126021,1,6,bird_eye,hardware,none,0,0,0.0,0.0,0,inactive:clear,0
7988.73556987,5.2656222100004015,1789543632.1597247,1,7,bird_eye,hardware,none,0,0,0.0,0.0,0,inactive:clear,0
7988.769351635,5.299403975000132,1789543632.1944945,1,8,bird_eye,hardware,none,0,0,0.0,0.0,0,inactive:clear,0
7988.803390572,5.333442912000464,1789543632.2285562,1,9,bird_eye,hardware,none,0,0,0.0,0.0,0,inactive:clear,0
7988.837023814,5.367076153999733,1789543632.262313,1,10,bird_eye,hardware,none,0,0,0.0,0.0,0,inactive:clear,0
7988.871545064,5.401597404000313,1789543632.296907,1,11,bird_eye,hardware,none,0,0,0.0,0.0,0,inactive:clear,0
7988.905484096,5.435536435999893,1789543632.3300986,1,12,bird_eye,hardware,none,0,0,0.0,0.0,0,inactive:clear,0
7988.939610247,5.46966258700013,1789543632.3643136,1,13,bird_eye,hardware,none,0,0,0.0,0.0,0,inactive:clear,0
7988.975206054,5.505258394000521,1789543632.4001288,1,14,bird_eye,hardware,none,0,0,0.0,0.0,0,inactive:clear,0
7989.008266428,5.538318767999954,1789543632.4331467,1,15,bird_eye,hardware,none,0,0,0.0,0.0,0,inactive:clear,0
7989.042875038,5.572927377999804,1789543632.46794,1,16,bird_eye,hardware,none,0,0,0.0,0.0,0,inactive:clear,0
7989.078071508,5.608123848000105,1789543632.502912,1,17,bird_eye,hardware,none,0,0,0.0,0.0,0,inactive:clear,0
7989.117292067,5.647344406999764,1789543632.542418,1,18,bird_eye,hardware,none,0,0,0.0,0.0,0,inactive:clear,0
7989.147514795,5.677567134999663,1789543632.5714688,1,19,bird_eye,hardware,none,0,0,0.0,0.0,0,inactive:clear,0
7989.180204262,5.7102566020003,1789543632.6053307,1,20,bird_eye,hardware,none,0,0,0.0,0.0,0,inactive:clear,0
7989.213157481,5.743209821000164,1789543632.6384573,1,21,bird_eye,hardware,none,0,0,0.0,0.0,0,inactive:clear,0
7989.247364064,5.777416404000178,1789543632.672612,1,22,bird_eye,hardware,none,0,0,0.0,0.0,0,inactive:clear,0
7989.283115788,5.813168128000143,1789543632.7081923,1,23,bird_eye,hardware,none,0,0,0.0,0.0,0,inactive:clear,0
7989.316525825,5.84657816500021,1789543632.741406,1,24,bird_eye,hardware,none,0,0,0.0,0.0,0,inactive:clear,0
7989.351544279,5.881596619000447,1789543632.776593,1,25,bird_eye,hardware,none,0,0,0.0,0.0,0,inactive:clear,0
7989.384425226,5.914477565999732,1789543632.809707,1,26,bird_eye,hardware,none,0,0,0.0,0.0,0,inactive:clear,0
7989.418784983,5.94883732299968,1789543632.8437767,1,27,bird_eye,hardware,none,0,0,0.0,0.0,0,inactive:clear,0
7989.452326715,5.98237905499991,1789543632.8774772,1,28,bird_eye,hardware,none,0,0,0.0,0.0,0,inactive:clear,0
7989.487147795,6.0172001350001665,1789543632.912021,1,29,bird_eye,hardware,none,0,0,0.0,0.0,0,inactive:clear,0
7989.521072682,6.051125021999724,1789543632.9463193,1,30,bird_eye,hardware,none,0,0,0.0,0.0,0,inactive:clear,0
7989.555604686,6.085657026000263,1789543632.980257,1,31,bird_eye,hardware,none,0,0,0.0,0.0,0,inactive:clear,0
7989.590153799,6.120206139000402,1789543633.0152478,1,32,bird_eye,hardware,none,0,0,0.0,0.0,0,inactive:clear,0
7989.626293462,6.156345802000033,1789543633.0510209,1,33,bird_eye,hardware,none,0,0,0.0,0.0,0,inactive:clear,0
7989.657329404,6.187381744000049,1789543633.0823617,1,34,bird_eye,hardware,none,0,0,0.0,0.0,0,inactive:clear,0
7989.692483981,6.222536321000007,1789543633.1168776,1,35,bird_eye,hardware,none,0,0,0.0,0.0,0,inactive:clear,0
7989.727627365,6.257679705000555,1789543633.1530883,1,36,bird_eye,hardware,none,0,0,0.0,0.0,0,inactive:clear,0
7989.758386842,6.28843918199982,1789543633.1838937,1,37,bird_eye,hardware,none,0,0,0.0,0.0,0,inactive:clear,0
7989.793702875,6.323755215000347,1789543633.2190337,1,38,bird_eye,hardware,none,0,0,0.0,0.0,0,inactive:clear,0
7989.827640271,6.357692610999948,1789543633.2523458,1,39,bird_eye,hardware,none,0,0,0.0,0.0,0,inactive:clear,0
7989.861974116,6.392026456000167,1789543633.2856383,1,40,bird_eye,hardware,none,0,0,0.0,0.0,0,inactive:clear,0
7989.89465037,6.42470271000002,1789543633.3196628,1,41,bird_eye,hardware,none,0,0,0.0,0.0,0,inactive:clear,0
7989.929365229,6.459417568999925,1789543633.3541975,1,42,bird_eye,hardware,none,0,0,0.0,0.0,0,inactive:clear,0
7989.963153055,6.493205394999677,1789543633.388054,1,43,bird_eye,hardware,none,0,0,0.0,0.0,0,inactive:clear,0
7989.998735389,6.528787729000214,1789543633.4237535,1,44,bird_eye,hardware,none,0,0,0.0,0.0,0,inactive:clear,0
7990.033460112,6.563512452000396,1789543633.4572644,1,45,bird_eye,hardware,none,0,0,0.0,0.0,0,inactive:clear,0
7990.068722177,6.598774517000493,1789543633.4936144,1,46,bird_eye,hardware,none,0,0,0.0,0.0,0,inactive:clear,0
7990.101323409,6.631375748999744,1789543633.5262692,1,47,bird_eye,hardware,none,0,0,0.0,0.0,0,inactive:clear,0
7990.136384051,6.6664363910003885,1789543633.5613773,1,48,bird_eye,hardware,none,0,0,0.0,0.0,0,inactive:clear,0
7990.170306937,6.700359276999734,1789543633.5950685,1,49,bird_eye,hardware,none,0,0,0.0,0.0,0,inactive:clear,0
7990.204319063,6.734371403000296,1789543633.6294386,1,50,bird_eye,hardware,none,0,0,0.0,0.0,0,inactive:clear,0
7990.238038103,6.768090442999892,1789543633.663006,1,51,bird_eye,hardware,none,0,0,0.0,0.0,0,inactive:clear,0
7990.272554857,6.802607196999816,1789543633.6974432,1,52,bird_eye,hardware,none,0,0,0.0,0.0,0,inactive:clear,0
7990.306399133,6.836451473000125,1789543633.73129,1,53,bird_eye,hardware,none,0,0,0.0,0.0,0,inactive:clear,0
7990.339819016,6.869871355999749,1789543633.7647607,1,54,bird_eye,hardware,none,0,0,0.0,0.0,0,inactive:clear,0
7990.374208003,6.904260342999805,1789543633.7992013,1,55,bird_eye,hardware,none,0,0,0.0,0.0,0,inactive:clear,0
7990.408855333,6.938907673000358,1789543633.8338747,1,56,bird_eye,hardware,none,0,0,0.0,0.0,0,inactive:clear,0
7990.443318229,6.973370569000508,1789543633.8681302,1,57,bird_eye,hardware,none,0,0,0.0,0.0,0,inactive:clear,0
7990.477141015,7.007193354999799,1789543633.9020848,1,58,bird_eye,hardware,none,0,0,0.0,0.0,0,inactive:clear,0
7990.511561182,7.041613522000262,1789543633.9368103,1,59,bird_eye,hardware,none,0,0,0.0,0.0,0,inactive:clear,0
7990.545623521,7.075675861000491,1789543633.9705844,1,60,bird_eye,hardware,none,0,0,0.0,0.0,0,inactive:clear,0
7990.580888253,7.110940593000123,1789543634.0057356,1,61,bird_eye,hardware,none,0,0,0.0,0.0,0,inactive:clear,0
7990.614712491,7.14476483100043,1789543634.039399,1,62,bird_eye,hardware,none,0,0,0.0,0.0,0,inactive:clear,0
7990.648661574,7.1787139139996725,1789543634.0736778,1,63,bird_eye,hardware,none,0,0,0.0,0.0,0,inactive:clear,0
7990.682872928,7.212925267999708,1789543634.1079443,1,64,bird_eye,hardware,none,0,0,0.0,0.0,0,inactive:clear,0
7990.716764547,7.246816887000023,1789543634.1419392,1,65,bird_eye,hardware,none,0,0,0.0,0.0,0,inactive:clear,0
7990.752751311,7.282803650999995,1789543634.1780467,1,66,bird_eye,hardware,none,0,0,0.0,0.0,0,inactive:clear,0
7990.785171008,7.3152233480004725,1789543634.2104123,1,67,bird_eye,hardware,none,0,0,0.0,0.0,0,inactive:clear,0
7990.818569039,7.348621379000178,1789543634.2438226,1,68,bird_eye,hardware,none,0,0,0.0,0.0,0,inactive:clear,0
7990.851873477,7.381925816999683,1789543634.2775717,1,69,bird_eye,hardware,none,0,0,0.0,0.0,0,inactive:clear,0
7990.886868101,7.416920441000002,1789543634.3123755,1,70,bird_eye,hardware,none,0,0,0.0,0.0,0,inactive:clear,0
7990.920773031,7.4508253710000645,1789543634.3461568,1,71,bird_eye,hardware,none,0,0,0.0,0.0,0,inactive:clear,0
7990.965306904,7.495359243999701,1789543634.382813,1,72,bird_eye,hardware,none,0,0,0.0,0.0,0,inactive:clear,0
7990.990139501,7.520191841000269,1789543634.4149842,1,73,bird_eye,hardware,none,0,0,0.0,0.0,0,inactive:clear,0
7991.022850733,7.55290307300038,1789543634.4480755,1,74,bird_eye,hardware,none,0,0,0.0,0.0,0,inactive:clear,0
7991.057264112,7.587316451999868,1789543634.4822292,1,75,bird_eye,hardware,none,0,0,0.0,0.0,0,inactive:clear,0
7991.091743869,7.621796209000422,1789543634.5168061,1,76,bird_eye,hardware,none,0,0,0.0,0.0,0,inactive:clear,0
7991.126829412,7.656881752000118,1789543634.5518136,1,77,bird_eye,hardware,none,0,0,0.0,0.0,0,inactive:clear,0
7991.159170919,7.689223258999846,1789543634.5842464,1,78,bird_eye,hardware,none,0,0,0.0,0.0,0,inactive:clear,0
7991.198043385,7.728095725000458,1789543634.6227872,1,79,bird_eye,hardware,none,0,0,0.0,0.0,0,inactive:clear,0
7991.228529631,7.75858197100024,1789543634.6535215,1,80,bird_eye,hardware,none,0,0,0.0,0.0,0,inactive:clear,0
7991.263155236,7.793207575999986,1789543634.687043,1,81,bird_eye,hardware,none,0,0,0.0,0.0,0,inactive:clear,0
7991.295643648,7.825695988000007,1789543634.7208266,1,82,bird_eye,hardware,none,0,0,0.0,0.0,0,inactive:clear,0
7991.329989523,7.860041863000333,1789543634.7551107,1,83,bird_eye,hardware,none,0,0,0.0,0.0,0,inactive:clear,0
7991.369471474,7.899523814000531,1789543634.7940288,1,84,bird_eye,hardware,none,0,0,0.0,0.0,0,inactive:clear,0
7991.397412452,7.927464792000137,1789543634.8229275,1,85,bird_eye,hardware,none,0,0,0.0,0.0,0,inactive:clear,0
7991.43263309,7.96268543000042,1789543634.8576896,1,86,bird_eye,hardware,none,0,0,0.0,0.0,0,inactive:clear,0
7991.467508126,7.997560466000323,1789543634.89251,1,87,bird_eye,hardware,none,0,0,0.0,0.0,0,inactive:clear,0
7991.500619424,8.030671764000544,1789543634.9261434,1,88,bird_eye,hardware,none,0,0,0.0,0.0,0,inactive:clear,0
7991.535824024,8.06587636400036,1789543634.9608812,1,89,bird_eye,hardware,none,0,0,0.0,0.0,0,inactive:clear,0
7991.570257213,8.100309553000443,1789543634.9946723,1,90,bird_eye,hardware,none,0,0,0.0,0.0,0,inactive:clear,0
7991.602948768,8.133001107999917,1789543635.0277755,1,91,bird_eye,hardware,none,0,0,0.0,0.0,0,inactive:clear,0
7991.641963111,8.172015451000334,1789543635.066881,1,92,bird_eye,hardware,none,0,0,0.0,0.0,0,inactive:clear,0
7991.675321406,8.205373746000078,1789543635.0992646,1,93,bird_eye,hardware,none,0,0,0.0,0.0,0,inactive:clear,0
7991.708266162,8.238318501999856,1789543635.1313746,1,94,bird_eye,hardware,none,0,0,0.0,0.0,0,inactive:clear,0
7991.741079995,8.271132335000402,1789543635.1657836,1,95,bird_eye,hardware,none,0,0,0.0,0.0,0,inactive:clear,0
7991.774466806,8.30451914600053,1789543635.1995203,1,96,bird_eye,hardware,none,0,0,0.0,0.0,0,inactive:clear,0
