collision_ffb_sequence,collision_ffb_publish_enabled,collision_ffb_publish_success,collision_ffb_risk_level,collision_ffb_active,collision_ffb_requested_magnitude,collision_ffb_pattern,collision_ffb_reason,collision_ffb_publish_error,source_frame,source_time_sec,send_monotonic_sec,elapsed_sec
0,1,1,CLEAR,0,0.0,off,no_alert,,1,0.018943,7988.492834501,5.0228868410004
1,1,1,CLEAR,0,0.0,off,no_alert,,2,0.051379,7988.527106955,5.0571592950000195
2,1,1,CLEAR,0,0.0,off,no_alert,,3,0.083827,7988.561106166,5.0911585060002835
3,1,1,CLEAR,0,0.0,off,no_alert,,4,0.119453,7988.595047908,5.125100248000308
4,1,1,CLEAR,0,0.0,off,no_alert,,5,0.155402,7988.629102594,5.159154934000071
5,1,1,CLEAR,0,0.0,off,no_alert,,6,0.187886,7988.662939681,5.192992021000464
6,1,1,CLEAR,0,0.0,off,no_alert,,7,0.223534,7988.696650418,5.226702758000101
7,1,1,CLEAR,0,0.0,off,no_alert,,8,0.254933,7988.730743041,5.260795381000207
8,1,1,CLEAR,0,0.0,off,no_alert,,9,0.288457,7988.764771587,5.294823926999925
9,1,1,CLEAR,0,0.0,off,no_alert,,10,0.319512,7988.79889501,5.328947349999908
10,1,1,CLEAR,0,0.0,off,no_alert,,11,0.35331,7988.833246387,5.363298727000256
11,1,1,CLEAR,0,0.0,off,no_alert,,12,0.385655,7988.867427512,5.397479852000288
12,1,1,CLEAR,0,0.0,off,no_alert,,13,0.420623,7988.901435492,5.43148783200013
13,1,1,CLEAR,0,0.0,off,no_alert,,14,0.459304,7988.935751584,5.465803924000284
14,1,1,CLEAR,0,0.0,off,no_alert,,15,0.492333,7988.970198606,5.500250946000051
15,1,1,CLEAR,0,0.0,off,no_alert,,16,0.536706,7989.004582217,5.534634556999663
16,1,1,CLEAR,0,0.0,off,no_alert,,17,0.565523,7989.038937455,5.568989795000562
17,1,1,CLEAR,0,0.0,off,no_alert,,18,0.593224,7989.073355507,5.603407847000199
18,1,1,CLEAR,0,0.0,off,no_alert,,19,0.622353,7989.107444669,5.637497009000072
19,1,1,CLEAR,0,0.0,off,no_alert,,20,0.659776,7989.141634443,5.671686783000041
20,1,1,CLEAR,0,0.0,off,no_alert,,21,0.692964,7989.175682488,5.705734828000459
21,1,1,CLEAR,0,0.0,off,no_alert,,22,0.732211,7989.209805361,5.739857700999892
22,1,1,CLEAR,0,0.0,off,no_alert,,23,0.763684,7989.243828635,5.773880974999884
23,1,1,CLEAR,0,0.0,off,no_alert,,24,0.792934,7989.278124519,5.808176859000014
24,1,1,CLEAR,0,0.0,off,no_alert,,25,0.836665,7989.31227343,5.842325769999661
25,1,1,CLEAR,0,0.0,off,no_alert,,26,0.876533,7989.346425383,5.87647772299988
26,1,1,CLEAR,0,0.0,off,no_alert,,27,0.911239,7989.380631676,5.910684016000232
