receive_monotonic_sec,elapsed_sec,stamp_sec,has_sequence,sequence,source,output_mode,action,command_active,output_active,requested_magnitude,applied_magnitude,pattern,reason,fault
697608.578294479,1.0542580130277202,1789538609.687608,1,0,bird_eye,dry_run,none,0,0,0.0,0.0,0,inactive:clear,0
697608.611168543,1.087132076965645,1789538609.7214167,1,1,bird_eye,dry_run,none,0,0,0.0,0.0,0,inactive:clear,0
697608.644897567,1.1208611009642482,1789538609.7551382,1,2,bird_eye,dry_run,none,0,0,0.0,0.0,0,inactive:clear,0
697608.678772118,1.1547356519149616,1789538609.789012,1,3,bird_eye,dry_run,none,0,0,0.0,0.0,0,inactive:clear,0
697608.712262859,1.1882263929583132,1789538609.8226862,1,4,bird_eye,dry_run,none,0,0,0.0,0.0,0,inactive:clear,0
697608.745872218,1.221835752017796,1789538609.8563461,1,5,bird_eye,dry_run,none,0,0,0.0,0.0,0,inactive:clear,0
697608.779849976,1.2558135099243373,1789538609.8902583,1,6,bird_eye,dry_run,none,0,0,0.0,0.0,0,inactive:clear,0
697608.813658463,1.2896219969261438,1789538609.9240384,1,7,bird_eye,dry_run,none,0,0,0.0,0.0,0,inactive:clear,0
697608.847359545,1.323323078919202,1789538609.9578083,1,8,bird_eye,dry_run,none,0,0,0.0,0.0,0,inactive:clear,0
697608.881382465,1.3573459989856929,1789538609.9918063,1,9,bird_eye,dry_run,none,0,0,0.0,0.0,0,inactive:clear,0
697608.915389302,1.3913528359262273,1789538610.0257013,1,10,bird_eye,dry_run,none,0,0,0.0,0.0,0,inactive:clear,0
697608.949940544,1.4259040779434144,1789538610.0601017,1,11,bird_eye,dry_run,none,0,0,0.0,0.0,0,inactive:clear,0
697608.983897266,1.4598607999505475,1789538610.094004,1,12,bird_eye,dry_run,none,0,0,0.0,0.0,0,inactive:clear,0
697609.017636813,1.4936003469629213,1789538610.1278973,1,13,bird_eye,dry_run,none,0,0,0.0,0.0,0,inactive:clear,0
697609.052231135,1.5281946689356118,1789538610.1622832,1,14,bird_eye,dry_run,none,0,0,0.0,0.0,0,inactive:clear,0
697609.08554022,1.5615037539973855,1789538610.1957889,1,15,bird_eye,dry_run,none,0,0,0.0,0.0,0,inactive:clear,0
697609.119898697,1.595862230984494,1789538610.2299476,1,16,bird_eye,dry_run,none,0,0,0.0,0.0,0,inactive:clear,0
697609.153181723,1.629145256942138,1789538610.2633882,1,17,bird_eye,dry_run,none,0,0,0.0,0.0,0,inactive:clear,0
697609.187742177,1.6637057110201567,1789538610.297479,1,18,bird_eye,dry_run,none,0,0,0.0,0.0,0,inactive:clear,0
697609.221549828,1.6975133619271219,1789538610.331482,1,19,bird_eye,dry_run,none,0,0,0.0,0.0,0,inactive:clear,0
697609.255679642,1.731643175939098,1789538610.3655767,1,20,bird_eye,dry_run,none,0,0,0.0,0.0,0,inactive:clear,0
697609.288246455,1.7642099889926612,1789538610.3987703,1,21,bird_eye,dry_run,none,0,0,0.0,0.0,0,inactive:clear,0
697609.323220776,1.7991843100171536,1789538610.433248,1,22,bird_eye,dry_run,none,0,0,0.0,0.0,0,inactive:clear,0
697609.357572411,1.8335359449265525,1789538610.4672556,1,23,bird_eye,dry_run,none,0,0,0.0,0.0,0,inactive:clear,0
697609.389981679,1.865945213008672,1789538610.5004714,1,24,bird_eye,dry_run,none,0,0,0.0,0.0,0,inactive:clear,0
697609.424043892,1.9000074259238318,1789538610.5344026,1,25,bird_eye,dry_run,none,0,0,0.0,0.0,0,inactive:clear,0
697609.458696162,1.934659695951268,1789538610.5689383,1,26,bird_eye,dry_run,none,0,0,0.0,0.0,0,inactive:clear,0
697609.492391209,1.968354742974043,1789538610.6026423,1,27,bird_eye,dry_run,none,0,0,0.0,0.0,0,inactive:clear,0
697609.526698514,2.002662047976628,1789538610.6367667,1,28,bird_eye,dry_run,none,0,0,0.0,0.0,0,inactive:clear,0
697609.560348093,2.036311627016403,1789538610.6705608,1,29,bird_eye,dry_run,none,0,0,0.0,0.0,0,inactive:clear,0
697609.594147746,2.0701112799579278,1789538610.704365,1,30,bird_eye,dry_run,none,0,0,0.0,0.0,0,inactive:clear,0
697609.628430728,2.1043942619580775,1789538610.7384179,1,31,bird_eye,dry_run,none,0,0,0.0,0.0,0,inactive:clear,0
697609.662597984,2.138561517931521,1789538610.772611,1,32,bird_eye,dry_run,none,0,0,0.0,0.0,0,inactive:clear,0
697609.696801336,2.172764869988896,1789538610.806263,1,33,bird_eye,dry_run,none,0,0,0.0,0.0,0,inactive:clear,0
697609.72915936,2.2051228940254077,1789538610.8396115,1,34,bird_eye,dry_run,none,0,0,0.0,0.0,0,inactive:clear,0
697609.764456835,2.240420368965715,1789538610.8742685,1,35,bird_eye,dry_run,none,0,0,0.0,0.0,0,inactive:clear,0
697609.797154597,2.273118130979128,1789538610.907607,1,36,bird_eye,dry_run,none,0,0,0.0,0.0,0,inactive:clear,0
697609.831032838,2.3069963719462976,1789538610.9414299,1,37,bird_eye,dry_run,none,0,0,0.0,0.0,0,inactive:clear,0
697609.867627182,2.343590716016479,1789538610.9776196,1,38,bird_eye,dry_run,none,0,0,0.0,0.0,0,inactive:clear,0
697609.900333773,2.376297306967899,1789538611.0104058,1,39,bird_eye,dry_run,none,0,0,0.0,0.0,0,inactive:clear,0
697609.934302685,2.410266218939796,1789538611.044456,1,40,bird_eye,dry_run,none,0,0,0.0,0.0,0,inactive:clear,0
697609.967393554,2.4433570880210027,1789538611.0778875,1,41,bird_eye,dry_run,none,0,0,0.0,0.0,0,inactive:clear,0
697610.0017677,2.4777312339283526,1789538611.1120539,1,42,bird_eye,dry_run,none,0,0,0.0,0.0,0,inactive:clear,0
697610.035302825,2.5112663590116426,1789538611.1457815,1,43,bird_eye,dry_run,none,0,0,0.0,0.0,0,inactive:clear,0
697610.06944544,2.5454089739359915,1789538611.1797159,1,44,bird_eye,dry_run,none,0,0,0.0,0.0,0,inactive:clear,0
697610.102869541,2.5788330750074238,1789538611.2133274,1,45,bird_eye,dry_run,none,0,0,0.0,0.0,0,inactive:clear,0
697610.136817283,2.6127808169694617,1789538611.2471814,1,46,bird_eye,dry_run,none,0,0,0.0,0.0,0,inactive:clear,0
697610.17052801,2.6464915439719334,1789538611.2809439,1,47,bird_eye,dry_run,none,0,0,0.0,0.0,0,inactive:clear,0
697610.203985724,2.6799492579884827,1789538611.314472,1,48,bird_eye,dry_run,none,0,0,0.0,0.0,0,inactive:clear,0
697610.238284597,2.714248131029308,1789538611.348627,1,49,bird_eye,dry_run,none,0,0,0.0,0.0,0,inactive:clear,0
697610.271439118,2.747402651933953,1789538611.3819716,1,50,bird_eye,dry_run,none,0,0,0.0,0.0,0,inactive:clear,0
697610.305514638,2.781478171935305,1789538611.4159129,1,51,bird_eye,dry_run,none,0,0,0.0,0.0,0,inactive:clear,0
697610.339053259,2.8150167929707095,1789538611.4495635,1,52,bird_eye,dry_run,none,0,0,0.0,0.0,0,inactive:clear,0
697610.372690954,2.8486544879851863,1789538611.4831274,1,53,bird_eye,dry_run,none,0,0,0.0,0.0,0,inactive:clear,0
697610.406907743,2.882871276931837,1789538611.517279,1,54,bird_eye,dry_run,none,0,0,0.0,0.0,0,inactive:clear,0
697610.44040221,2.916365743963979,1789538611.550843,1,55,bird_eye,dry_run,none,0,0,0.0,0.0,0,inactive:clear,0
697610.473983857,2.9499473909381777,1789538611.5844688,1,56,bird_eye,dry_run,none,0,0,0.0,0.0,0,inactive:clear,0
697610.508161365,2.984124899026938,1789538611.6184843,1,57,bird_eye,dry_run,none,0,0,0.0,0.0,0,inactive:clear,0
697610.542063413,3.018026946927421,1789538611.6523917,1,58,bird_eye,dry_run,none,0,0,0.0,0.0,0,inactive:clear,0
697610.57588025,3.0518437839346007,1789538611.686183,1,59,bird_eye,dry_run,none,0,0,0.0,0.0,0,inactive:clear,0
697610.60971043,3.085673964000307,1789538611.7200673,1,60,bird_eye,dry_run,none,0,0,0.0,0.0,0,inactive:clear,0
697610.642942315,3.118905848939903,1789538611.7534547,1,61,bird_eye,dry_run,none,0,0,0.0,0.0,0,inactive:clear,0
697610.677382875,3.153346408973448,1789538611.7875683,1,62,bird_eye,dry_run,none,0,0,0.0,0.0,0,inactive:clear,0
697610.711102651,3.1870661849388853,1789538611.821384,1,63,bird_eye,dry_run,none,0,0,0.0,0.0,0,inactive:clear,0
697610.745240681,3.2212042149621993,1789538611.8554544,1,64,bird_eye,dry_run,none,0,0,0.0,0.0,0,inactive:clear,0
697610.778650944,3.2546144779771566,1789538611.888979,1,65,bird_eye,dry_run,none,0,0,0.0,0.0,0,inactive:clear,0
697610.812973765,3.28893729893025,1789538611.9230702,1,66,bird_eye,dry_run,none,0,0,0.0,0.0,0,inactive:clear,0
697610.84700007,3.3229636040050536,1789538611.957043,1,67,bird_eye,dry_run,none,0,0,0.0,0.0,0,inactive:clear,0
697610.880105468,3.356069001951255,1789538611.9904716,1,68,bird_eye,dry_run,none,0,0,0.0,0.0,0,inactive:clear,0
697610.91367032,3.389633853919804,1789538612.0241575,1,69,bird_eye,dry_run,none,0,0,0.0,0.0,0,inactive:clear,0
697610.947544054,3.4235075879842043,1789538612.0577443,1,70,bird_eye,dry_run,none,0,0,0.0,0.0,0,inactive:clear,0
697610.982648485,3.458612018963322,1789538612.092698,1,71,bird_eye,dry_run,none,0,0,0.0,0.0,0,inactive:clear,0
697611.015938059,3.491901592933573,1789538612.1259131,1,72,bird_eye,dry_run,none,0,0,0.0,0.0,0,inactive:clear,0
697611.049898296,3.525861829984933,1789538612.1600037,1,73,bird_eye,dry_run,none,0,0,0.0,0.0,0,inactive:clear,0
697611.082831385,3.558794918935746,1789538612.1932776,1,74,bird_eye,dry_run,none,0,0,0.0,0.0,0,inactive:clear,0
697611.117374276,3.593337810016237,1789538612.227532,1,75,bird_eye,dry_run,none,0,0,0.0,0.0,0,inactive:clear,0
697611.151533581,3.627497114939615,1789538612.2616339,1,76,bird_eye,dry_run,none,0,0,0.0,0.0,0,inactive:clear,0
697611.185336266,3.661299799918197,1789538612.2954817,1,77,bird_eye,dry_run,none,0,0,0.0,0.0,0,inactive:clear,0
697611.219030917,3.6949944510124624,1789538612.3292687,1,78,bird_eye,dry_run,none,0,0,0.0,0.0,0,inactive:clear,0
