collision_ffb_sequence,collision_ffb_publish_enabled,collision_ffb_publish_success,collision_ffb_risk_level,collision_ffb_active,collision_ffb_requested_magnitude,collision_ffb_pattern,collision_ffb_reason,collision_ffb_publish_error,source_frame,source_time_sec,send_monotonic_sec,elapsed_sec
0,1,1,CLEAR,0,0.0,off,no_alert,,1,0.018943,697608.566198488,1.0421620219713077
1,1,1,CLEAR,0,0.0,off,no_alert,,2,0.051379,697608.60958354,1.085547073977068
2,1,1,CLEAR,0,0.0,off,no_alert,,3,0.083827,697608.643473896,1.119437429937534
3,1,1,CLEAR,0,0.0,off,no_alert,,4,0.119453,697608.677332892,1.1532964259386063
4,1,1,CLEAR,0,0.0,off,no_alert,,5,0.155402,697608.71119664,1.1871601740131155
5,1,1,CLEAR,0,0.0,off,no_alert,,6,0.187886,697608.744957117,1.2209206509869546
6,1,1,CLEAR,0,0.0,off,no_alert,,7,0.223534,697608.778684771,1.2546483050100505
7,1,1,CLEAR,0,0.0,off,no_alert,,8,0.254933,697608.812464009,1.288427543011494
8,1,1,CLEAR,0,0.0,off,no_alert,,9,0.288457,697608.846177213,1.3221407469827682
9,1,1,CLEAR,0,0.0,off,no_alert,,10,0.319512,697608.880147881,1.3561114149633795
10,1,1,CLEAR,0,0.0,off,no_alert,,11,0.35331,697608.914068981,1.3900325149297714
11,1,1,CLEAR,0,0.0,off,no_alert,,12,0.385655,697608.948087146,1.4240506800124422
12,1,1,CLEAR,0,0.0,off,no_alert,,13,0.420623,697608.982110957,1.4580744910053909
13,1,1,CLEAR,0,0.0,off,no_alert,,14,0.459304,697609.015989734,1.491953267948702
14,1,1,CLEAR,0,0.0,off,no_alert,,15,0.492333,697609.050042804,1.5260063379537314
15,1,1,CLEAR,0,0.0,off,no_alert,,16,0.536706,697609.08406847,1.5600320040248334
16,1,1,CLEAR,0,0.0,off,no_alert,,17,0.565523,697609.117978325,1.5939418589696288
17,1,1,CLEAR,0,0.0,off,no_alert,,18,0.593224,697609.151865665,1.6278291989583522
18,1,1,CLEAR,0,0.0,off,no_alert,,19,0.622353,697609.185719735,1.6616832689614967
19,1,1,CLEAR,0,0.0,off,no_alert,,20,0.659776,697609.2196959,1.6956594339571893
20,1,1,CLEAR,0,0.0,off,no_alert,,21,0.692964,697609.253606384,1.7295699180103838
21,1,1,CLEAR,0,0.0,off,no_alert,,22,0.732211,697609.28735351,1.7633170440094545
22,1,1,CLEAR,0,0.0,off,no_alert,,23,0.763684,697609.321212188,1.7971757219638675
