receive_monotonic_sec,elapsed_sec,stamp_sec,has_sequence,sequence,source,output_mode,action,command_active,output_active,requested_magnitude,applied_magnitude,pattern,reason,fault
7980.660037882,5.048705701000472,1789627888.9019792,1,0,bird_eye,dry_run,none,0,0,0.0,0.0,0,inactive:clear,0
7980.691254289,5.079922108000574,1789627888.9430234,1,1,bird_eye,dry_run,none,0,0,0.0,0.0,0,inactive:clear,0
7980.714013529,5.10268134800026,1789627888.9661899,1,2,bird_eye,dry_run,none,0,0,0.0,0.0,0,inactive:clear,0
7980.786524418,5.175192237000374,1789627889.0422144,1,4,bird_eye,dry_run,none,0,0,0.0,0.0,0,inactive:clear,0
7980.882036686,5.27070450500014,1789627889.1023688,1,5,bird_eye,dry_run,none,0,0,0.0,0.0,0,inactive:clear,0
7980.94559932,5.334267139000076,1789627889.184012,1,8,bird_eye,dry_run,none,0,0,0.0,0.0,0,inactive:clear,0
7980.966649403,5.35531722199994,1789627889.2135022,1,9,bird_eye,dry_run,none,0,0,0.0,0.0,0,inactive:clear,0
7980.981067563,5.369735381999817,1789627889.2382169,1,10,bird_eye,dry_run,none,0,0,0.0,0.0,0,inactive:clear,0
7981.021751658,5.4104194769997775,1789627889.2717888,1,11,bird_eye,dry_run,none,0,0,0.0,0.0,0,inactive:clear,0
7981.074389223,5.4630570420004005,1789627889.3114858,1,12,bird_eye,dry_run,none,0,0,0.0,0.0,0,inactive:clear,0
7981.088832343,5.477500162000069,1789627889.346753,1,13,bird_eye,dry_run,none,0,0,0.0,0.0,0,inactive:clear,0
7981.156243286,5.54491110500021,1789627889.3975706,1,14,bird_eye,dry_run,none,0,0,0.0,0.0,0,inactive:clear,0
7981.193678448,5.582346267000503,1789627889.4224935,1,15,bird_eye,dry_run,none,0,0,0.0,0.0,0,inactive:clear,0
7981.200238087,5.588905906000036,1789627889.453226,1,16,bird_eye,dry_run,none,0,0,0.0,0.0,0,inactive:clear,0
7981.217168157,5.60583597599998,1789627889.4743416,1,17,bird_eye,dry_run,none,0,0,0.0,0.0,0,inactive:clear,0
7981.256908435,5.645576253999934,1789627889.5118313,1,18,bird_eye,dry_run,none,0,0,0.0,0.0,0,inactive:clear,0
7981.333585191,5.722253009999804,1789627889.566144,1,19,bird_eye,dry_run,none,0,0,0.0,0.0,0,inactive:clear,0
