collision_ffb_sequence,collision_ffb_publish_enabled,collision_ffb_publish_success,collision_ffb_risk_level,collision_ffb_active,collision_ffb_requested_magnitude,collision_ffb_pattern,collision_ffb_reason,collision_ffb_publish_error,source_frame,source_time_sec,send_monotonic_sec,elapsed_sec
0,1,1,CLEAR,0,0.0,off,no_alert,,1,0.021406,7980.633995175,5.022662993999802
1,1,1,CLEAR,0,0.0,off,no_alert,,2,0.052792,7980.667923995,5.056591814000058
2,1,1,CLEAR,0,0.0,off,no_alert,,3,0.08931,7980.701899279,5.090567098000065
3,1,1,CLEAR,0,0.0,off,no_alert,,4,0.119765,7980.735868687,5.124536506000368
4,1,1,CLEAR,0,0.0,off,no_alert,,5,0.152416,7980.77008545,5.158753269000044
5,1,1,CLEAR,0,0.0,off,no_alert,,6,0.186064,7980.803957812,5.192625630999828
6,1,1,CLEAR,0,0.0,off,no_alert,,7,0.225943,7980.837756608,5.2264244269999836
7,1,1,CLEAR,0,0.0,off,no_alert,,8,0.266187,7980.871676952,5.260344770999836
8,1,1,CLEAR,0,0.0,off,no_alert,,9,0.297507,7980.905609132,5.294276951000029
9,1,1,CLEAR,0,0.0,off,no_alert,,10,0.322755,7980.93959378,5.328261599000143
10,1,1,CLEAR,0,0.0,off,no_alert,,11,0.352867,7980.973666111,5.362333930000204
11,1,1,CLEAR,0,0.0,off,no_alert,,12,0.385963,7981.00756269,5.396230508999906
12,1,1,CLEAR,0,0.0,off,no_alert,,13,0.423077,7981.041672276,5.430340095000247
13,1,1,CLEAR,0,0.0,off,no_alert,,14,0.453021,7981.075736902,5.464404721000392
14,1,1,CLEAR,0,0.0,off,no_alert,,15,0.486462,7981.109808548,5.498476366999967
15,1,1,CLEAR,0,0.0,off,no_alert,,16,0.522168,7981.143945098,5.532612916999824
16,1,1,CLEAR,0,0.0,off,no_alert,,17,0.554331,7981.178217981,5.566885799999909
17,1,1,CLEAR,0,0.0,off,no_alert,,18,0.593489,7981.212435907,5.601103726000474
18,1,1,CLEAR,0,0.0,off,no_alert,,19,0.622733,7981.246522557,5.635190376000537
19,1,1,CLEAR,0,0.0,off,no_alert,,20,0.655637,7981.280713127,5.669380946000274
20,1,1,CLEAR,0,0.0,off,no_alert,,21,0.688423,7981.314617121,5.703284940000231
21,1,1,CLEAR,0,0.0,off,no_alert,,22,0.719319,7981.348347205,5.737015024000357
22,1,1,CLEAR,0,0.0,off,no_alert,,23,0.752413,7981.382062927,5.770730746000481
23,1,1,CLEAR,0,0.0,off,no_alert,,24,0.785372,7981.416099921,5.804767739999988
24,1,1,CLEAR,0,0.0,off,no_alert,,25,0.818945,7981.450383978,5.839051797000138
25,1,1,CLEAR,0,0.0,off,no_alert,,26,0.85387,7981.484713614,5.8733814329998495
26,1,1,CLEAR,0,0.0,off,no_alert,,27,0.8874,7981.518901381,5.90756920000058
27,1,1,CLEAR,0,0.0,off,no_alert,,28,0.919398,7981.553325844,5.941993663000176
28,1,1,CLEAR,0,0.0,off,no_alert,,29,0.954212,7981.587590637,5.976258456000323
29,1,1,CLEAR,0,0.0,off,no_alert,,30,0.985924,7981.621801388,6.010469206999915
30,1,1,CLEAR,0,0.0,off,no_alert,,31,1.019206,7981.655827088,6.0444949069997165
31,1,1,CLEAR,0,0.0,off,no_alert,,32,1.052087,7981.689959818,6.078627636999954
32,1,1,CLEAR,0,0.0,off,no_alert,,33,1.085902,7981.72418955,6.112857369000267
33,1,1,CLEAR,0,0.0,off,no_alert,,34,1.119037,7981.758392765,6.147060584000428
34,1,1,CLEAR,0,0.0,off,no_alert,,35,1.153341,7981.792479286,6.181147105000491
35,1,1,CLEAR,0,0.0,off,no_alert,,36,1.185821,7981.826866335,6.2155341540001245
36,1,1,CLEAR,0,0.0,off,no_alert,,37,1.220549,7981.861142767,6.249810586000422
37,1,1,CLEAR,0,0.0,off,no_alert,,38,1.252807,7981.895035687,6.283703506000165
38,1,1,CLEAR,0,0.0,off,no_alert,,39,1.28623,7981.928907601,6.317575420000139
39,1,1,CLEAR,0,0.0,off,no_alert,,40,1.319047,7981.962954276,6.351622095000494
40,1,1,CLEAR,0,0.0,off,no_alert,,41,1.352042,7981.996938901,6.385606720000396
41,1,1,CLEAR,0,0.0,off,no_alert,,42,1.385428,7982.030771353,6.419439172000239
42,1,1,CLEAR,0,0.0,off,no_alert,,43,1.418561,7982.064719449,6.45338726800037
43,1,1,CLEAR,0,0.0,off,no_alert,,44,1.453163,7982.098631761,6.487299580000581
44,1,1,CLEAR,0,0.0,off,no_alert,,45,1.485652,7982.132534407,6.521202226000241
45,1,1,CLEAR,0,0.0,off,no_alert,,46,1.520216,7982.166368138,6.555035956999745
46,1,1,CLEAR,0,0.0,off,no_alert,,47,1.552874,7982.200274165,6.588941984000485
47,1,1,CLEAR,0,0.0,off,no_alert,,48,1.594486,7982.234269868,6.622937687000558
48,1,1,CLEAR,0,0.0,off,no_alert,,49,1.623825,7982.268124059,6.656791878000149
49,1,1,CLEAR,0,0.0,off,no_alert,,50,1.655842,7982.301907871,6.690575690000514
50,1,1,CLEAR,0,0.0,off,no_alert,,51,1.68982,7982.336105438,6.724773257000379
51,1,1,CLEAR,0,0.0,off,no_alert,,52,1.719531,7982.37012507,6.758792888999778
52,1,1,CLEAR,0,0.0,off,no_alert,,53,1.753614,7982.40413363,6.792801448999853
53,1,1,CLEAR,0,0.0,off,no_alert,,54,1.786521,7982.438025691,6.826693510000041
54,1,1,CLEAR,0,0.0,off,no_alert,,55,1.819913,7982.471793452,6.860461271000531
55,1,1,CLEAR,0,0.0,off,no_alert,,56,1.854669,7982.505812287,6.894480105999719
56,1,1,CLEAR,0,0.0,off,no_alert,,57,1.886004,7982.539758313,6.928426131999913
57,1,1,CLEAR,0,0.0,off,no_alert,,58,1.923028,7982.573695428,6.962363247000212
58,1,1,CLEAR,0,0.0,off,no_alert,,59,1.952927,7982.607602609,6.996270428000571
59,1,1,CLEAR,0,0.0,off,no_alert,,60,1.985834,7982.641422477,7.030090295999798
60,1,1,CLEAR,0,0.0,off,no_alert,,61,2.018784,7982.675296294,7.063964113000111
