topic,bag_time_jst,header_time_jst,sequence,linear_x_mps,risk_level,active,output_mode,action,output_active,requested_magnitude,applied_magnitude,fault,reason
/collision/ffb_command,2026-09-17T16:10:03.354+09:00,2026-09-17T16:10:03.375+09:00,4624,,0,False,,,,0.0,,,no_alert
/collision/ffb_command,2026-09-17T16:10:03.393+09:00,2026-09-17T16:10:03.414+09:00,4625,,0,False,,,,0.0,,,no_alert
/collision/ffb_command,2026-09-17T16:10:03.417+09:00,2026-09-17T16:10:03.438+09:00,4626,,0,False,,,,0.0,,,no_alert
/collision/ffb_command,2026-09-17T16:10:03.460+09:00,2026-09-17T16:10:03.480+09:00,4627,,0,False,,,,0.0,,,no_alert
/collision/ffb_command,2026-09-17T16:10:03.487+09:00,2026-09-17T16:10:03.508+09:00,4628,,0,False,,,,0.0,,,no_alert
/collision/ffb_command,2026-09-17T16:10:03.520+09:00,2026-09-17T16:10:03.540+09:00,4629,,0,False,,,,0.0,,,no_alert
/collision/ffb_command,2026-09-17T16:10:03.551+09:00,2026-09-17T16:10:03.572+09:00,4630,,0,False,,,,0.0,,,no_alert
/collision/ffb_command,2026-09-17T16:10:03.595+09:00,2026-09-17T16:10:03.616+09:00,4631,,0,False,,,,0.0,,,no_alert
/collision/ffb_command,2026-09-17T16:10:03.618+09:00,2026-09-17T16:10:03.639+09:00,4632,,0,False,,,,0.0,,,no_alert
/collision/ffb_command,2026-09-17T16:10:03.651+09:00,2026-09-17T16:10:03.672+09:00,4633,,0,False,,,,0.0,,,no_alert
/collision/ffb_command,2026-09-17T16:10:03.685+09:00,2026-09-17T16:10:03.706+09:00,4634,,0,False,,,,0.0,,,no_alert
/collision/ffb_command,2026-09-17T16:10:03.726+09:00,2026-09-17T16:10:03.741+09:00,4635,,0,False,,,,0.0,,,no_alert
/collision/ffb_command,2026-09-17T16:10:03.751+09:00,2026-09-17T16:10:03.772+09:00,4636,,0,False,,,,0.0,,,no_alert
/collision/ffb_command,2026-09-17T16:10:03.795+09:00,2026-09-17T16:10:03.806+09:00,4637,,0,False,,,,0.0,,,no_alert
/collision/ffb_command,2026-09-17T16:10:03.820+09:00,2026-09-17T16:10:03.840+09:00,4638,,0,False,,,,0.0,,,no_alert
/collision/ffb_command,2026-09-17T16:10:03.851+09:00,2026-09-17T16:10:03.872+09:00,4639,,0,False,,,,0.0,,,no_alert
/collision/ffb_command,2026-09-17T16:10:03.886+09:00,2026-09-17T16:10:03.906+09:00,4640,,0,False,,,,0.0,,,no_alert
/collision/ffb_command,2026-09-17T16:10:03.920+09:00,2026-09-17T16:10:03.940+09:00,4641,,0,False,,,,0.0,,,no_alert
/collision/ffb_command,2026-09-17T16:10:03.952+09:00,2026-09-17T16:10:03.973+09:00,4642,,0,False,,,,0.0,,,no_alert
/collision/ffb_command,2026-09-17T16:10:03.986+09:00,2026-09-17T16:10:04.007+09:00,4643,,0,False,,,,0.0,,,no_alert
/collision/ffb_command,2026-09-17T16:10:04.018+09:00,2026-09-17T16:10:04.039+09:00,4644,,0,False,,,,0.0,,,no_alert
/collision/ffb_command,2026-09-17T16:10:04.053+09:00,2026-09-17T16:10:04.074+09:00,4645,,0,False,,,,0.0,,,no_alert
/collision/ffb_command,2026-09-17T16:10:04.084+09:00,2026-09-17T16:10:04.105+09:00,4646,,0,False,,,,0.0,,,no_alert
/collision/ffb_command,2026-09-17T16:10:04.119+09:00,2026-09-17T16:10:04.138+09:00,4647,,0,False,,,,0.0,,,no_alert
/collision/ffb_command,2026-09-17T16:10:04.155+09:00,2026-09-17T16:10:04.173+09:00,4648,,0,False,,,,0.0,,,no_alert
/collision/ffb_command,2026-09-17T16:10:04.186+09:00,2026-09-17T16:10:04.206+09:00,4649,,0,False,,,,0.0,,,no_alert
/collision/ffb_command,2026-09-17T16:10:04.217+09:00,2026-09-17T16:10:04.238+09:00,4650,,0,False,,,,0.0,,,no_alert
/collision/ffb_command,2026-09-17T16:10:04.254+09:00,2026-09-17T16:10:04.274+09:00,4651,,0,False,,,,0.0,,,no_alert
/collision/ffb_command,2026-09-17T16:10:04.286+09:00,2026-09-17T16:10:04.305+09:00,4652,,0,False,,,,0.0,,,no_alert
/collision/ffb_command,2026-09-17T16:10:04.326+09:00,2026-09-17T16:10:04.341+09:00,4653,,0,False,,,,0.0,,,no_alert
/collision/ffb_command,2026-09-17T16:10:04.355+09:00,2026-09-17T16:10:04.375+09:00,4654,,0,False,,,,0.0,,,no_alert
/collision/ffb_command,2026-09-17T16:10:04.383+09:00,2026-09-17T16:10:04.404+09:00,4655,,0,False,,,,0.0,,,no_alert
/collision/ffb_command,2026-09-17T16:10:04.419+09:00,2026-09-17T16:10:04.440+09:00,4656,,0,False,,,,0.0,,,no_alert
/collision/ffb_command,2026-09-17T16:10:04.459+09:00,2026-09-17T16:10:04.480+09:00,4657,,0,False,,,,0.0,,,no_alert
/collision/ffb_command,2026-09-17T16:10:04.483+09:00,2026-09-17T16:10:04.504+09:00,4658,,0,False,,,,0.0,,,no_alert
/collision/ffb_command,2026-09-17T16:10:04.520+09:00,2026-09-17T16:10:04.539+09:00,4659,,0,False,,,,0.0,,,no_alert
/collision/ffb_command,2026-09-17T16:10:04.551+09:00,2026-09-17T16:10:04.572+09:00,4660,,0,False,,,,0.0,,,no_alert
/collision/ffb_command,2026-09-17T16:10:04.597+09:00,2026-09-17T16:10:04.616+09:00,4661,,0,False,,,,0.0,,,no_alert
/collision/ffb_command,2026-09-17T16:10:04.618+09:00,2026-09-17T16:10:04.638+09:00,4662,,0,False,,,,0.0,,,no_alert
/collision/ffb_command,2026-09-17T16:10:04.655+09:00,2026-09-17T16:10:04.676+09:00,4663,,0,False,,,,0.0,,,no_alert
/collision/ffb_command,2026-09-17T16:10:04.687+09:00,2026-09-17T16:10:04.708+09:00,4664,,0,False,,,,0.0,,,no_alert
