send_monotonic_sec,elapsed_sec,sequence,source,risk_level,pattern,active,requested_magnitude,reason,receiver_session_id,receiver_token
2535.193646428,5.001566275000187,0,bird_eye,2,1,1,0.05,manual_collision_ffb_probe:triple,17598331317573596524,2062
2535.227928034,5.0358478809998815,1,bird_eye,2,1,1,0.05,manual_collision_ffb_probe:triple,17598331317573596524,2063
2535.262305188,5.070225035000021,2,bird_eye,2,1,1,0.05,manual_collision_ffb_probe:triple,17598331317573596524,2065
2535.296488108,5.10440795500017,3,bird_eye,0,0,0,0.0,probe_clear,17598331317573596524,2067
2535.330744709,5.138664556000094,4,bird_eye,0,0,0,0.0,probe_clear,17598331317573596524,2068
2535.365133979,5.173053825999887,5,bird_eye,2,1,1,0.05,manual_collision_ffb_probe:triple,17598331317573596524,2070
2535.399481521,5.207401367999864,6,bird_eye,2,1,1,0.05,manual_collision_ffb_probe:triple,17598331317573596524,2072
2535.433431033,5.241350880000027,7,bird_eye,2,1,1,0.05,manual_collision_ffb_probe:triple,17598331317573596524,2073
2535.467312359,5.275232206000055,8,bird_eye,0,0,0,0.0,probe_clear,17598331317573596524,2075
2535.501303588,5.309223435000149,9,bird_eye,0,0,0,0.0,probe_clear,17598331317573596524,2077
2535.535275254,5.343195101000219,10,bird_eye,2,1,1,0.05,manual_collision_ffb_probe:triple,17598331317573596524,2079
2535.569309505,5.377229352000086,11,bird_eye,2,1,1,0.05,manual_collision_ffb_probe:triple,17598331317573596524,2080
2535.603201269,5.4111211159997765,12,bird_eye,2,1,1,0.05,manual_collision_ffb_probe:triple,17598331317573596524,2082
2535.63719705,5.445116896999934,13,bird_eye,0,0,0,0.0,probe_clear,17598331317573596524,2084
2535.67162322,5.479543067000122,14,bird_eye,0,0,0,0.0,probe_clear,17598331317573596524,2085
2535.705762698,5.513682544999938,15,bird_eye,0,0,0,0.0,probe_clear,17598331317573596524,2087
2535.726586835,5.534506682000028,16,bird_eye,0,0,0,0.0,probe_clear,17598331317573596524,2088
2535.747130364,5.55505021099998,17,bird_eye,0,0,0,0.0,probe_clear,17598331317573596524,2089
