receive_monotonic_sec,elapsed_sec,stamp_sec,has_sequence,sequence,source,output_mode,action,command_active,output_active,requested_magnitude,applied_magnitude,pattern,reason,fault
2535.197979878,5.005899724999836,1790232849.4149714,1,0,bird_eye,dry_run,apply,1,1,0.05000000074505806,0.05000000074505806,1,manual_collision_ffb_probe:triple,0
2535.233134617,5.041054463999899,1790232849.4501534,1,1,bird_eye,dry_run,apply,1,1,0.05000000074505806,0.05000000074505806,1,manual_collision_ffb_probe:triple,0
2535.266958515,5.074878362000163,1790232849.4834921,1,2,bird_eye,dry_run,apply,1,1,0.05000000074505806,0.05000000074505806,1,manual_collision_ffb_probe:triple,0
2535.301711269,5.109631115999946,1790232849.519114,1,3,bird_eye,dry_run,stop,0,0,0.0,0.0,0,inactive:clear,0
2535.346893485,5.154813331999776,1790232849.5628347,1,4,bird_eye,dry_run,none,0,0,0.0,0.0,0,inactive:clear,0
2535.369932328,5.177852174999771,1790232849.5863929,1,5,bird_eye,dry_run,apply,1,1,0.05000000074505806,0.05000000074505806,1,manual_collision_ffb_probe:triple,0
2535.406678632,5.21459847899996,1790232849.6233568,1,6,bird_eye,dry_run,apply,1,1,0.05000000074505806,0.05000000074505806,1,manual_collision_ffb_probe:triple,0
2535.441901025,5.249820871999873,1790232849.659268,1,7,bird_eye,dry_run,apply,1,1,0.05000000074505806,0.05000000074505806,1,manual_collision_ffb_probe:triple,0
2535.471475821,5.279395667999779,1790232849.6888068,1,8,bird_eye,dry_run,stop,0,0,0.0,0.0,0,inactive:clear,0
2535.504994414,5.31291426100006,1790232849.7224708,1,9,bird_eye,dry_run,none,0,0,0.0,0.0,0,inactive:clear,0
2535.543419825,5.351339671999995,1790232849.7598095,1,10,bird_eye,dry_run,apply,1,1,0.05000000074505806,0.05000000074505806,1,manual_collision_ffb_probe:triple,0
2535.574122623,5.382042470000215,1790232849.7910244,1,11,bird_eye,dry_run,apply,1,1,0.05000000074505806,0.05000000074505806,1,manual_collision_ffb_probe:triple,0
2535.608598425,5.416518271999848,1790232849.8261347,1,12,bird_eye,dry_run,apply,1,1,0.05000000074505806,0.05000000074505806,1,manual_collision_ffb_probe:triple,0
2535.640998504,5.448918350999975,1790232849.8583968,1,13,bird_eye,dry_run,stop,0,0,0.0,0.0,0,inactive:clear,0
2535.676349991,5.484269837999818,1790232849.8931103,1,14,bird_eye,dry_run,none,0,0,0.0,0.0,0,inactive:clear,0
2535.711941938,5.519861785000103,1790232849.9283216,1,15,bird_eye,dry_run,none,0,0,0.0,0.0,0,inactive:clear,0
2535.735571159,5.54349100599984,1790232849.9486039,1,16,bird_eye,dry_run,none,0,0,0.0,0.0,0,inactive:clear,0
2535.750729602,5.558649448999859,1790232849.967995,1,17,bird_eye,dry_run,none,0,0,0.0,0.0,0,inactive:clear,0
