receive_monotonic_sec,elapsed_sec,stamp_sec,has_sequence,sequence,source,output_mode,action,command_active,output_active,requested_magnitude,applied_magnitude,pattern,reason,fault
9491.695852,2.0027024620012526,1790241088.2212956,1,0,bird_eye,hardware,apply,1,1,0.029999999329447746,0.029999999329447746,1,manual_collision_ffb_probe:triple,0
9491.7292012,2.036051662000318,1790241088.254812,1,1,bird_eye,hardware,apply,1,1,0.029999999329447746,0.029999999329447746,1,manual_collision_ffb_probe:triple,0
9491.762729017,2.069579479000822,1790241088.288525,1,2,bird_eye,hardware,apply,1,1,0.029999999329447746,0.029999999329447746,1,manual_collision_ffb_probe:triple,0
9491.796295973,2.1031464349998714,1790241088.322079,1,3,bird_eye,hardware,stop,0,0,0.0,0.0,0,inactive:clear,0
9491.830024482,2.1368749440007377,1790241088.3557127,1,4,bird_eye,hardware,none,0,0,0.0,0.0,0,inactive:clear,0
9491.863717756,2.1705682179999712,1790241088.3894234,1,5,bird_eye,hardware,apply,1,1,0.029999999329447746,0.029999999329447746,1,manual_collision_ffb_probe:triple,0
9491.897046953,2.2038974150000286,1790241088.4228556,1,6,bird_eye,hardware,apply,1,1,0.029999999329447746,0.029999999329447746,1,manual_collision_ffb_probe:triple,0
9491.930740641,2.2375911030012503,1790241088.4565187,1,7,bird_eye,hardware,apply,1,1,0.029999999329447746,0.029999999329447746,1,manual_collision_ffb_probe:triple,0
9491.964564948,2.271415410001282,1790241088.490244,1,8,bird_eye,hardware,stop,0,0,0.0,0.0,0,inactive:clear,0
9491.998250772,2.305101234000176,1790241088.52392,1,9,bird_eye,hardware,none,0,0,0.0,0.0,0,inactive:clear,0
9492.031832651,2.338683113001025,1790241088.557523,1,10,bird_eye,hardware,apply,1,1,0.029999999329447746,0.029999999329447746,1,manual_collision_ffb_probe:triple,0
9492.065317899,2.372168361000149,1790241088.591124,1,11,bird_eye,hardware,apply,1,1,0.029999999329447746,0.029999999329447746,1,manual_collision_ffb_probe:triple,0
9492.098955243,2.4058057050006028,1790241088.6246781,1,12,bird_eye,hardware,apply,1,1,0.029999999329447746,0.029999999329447746,1,manual_collision_ffb_probe:triple,0
9492.132550677,2.4394011390013475,1790241088.658263,1,13,bird_eye,hardware,stop,0,0,0.0,0.0,0,inactive:clear,0
9492.166286297,2.473136759001136,1790241088.6919641,1,14,bird_eye,hardware,none,0,0,0.0,0.0,0,inactive:clear,0
9492.199605467,2.506455929000367,1790241088.7254438,1,15,bird_eye,hardware,none,0,0,0.0,0.0,0,inactive:clear,0
9492.220033177,2.5268836390005163,1790241088.7458184,1,16,bird_eye,hardware,none,0,0,0.0,0.0,0,inactive:clear,0
9492.240372247,2.5472227090012893,1790241088.7661905,1,17,bird_eye,hardware,none,0,0,0.0,0.0,0,inactive:clear,0
