send_monotonic_sec,elapsed_sec,sequence,source,risk_level,pattern,active,requested_magnitude,reason,receiver_session_id,receiver_token
10644.175275701,2.0007246820005093,0,bird_eye,2,1,1,0.05,manual_collision_ffb_probe:triple,11200667886896422814,443
10644.208910665,2.0343596460006665,1,bird_eye,2,1,1,0.05,manual_collision_ffb_probe:triple,11200667886896422814,445
10644.242508243,2.0679572240005655,2,bird_eye,2,1,1,0.05,manual_collision_ffb_probe:triple,11200667886896422814,447
10644.276094541,2.1015435219997016,3,bird_eye,0,0,0,0.0,probe_clear,11200667886896422814,449
10644.309677741,2.135126721999768,4,bird_eye,0,0,0,0.0,probe_clear,11200667886896422814,450
10644.343271501,2.1687204820009356,5,bird_eye,2,1,1,0.05,manual_collision_ffb_probe:triple,11200667886896422814,452
10644.376912131,2.2023611120002897,6,bird_eye,2,1,1,0.05,manual_collision_ffb_probe:triple,11200667886896422814,454
10644.410495279,2.235944260000906,7,bird_eye,2,1,1,0.05,manual_collision_ffb_probe:triple,11200667886896422814,455
10644.444158734,2.269607715001257,8,bird_eye,0,0,0,0.0,probe_clear,11200667886896422814,457
10644.477746012,2.303194993000943,9,bird_eye,0,0,0,0.0,probe_clear,11200667886896422814,459
10644.511349026,2.336798006999743,10,bird_eye,2,1,1,0.05,manual_collision_ffb_probe:triple,11200667886896422814,460
10644.544954322,2.370403303000785,11,bird_eye,2,1,1,0.05,manual_collision_ffb_probe:triple,11200667886896422814,462
10644.578568213,2.404017194001426,12,bird_eye,2,1,1,0.05,manual_collision_ffb_probe:triple,11200667886896422814,464
10644.612200514,2.4376494950010965,13,bird_eye,0,0,0,0.0,probe_clear,11200667886896422814,465
10644.645832433,2.4712814140002592,14,bird_eye,0,0,0,0.0,probe_clear,11200667886896422814,467
10644.679494291,2.5049432720006735,15,bird_eye,0,0,0,0.0,probe_clear,11200667886896422814,469
10644.699968599,2.5254175800000667,16,bird_eye,0,0,0,0.0,probe_clear,11200667886896422814,470
10644.72036301,2.545811990999937,17,bird_eye,0,0,0,0.0,probe_clear,11200667886896422814,471
