receive_monotonic_sec,elapsed_sec,stamp_sec,has_sequence,sequence,source,output_mode,action,command_active,output_active,requested_magnitude,applied_magnitude,pattern,reason,fault
14209.623749582,5.0321907620000275,1790244524.5056224,1,0,bird_eye,hardware,none,0,0,0.0,0.0,0,inactive:clear,0
14209.674527759,5.082968938999329,1790244524.5558748,1,1,bird_eye,hardware,none,0,0,0.0,0.0,0,inactive:clear,0
14209.692232628,5.100673807999556,1790244524.5741289,1,2,bird_eye,hardware,none,0,0,0.0,0.0,0,inactive:clear,0
14209.725643035,5.134084215000257,1790244524.6079345,1,3,bird_eye,hardware,none,0,0,0.0,0.0,0,inactive:clear,0
14209.76018229,5.168623469999147,1790244524.6423042,1,4,bird_eye,hardware,none,0,0,0.0,0.0,0,inactive:clear,0
14209.795458209,5.203899389000071,1790244524.6768274,1,5,bird_eye,hardware,none,0,0,0.0,0.0,0,inactive:clear,0
14209.831540489,5.239981668999462,1790244524.7107608,1,6,bird_eye,hardware,none,0,0,0.0,0.0,0,inactive:clear,0
14209.880727288,5.289168467999843,1790244524.7625866,1,7,bird_eye,hardware,none,0,0,0.0,0.0,0,inactive:clear,0
14209.896753101,5.305194280999785,1790244524.7789428,1,8,bird_eye,hardware,none,0,0,0.0,0.0,0,inactive:clear,0
14209.931545503,5.339986682998642,1790244524.813603,1,9,bird_eye,hardware,none,0,0,0.0,0.0,0,inactive:clear,0
14209.964713954,5.373155133998807,1790244524.8469093,1,10,bird_eye,hardware,none,0,0,0.0,0.0,0,inactive:clear,0
14209.999819866,5.408261045999097,1790244524.8819563,1,11,bird_eye,hardware,none,0,0,0.0,0.0,0,inactive:clear,0
14210.034300671,5.442741851000392,1790244524.9156618,1,12,bird_eye,hardware,none,0,0,0.0,0.0,0,inactive:clear,0
14210.067449239,5.4758904190002795,1790244524.9496713,1,13,bird_eye,hardware,none,0,0,0.0,0.0,0,inactive:clear,0
14210.102138617,5.510579796999082,1790244524.983721,1,14,bird_eye,hardware,none,0,0,0.0,0.0,0,inactive:clear,0
14210.136537929,5.5449791089995415,1790244525.018308,1,15,bird_eye,hardware,none,0,0,0.0,0.0,0,inactive:clear,0
14210.170828966,5.579270145999544,1790244525.052607,1,16,bird_eye,hardware,none,0,0,0.0,0.0,0,inactive:clear,0
14210.204582262,5.613023441999758,1790244525.0868118,1,17,bird_eye,hardware,none,0,0,0.0,0.0,0,inactive:clear,0
14210.238828378,5.647269557999607,1790244525.1210313,1,18,bird_eye,hardware,none,0,0,0.0,0.0,0,inactive:clear,0
14210.273829759,5.682270938999864,1790244525.1550791,1,19,bird_eye,hardware,none,0,0,0.0,0.0,0,inactive:clear,0
14210.306450489,5.714891669000281,1790244525.1887932,1,20,bird_eye,hardware,none,0,0,0.0,0.0,0,inactive:clear,0
14210.341412684,5.749853863999306,1790244525.2236757,1,21,bird_eye,hardware,none,0,0,0.0,0.0,0,inactive:clear,0
14210.374737472,5.7831786520000605,1790244525.2569363,1,22,bird_eye,hardware,none,0,0,0.0,0.0,0,inactive:clear,0
14210.409944064,5.818385243999728,1790244525.2907567,1,23,bird_eye,hardware,none,0,0,0.0,0.0,0,inactive:clear,0
14210.442757056,5.851198235999618,1790244525.3246958,1,24,bird_eye,hardware,none,0,0,0.0,0.0,0,inactive:clear,0
14210.479568498,5.888009677999435,1790244525.361718,1,25,bird_eye,hardware,none,0,0,0.0,0.0,0,inactive:clear,0
14210.511263099,5.919704279000143,1790244525.3926535,1,26,bird_eye,hardware,none,0,0,0.0,0.0,0,inactive:clear,0
14210.546159453,5.954600633000155,1790244525.4282296,1,27,bird_eye,hardware,none,0,0,0.0,0.0,0,inactive:clear,0
14210.581068797,5.989509977000125,1790244525.462843,1,28,bird_eye,hardware,none,0,0,0.0,0.0,0,inactive:clear,0
14210.613021806,6.021462986000188,1790244525.495122,1,29,bird_eye,hardware,none,0,0,0.0,0.0,0,inactive:clear,0
14210.647848906,6.056290085998626,1790244525.5295804,1,30,bird_eye,hardware,none,0,0,0.0,0.0,0,inactive:clear,0
14210.680961341,6.089402521000011,1790244525.5630963,1,31,bird_eye,hardware,none,0,0,0.0,0.0,0,inactive:clear,0
14210.716190176,6.124631355998645,1790244525.5979962,1,32,bird_eye,hardware,none,0,0,0.0,0.0,0,inactive:clear,0
14210.749493219,6.157934398999714,1790244525.6315515,1,33,bird_eye,hardware,none,0,0,0.0,0.0,0,inactive:clear,0
14210.785338707,6.193779887000346,1790244525.6667047,1,34,bird_eye,hardware,none,0,0,0.0,0.0,0,inactive:clear,0
14210.816507744,6.224948924000273,1790244525.698821,1,35,bird_eye,hardware,none,0,0,0.0,0.0,0,inactive:clear,0
14210.854301805,6.262742984999932,1790244525.736008,1,36,bird_eye,hardware,none,0,0,0.0,0.0,0,inactive:clear,0
14210.885443441,6.293884620999961,1790244525.7671847,1,37,bird_eye,hardware,none,0,0,0.0,0.0,0,inactive:clear,0
14210.919469696,6.327910875999805,1790244525.8014746,1,38,bird_eye,hardware,none,0,0,0.0,0.0,0,inactive:clear,0
14210.954879917,6.363321097000153,1790244525.8368297,1,39,bird_eye,hardware,none,0,0,0.0,0.0,0,inactive:clear,0
14210.988536323,6.396977503000016,1790244525.87026,1,40,bird_eye,hardware,none,0,0,0.0,0.0,0,inactive:clear,0
14211.021936684,6.430377863998729,1790244525.9041822,1,41,bird_eye,hardware,none,0,0,0.0,0.0,0,inactive:clear,0
14211.056539362,6.464980541999466,1790244525.9384263,1,42,bird_eye,hardware,none,0,0,0.0,0.0,0,inactive:clear,0
14211.090062711,6.4985038909999275,1790244525.9721,1,43,bird_eye,hardware,none,0,0,0.0,0.0,0,inactive:clear,0
14211.124367165,6.532808345000376,1790244526.0065463,1,44,bird_eye,hardware,none,0,0,0.0,0.0,0,inactive:clear,0
14211.158861652,6.567302831999768,1790244526.0410447,1,45,bird_eye,hardware,none,0,0,0.0,0.0,0,inactive:clear,0
14211.193262438,6.601703618000101,1790244526.0746946,1,46,bird_eye,hardware,none,0,0,0.0,0.0,0,inactive:clear,0
14211.226238707,6.6346798869999475,1790244526.1086037,1,47,bird_eye,hardware,none,0,0,0.0,0.0,0,inactive:clear,0
14211.261445294,6.669886473999213,1790244526.143641,1,48,bird_eye,hardware,none,0,0,0.0,0.0,0,inactive:clear,0
14211.294354301,6.7027954810000665,1790244526.1766627,1,49,bird_eye,hardware,none,0,0,0.0,0.0,0,inactive:clear,0
14211.328111943,6.736553122998885,1790244526.2102683,1,50,bird_eye,hardware,none,0,0,0.0,0.0,0,inactive:clear,0
14211.362256129,6.770697308998933,1790244526.2443345,1,51,bird_eye,hardware,none,0,0,0.0,0.0,0,inactive:clear,0
14211.396177919,6.8046190989989555,1790244526.2783697,1,52,bird_eye,hardware,none,0,0,0.0,0.0,0,inactive:clear,0
14211.431293654,6.839734833998591,1790244526.313377,1,53,bird_eye,hardware,none,0,0,0.0,0.0,0,inactive:clear,0
14211.466023126,6.874464305999936,1790244526.347975,1,54,bird_eye,hardware,none,0,0,0.0,0.0,0,inactive:clear,0
14211.499920691,6.908361870999215,1790244526.381772,1,55,bird_eye,hardware,none,0,0,0.0,0.0,0,inactive:clear,0
