collision_ffb_sequence,collision_ffb_publish_enabled,collision_ffb_publish_success,collision_ffb_risk_level,collision_ffb_active,collision_ffb_requested_magnitude,collision_ffb_pattern,collision_ffb_reason,collision_ffb_publish_error,collision_ffb_challenge_received_count,collision_ffb_challenge_age_sec,collision_ffb_challenge_session_id,collision_ffb_challenge_token,source_frame,source_time_sec,send_monotonic_sec,elapsed_sec
0,1,1,CLEAR,0,0.0,off,no_alert,,250,0.004464829000426107,7826491368805603054,32877,1,0.018943,14209.619628145,5.028069324998796
1,1,1,CLEAR,0,0.0,off,no_alert,,251,0.019158385000991984,7826491368805603054,32878,2,0.051379,14209.65411358,5.06255475999933
2,1,1,CLEAR,0,0.0,off,no_alert,,253,0.013140737000867375,7826491368805603054,32880,3,0.083827,14209.688410106,5.096851285999946
3,1,1,CLEAR,0,0.0,off,no_alert,,255,0.007620559999850229,7826491368805603054,32882,4,0.119453,14209.722551421,5.130992600999889
4,1,1,CLEAR,0,0.0,off,no_alert,,257,0.00064262200066878,7826491368805603054,32884,5,0.155402,14209.75673641,5.165177589999075
5,1,1,CLEAR,0,0.0,off,no_alert,,258,0.01544454500071879,7826491368805603054,32885,6,0.187886,14209.790994977,5.199436156999582
6,1,1,CLEAR,0,0.0,off,no_alert,,260,0.006412704999092966,7826491368805603054,32887,7,0.223534,14209.825166695,5.233607874999507
7,1,1,CLEAR,0,0.0,off,no_alert,,262,0.0038941250004427275,7826491368805603054,32889,8,0.254933,14209.859147307,5.267588486998648
8,1,1,CLEAR,0,0.0,off,no_alert,,263,0.013197471998864785,7826491368805603054,32890,9,0.288457,14209.893131678,5.3015728579994175
9,1,1,CLEAR,0,0.0,off,no_alert,,265,0.011471608999272576,7826491368805603054,32892,10,0.319512,14209.927231742,5.335672921999503
10,1,1,CLEAR,0,0.0,off,no_alert,,267,0.005879779999304446,7826491368805603054,32894,11,0.35331,14209.961343387,5.369784566999442
11,1,1,CLEAR,0,0.0,off,no_alert,,269,0.0004899769992334768,7826491368805603054,32896,12,0.385655,14209.995999773,5.404440952999721
12,1,1,CLEAR,0,0.0,off,no_alert,,270,0.0143037709985947,7826491368805603054,32897,13,0.420623,14210.030033774,5.438474953998593
13,1,1,CLEAR,0,0.0,off,no_alert,,272,0.008620838001661468,7826491368805603054,32899,14,0.459304,14210.063882103,5.472323283000151
14,1,1,CLEAR,0,0.0,off,no_alert,,274,0.0028543049993459135,7826491368805603054,32901,15,0.492333,14210.098082484,5.5065236640002695
