receive_monotonic_sec,elapsed_sec,stamp_sec,has_sequence,sequence,source,output_mode,action,command_active,output_active,requested_magnitude,applied_magnitude,pattern,reason,fault
1473493.38626228,1.0394306748639792,1790314494.496722,1,0,bird_eye,dry_run,none,0,0,0.0,0.0,0,inactive:clear,0
1473493.42045359,1.0736219850368798,1790314494.5307357,1,1,bird_eye,dry_run,none,0,0,0.0,0.0,0,inactive:clear,0
1473493.45438647,1.1075548648368567,1790314494.5645785,1,2,bird_eye,dry_run,none,0,0,0.0,0.0,0,inactive:clear,0
1473493.488120775,1.1412891699001193,1790314494.5983756,1,3,bird_eye,dry_run,none,0,0,0.0,0.0,0,inactive:clear,0
1473493.521981908,1.1751503029372543,1790314494.6322188,1,4,bird_eye,dry_run,none,0,0,0.0,0.0,0,inactive:clear,0
1473493.556296773,1.2094651679508388,1790314494.6663632,1,5,bird_eye,dry_run,none,0,0,0.0,0.0,0,inactive:clear,0
1473493.589938402,1.2431067968718708,1790314494.7000701,1,6,bird_eye,dry_run,none,0,0,0.0,0.0,0,inactive:clear,0
1473493.623811538,1.276979933027178,1790314494.7339094,1,7,bird_eye,dry_run,none,0,0,0.0,0.0,0,inactive:clear,0
1473493.657703857,1.3108722518663853,1790314494.7677839,1,8,bird_eye,dry_run,none,0,0,0.0,0.0,0,inactive:clear,0
1473493.691594104,1.3447624989785254,1790314494.801617,1,9,bird_eye,dry_run,none,0,0,0.0,0.0,0,inactive:clear,0
1473493.725454196,1.3786225910298526,1790314494.8355112,1,10,bird_eye,dry_run,none,0,0,0.0,0.0,0,inactive:clear,0
1473493.759486254,1.4126546490006149,1790314494.869615,1,11,bird_eye,dry_run,none,0,0,0.0,0.0,0,inactive:clear,0
1473493.793114199,1.446282593999058,1790314494.9034247,1,12,bird_eye,dry_run,none,0,0,0.0,0.0,0,inactive:clear,0
1473493.826458368,1.47962676291354,1790314494.9368918,1,13,bird_eye,dry_run,none,0,0,0.0,0.0,0,inactive:clear,0
1473493.860272974,1.5134413689374924,1790314494.9706204,1,14,bird_eye,dry_run,none,0,0,0.0,0.0,0,inactive:clear,0
1473493.894374834,1.5475432288367301,1790314495.004685,1,15,bird_eye,dry_run,none,0,0,0.0,0.0,0,inactive:clear,0
1473493.928637009,1.581805404042825,1790314495.038753,1,16,bird_eye,dry_run,none,0,0,0.0,0.0,0,inactive:clear,0
1473493.96223366,1.6154020549729466,1790314495.072423,1,17,bird_eye,dry_run,none,0,0,0.0,0.0,0,inactive:clear,0
1473493.996056276,1.649224670836702,1790314495.106209,1,18,bird_eye,dry_run,none,0,0,0.0,0.0,0,inactive:clear,0
1473494.029847576,1.683015970978886,1790314495.1399734,1,19,bird_eye,dry_run,none,0,0,0.0,0.0,0,inactive:clear,0
1473494.06334169,1.7165100849233568,1790314495.1736329,1,20,bird_eye,dry_run,none,0,0,0.0,0.0,0,inactive:clear,0
