collision_ffb_sequence,collision_ffb_publish_enabled,collision_ffb_publish_success,collision_ffb_risk_level,collision_ffb_active,collision_ffb_requested_magnitude,collision_ffb_pattern,collision_ffb_reason,collision_ffb_publish_error,collision_ffb_challenge_received_count,collision_ffb_challenge_age_sec,collision_ffb_challenge_session_id,collision_ffb_challenge_token,source_frame,source_time_sec,send_monotonic_sec,elapsed_sec
0,1,1,CLEAR,0,0.0,off,no_alert,,,,,,1,0.018943,1473493.385256174,1.0384245689492673
1,1,1,CLEAR,0,0.0,off,no_alert,,,,,,2,0.051379,1473493.419015095,1.0721834900323302
2,1,1,CLEAR,0,0.0,off,no_alert,,,,,,3,0.083827,1473493.452886504,1.1060548988170922
3,1,1,CLEAR,0,0.0,off,no_alert,,,,,,4,0.119453,1473493.486722735,1.1398911299183965
4,1,1,CLEAR,0,0.0,off,no_alert,,,,,,5,0.155402,1473493.520547398,1.1737157928291708
5,1,1,CLEAR,0,0.0,off,no_alert,,,,,,6,0.187886,1473493.554389296,1.2075576910283417
6,1,1,CLEAR,0,0.0,off,no_alert,,,,,,7,0.223534,1473493.588246334,1.241414729040116
7,1,1,CLEAR,0,0.0,off,no_alert,,,,,,8,0.254933,1473493.622077647,1.2752460418269038
8,1,1,CLEAR,0,0.0,off,no_alert,,,,,,9,0.288457,1473493.655928342,1.3090967368334532
9,1,1,CLEAR,0,0.0,off,no_alert,,,,,,10,0.319512,1473493.689772651,1.342941045993939
10,1,1,CLEAR,0,0.0,off,no_alert,,,,,,11,0.35331,1473493.72359404,1.3767624348402023
11,1,1,CLEAR,0,0.0,off,no_alert,,,,,,12,0.385655,1473493.757475045,1.4106434399727732
12,1,1,CLEAR,0,0.0,off,no_alert,,,,,,13,0.420623,1473493.79155683,1.4447252249810845
13,1,1,CLEAR,0,0.0,off,no_alert,,,,,,14,0.459304,1473493.825426162,1.478594556916505
14,1,1,CLEAR,0,0.0,off,no_alert,,,,,,15,0.492333,1473493.859161271,1.5123296659439802
15,1,1,CLEAR,0,0.0,off,no_alert,,,,,,16,0.536706,1473493.892964892,1.546133287018165
16,1,1,CLEAR,0,0.0,off,no_alert,,,,,,17,0.565523,1473493.926827615,1.5799960098229349
17,1,1,CLEAR,0,0.0,off,no_alert,,,,,,18,0.593224,1473493.960645645,1.6138140398543328
18,1,1,CLEAR,0,0.0,off,no_alert,,,,,,19,0.622353,1473493.994433127,1.647601522039622
19,1,1,CLEAR,0,0.0,off,no_alert,,,,,,20,0.659776,1473494.028235863,1.6814042578916997
20,1,1,CLEAR,0,0.0,off,no_alert,,,,,,21,0.692964,1473494.062050088,1.715218483004719
21,1,1,CLEAR,0,0.0,off,no_alert,,,,,,22,0.732211,1473494.095865688,1.7490340829826891
22,1,1,CLEAR,0,0.0,off,no_alert,,,,,,23,0.763684,1473494.129686381,1.7828547758981586
23,1,1,CLEAR,0,0.0,off,no_alert,,,,,,24,0.792934,1473494.163483724,1.8166521189268678
24,1,1,CLEAR,0,0.0,off,no_alert,,,,,,25,0.836665,1473494.197327066,1.85049546090886
25,1,1,CLEAR,0,0.0,off,no_alert,,,,,,26,0.876533,1473494.231185651,1.8843540458474308
26,1,1,CLEAR,0,0.0,off,no_alert,,,,,,27,0.911239,1473494.265146884,1.9183152788318694
27,1,1,CLEAR,0,0.0,off,no_alert,,,,,,28,0.948132,1473494.299041178,1.9522095730062574
28,1,1,CLEAR,0,0.0,off,no_alert,,,,,,29,0.97481,1473494.332757415,1.9859258099459112
29,1,1,CLEAR,0,0.0,off,no_alert,,,,,,30,1.013325,1473494.366598929,2.01976732397452
30,1,1,CLEAR,0,0.0,off,no_alert,,,,,,31,1.041307,1473494.400333182,2.0535015768837184
31,1,1,CLEAR,0,0.0,off,no_alert,,,,,,32,1.069245,1473494.4340912,2.0872595948167145
32,1,1,CLEAR,0,0.0,off,no_alert,,,,,,33,1.09701,1473494.467876183,2.1210445780307055
33,1,1,CLEAR,0,0.0,off,no_alert,,,,,,34,1.134566,1473494.501618414,2.1547868088819087
34,1,1,CLEAR,0,0.0,off,no_alert,,,,,,35,1.164249,1473494.535380601,2.18854899588041
35,1,1,CLEAR,0,0.0,off,no_alert,,,,,,36,1.192507,1473494.569124687,2.222293081926182
36,1,1,CLEAR,0,0.0,off,no_alert,,,,,,37,1.23229,1473494.602958833,2.2561272280290723
37,1,1,CLEAR,0,0.0,off,no_alert,,,,,,38,1.25914,1473494.636772335,2.2899407299701124
38,1,1,CLEAR,0,0.0,off,no_alert,,,,,,39,1.289472,1473494.670637332,2.323805726831779
39,1,1,CLEAR,0,0.0,off,no_alert,,,,,,40,1.32517,1473494.704499579,2.3576679739635438
40,1,1,CLEAR,0,0.0,off,no_alert,,,,,,41,1.353926,1473494.738389196,2.391557591035962
41,1,1,CLEAR,0,0.0,off,no_alert,,,,,,42,1.396189,1473494.772448391,2.4256167858839035
42,1,1,CLEAR,0,0.0,off,no_alert,,,,,,43,1.428102,1473494.806545472,2.4597138669341803
43,1,1,CLEAR,0,0.0,off,no_alert,,,,,,44,1.458371,1473494.84073572,2.4939041149336845
