receive_monotonic_sec,elapsed_sec,stamp_sec,has_sequence,sequence,source,output_mode,action,command_active,output_active,requested_magnitude,applied_magnitude,pattern,reason,fault
1473276.940213442,1.0420150731224567,1790314278.0502381,1,0,bird_eye,dry_run,none,0,0,0.0,0.0,0,inactive:clear,0
1473276.97388503,1.0756866610608995,1790314278.0841913,1,1,bird_eye,dry_run,none,0,0,0.0,0.0,0,inactive:clear,0
1473277.008143659,1.109945290023461,1790314278.1182086,1,2,bird_eye,dry_run,none,0,0,0.0,0.0,0,inactive:clear,0
1473277.041724056,1.143525687046349,1790314278.1517892,1,3,bird_eye,dry_run,none,0,0,0.0,0.0,0,inactive:clear,0
1473277.075538069,1.177339700050652,1790314278.1856558,1,4,bird_eye,dry_run,none,0,0,0.0,0.0,0,inactive:clear,0
1473277.109457672,1.211259303148836,1790314278.2197247,1,5,bird_eye,dry_run,apply,1,1,0.25,0.05000000074505806,1,ttc_warning:cadence_triple,0
1473277.143353955,1.2451555859297514,1790314278.253671,1,6,bird_eye,dry_run,apply,1,1,0.25,0.05000000074505806,1,ttc_warning:cadence_triple,0
1473277.177138129,1.2789397600572556,1790314278.2874813,1,7,bird_eye,dry_run,apply,1,1,0.25,0.05000000074505806,1,ttc_warning:cadence_triple,0
1473277.210966539,1.312768170144409,1790314278.3213205,1,8,bird_eye,dry_run,stop,0,0,0.0,0.0,0,inactive:clear,0
1473277.244863071,1.3466647020541131,1790314278.3551745,1,9,bird_eye,dry_run,none,0,0,0.0,0.0,0,inactive:clear,0
1473277.278494453,1.380296084098518,1790314278.3889565,1,10,bird_eye,dry_run,apply,1,1,0.25,0.05000000074505806,1,ttc_warning:cadence_triple,0
1473277.312627287,1.4144289181567729,1790314278.4229345,1,11,bird_eye,dry_run,apply,1,1,0.25,0.05000000074505806,1,ttc_warning:cadence_triple,0
1473277.346540303,1.4483419340103865,1790314278.456791,1,12,bird_eye,dry_run,apply,1,1,0.25,0.05000000074505806,1,ttc_warning:cadence_triple,0
1473277.380565194,1.4823668249882758,1790314278.490668,1,13,bird_eye,dry_run,stop,0,0,0.0,0.0,0,inactive:clear,0
1473277.414364688,1.5161663191393018,1790314278.5245557,1,14,bird_eye,dry_run,none,0,0,0.0,0.0,0,inactive:clear,0
1473277.447341173,1.5491428039968014,1790314278.5578713,1,15,bird_eye,dry_run,apply,1,1,0.25,0.05000000074505806,1,ttc_warning:cadence_triple,0
1473277.481696136,1.583497767103836,1790314278.5920045,1,16,bird_eye,dry_run,apply,1,1,0.25,0.05000000074505806,1,ttc_warning:cadence_triple,0
1473277.515086176,1.6168878071475774,1790314278.6255367,1,17,bird_eye,dry_run,apply,1,1,0.25,0.05000000074505806,1,ttc_warning:cadence_triple,0
1473277.549417914,1.6512195449322462,1790314278.6596482,1,18,bird_eye,dry_run,stop,0,0,0.0,0.0,0,inactive:clear,0
1473277.583435187,1.6852368181571364,1790314278.693665,1,19,bird_eye,dry_run,none,0,0,0.0,0.0,0,inactive:clear,0
1473277.616542576,1.718344207154587,1790314278.7270525,1,20,bird_eye,dry_run,none,0,0,0.0,0.0,0,inactive:clear,0
1473277.650715499,1.7525171299930662,1790314278.7610598,1,21,bird_eye,dry_run,none,0,0,0.0,0.0,0,inactive:clear,0
1473277.684821339,1.7866229701321572,1790314278.795113,1,22,bird_eye,dry_run,none,0,0,0.0,0.0,0,inactive:clear,0
1473277.718431952,1.820233582984656,1790314278.8287249,1,23,bird_eye,dry_run,none,0,0,0.0,0.0,0,inactive:clear,0
1473277.752453165,1.8542547959368676,1790314278.862759,1,24,bird_eye,dry_run,none,0,0,0.0,0.0,0,inactive:clear,0
1473277.786299069,1.8881006999872625,1790314278.896571,1,25,bird_eye,dry_run,apply,1,1,0.15000000596046448,0.05000000074505806,3,invalid_or_unknown_perception:cadence_single,0
1473277.82026883,1.9220704610925168,1790314278.9304266,1,26,bird_eye,dry_run,apply,1,1,0.15000000596046448,0.05000000074505806,3,invalid_or_unknown_perception:cadence_single,0
1473277.854432432,1.9562340630218387,1790314278.9646318,1,27,bird_eye,dry_run,apply,1,1,0.15000000596046448,0.05000000074505806,3,invalid_or_unknown_perception:cadence_single,0
1473277.888552327,1.9903539579827338,1790314278.9984744,1,28,bird_eye,dry_run,stop,0,0,0.0,0.0,0,inactive:clear,0
1473277.922670224,2.024471855023876,1790314279.0325868,1,29,bird_eye,dry_run,none,0,0,0.0,0.0,0,inactive:clear,0
1473277.955833152,2.057634782977402,1790314279.0661616,1,30,bird_eye,dry_run,none,0,0,0.0,0.0,0,inactive:clear,0
1473277.989480674,2.0912823050748557,1790314279.0998237,1,31,bird_eye,dry_run,none,0,0,0.0,0.0,0,inactive:clear,0
1473278.02361535,2.1254169810563326,1790314279.1338868,1,32,bird_eye,dry_run,none,0,0,0.0,0.0,0,inactive:clear,0
1473278.057861004,2.159662635065615,1790314279.1681187,1,33,bird_eye,dry_run,none,0,0,0.0,0.0,0,inactive:clear,0
1473278.091595095,2.1933967259246856,1790314279.2018795,1,34,bird_eye,dry_run,none,0,0,0.0,0.0,0,inactive:clear,0
1473278.125433382,2.227235013153404,1790314279.2356524,1,35,bird_eye,dry_run,none,0,0,0.0,0.0,0,inactive:clear,0
1473278.159548171,2.261349802138284,1790314279.2698002,1,36,bird_eye,dry_run,none,0,0,0.0,0.0,0,inactive:clear,0
1473278.193312994,2.295114625012502,1790314279.30361,1,37,bird_eye,dry_run,none,0,0,0.0,0.0,0,inactive:clear,0
1473278.226942081,2.3287437120452523,1790314279.337312,1,38,bird_eye,dry_run,none,0,0,0.0,0.0,0,inactive:clear,0
1473278.261354094,2.3631557249464095,1790314279.3716486,1,39,bird_eye,dry_run,none,0,0,0.0,0.0,0,inactive:clear,0
1473278.295032665,2.3968342959415168,1790314279.4053473,1,40,bird_eye,dry_run,none,0,0,0.0,0.0,0,inactive:clear,0
1473278.32896671,2.430768341058865,1790314279.4392595,1,41,bird_eye,dry_run,none,0,0,0.0,0.0,0,inactive:clear,0
1473278.362905076,2.4647067070472986,1790314279.4732168,1,42,bird_eye,dry_run,none,0,0,0.0,0.0,0,inactive:clear,0
1473278.396574817,2.4983764479402453,1790314279.5068734,1,43,bird_eye,dry_run,none,0,0,0.0,0.0,0,inactive:clear,0
1473278.430433581,2.532235211925581,1790314279.5407336,1,44,bird_eye,dry_run,none,0,0,0.0,0.0,0,inactive:clear,0
1473278.466952107,2.5687537379562855,1790314279.5749588,1,45,bird_eye,dry_run,none,0,0,0.0,0.0,0,inactive:clear,0
