frame,time_sec,collision_risk_level
1,0.000,CLEAR
2,0.033,CLEAR
3,0.067,CLEAR
4,0.100,CLEAR
5,0.133,CLEAR
6,0.167,WARNING
7,0.200,WARNING
8,0.233,WARNING
9,0.267,WARNING
10,0.300,WARNING
11,0.333,WARNING
12,0.367,WARNING
13,0.400,WARNING
14,0.433,WARNING
15,0.467,WARNING
16,0.500,WARNING
17,0.533,WARNING
18,0.567,WARNING
19,0.600,WARNING
20,0.633,WARNING
21,0.667,CLEAR
22,0.700,CLEAR
23,0.733,CLEAR
24,0.767,CLEAR
25,0.800,CLEAR
26,0.833,UNKNOWN
27,0.867,UNKNOWN
28,0.900,UNKNOWN
29,0.933,UNKNOWN
30,0.967,UNKNOWN
31,1.000,UNKNOWN
32,1.033,UNKNOWN
33,1.067,UNKNOWN
34,1.100,UNKNOWN
35,1.133,UNKNOWN
36,1.167,UNKNOWN
37,1.200,UNKNOWN
38,1.233,UNKNOWN
39,1.267,UNKNOWN
40,1.300,UNKNOWN
41,1.333,CLEAR
42,1.367,CLEAR
43,1.400,CLEAR
44,1.433,CLEAR
45,1.467,CLEAR
