collision_ffb_sequence,collision_ffb_publish_enabled,collision_ffb_publish_success,collision_ffb_risk_level,collision_ffb_active,collision_ffb_requested_magnitude,collision_ffb_pattern,collision_ffb_reason,collision_ffb_publish_error,collision_ffb_challenge_received_count,collision_ffb_challenge_age_sec,collision_ffb_challenge_session_id,collision_ffb_challenge_token,source_frame,source_time_sec,send_monotonic_sec,elapsed_sec
0,1,1,CLEAR,0,0.0,off,no_alert,,,,,,1,0.0,1473276.938407556,1.0402091869618744
1,1,1,CLEAR,0,0.0,off,no_alert,,,,,,2,0.033,1473276.972408249,1.0742098800837994
2,1,1,CLEAR,0,0.0,off,no_alert,,,,,,3,0.067,1473277.006287468,1.1080890989396721
3,1,1,CLEAR,0,0.0,off,no_alert,,,,,,4,0.1,1473277.040089483,1.141891113948077
4,1,1,CLEAR,0,0.0,off,no_alert,,,,,,5,0.133,1473277.073918101,1.175719731952995
5,1,1,WARNING,1,0.25,steady,ttc_warning:cadence_triple,,,,,,6,0.167,1473277.107802801,1.2096044321078807
6,1,1,WARNING,1,0.25,steady,ttc_warning:cadence_triple,,,,,,7,0.2,1473277.141795928,1.2435975589323789
7,1,1,WARNING,1,0.25,steady,ttc_warning:cadence_triple,,,,,,8,0.233,1473277.175752303,1.2775539341382682
8,1,1,CLEAR,0,0.0,off,cadence_gap:triple,,,,,,9,0.267,1473277.20959974,1.311401371145621
9,1,1,CLEAR,0,0.0,off,cadence_gap:triple,,,,,,10,0.3,1473277.243476221,1.345277852145955
10,1,1,WARNING,1,0.25,steady,ttc_warning:cadence_triple,,,,,,11,0.333,1473277.277399129,1.3792007600422949
11,1,1,WARNING,1,0.25,steady,ttc_warning:cadence_triple,,,,,,12,0.367,1473277.311189954,1.412991584977135
12,1,1,WARNING,1,0.25,steady,ttc_warning:cadence_triple,,,,,,13,0.4,1473277.345033508,1.4468351390678436
13,1,1,CLEAR,0,0.0,off,cadence_gap:triple,,,,,,14,0.433,1473277.378860805,1.4806624359916896
14,1,1,CLEAR,0,0.0,off,cadence_gap:triple,,,,,,15,0.467,1473277.412696364,1.5144979951437563
15,1,1,WARNING,1,0.25,steady,ttc_warning:cadence_triple,,,,,,16,0.5,1473277.446481222,1.548282853094861
